"","X","id","dfname","cbal","sessionDurationInMin","randSeed","sessionTime","distribs","explicit.gut","explicit.dist","file.name"
"1",1,"AL8458","data/wtw_discrete_implicit_AL8458_1",3,15,207977.5085,"2016","list(list(""scale_1.5_30""), list(""scale_1_20""))",20.1834375,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 1, 0.8, 0.7, 0.7, 0.7, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.05, 0.01, 0)","wtw_discrete_implicit_AL8458_1.mat"
"2",2,"BC1155","data\wtw_discrete_implicit_BC1155_1",2,15,207396.1,"2015","list(list(""scale_1_20""), list(""scale_1.5_30""))",8.16,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.7, 0.65, 0.6, 0.55, 0.44, 0.4, 0.34, 0.28, 0.23, 0.16, 0.11, 0.09, 0.05, 0.02, 0)","wtw_discrete_implicit_BC1155_1.mat"
"3",3,"BC8300","data\wtw_discrete_implicit_BC8300_1",3,15,209220.2,"2015","list(list(""scale_1.5_30""), list(""scale_1_20""))",16.08,"c(0, 2, 4, 6, 8, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.97, 0.97, 0.95, 0.92, 0.87, 0.87, 0.74, 0.64, 0.58, 0.39, 0.28, 0.12, 0.07, 0)","wtw_discrete_implicit_BC8300_1.mat"
"4",4,"BE8423","data/wtw_discrete_implicit_BE8423_1",2,15,209331.2965,"2015","list(list(""scale_1_20""), list(""scale_1.5_30""))",30,"c(0, 2, 4, 6, 8, 10, 12, 20, 22, 28, 30, 1, 0.62, 0.48, 0.48, 0.43, 0.34, 0.29, 0.18, 0.16, 0.08, 0)","wtw_discrete_implicit_BE8423_1.mat"
"5",5,"BH3569","data\wtw_discrete_implicit_BH3569_1",1,15,211591.8,"2015","list(list(""scale_1_20""), list(""scale_1_20""))",10.48,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.83, 0.7, 0.59, 0.48, 0.37, 0.29, 0.24, 0.19, 0.14, 0.09, 0.08, 0.06, 0.04, 0.01, 0)","wtw_discrete_implicit_BH3569_1.mat"
"6",6,"BH8057","data/wtw_discrete_implicit_BH8057_1",4,15,208138.3679,"2015","list(list(""scale_1.5_30""), list(""scale_1.5_30""))",10.3565625,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.9, 0.82, 0.71, 0.66, 0.6, 0.53, 0.47, 0.44, 0.41, 0.36, 0.31, 0.26, 0.18, 0.09, 0)","wtw_discrete_implicit_BH8057_1.mat"
"7",7,"BI8040","data\wtw_discrete_implicit_BI8040_1",1,15,211902.4,"2015","list(list(""scale_1_20""), list(""scale_1_20""))",9.92,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.76, 0.23, 0.17, 0.12, 0.09, 0.05, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0, 0)","wtw_discrete_implicit_BI8040_1.mat"
"8",8,"BI8320","data/wtw_discrete_implicit_BI8320_1",4,15,209519.2601,"2015","list(list(""scale_1.5_30""), list(""scale_1.5_30""))",13.5025,"c(0, 2, 4, 6, 16, 20, 22, 28, 30, 0.8, 0.8, 0.8, 0.8, 0.8, 0.35, 0.35, 0.35, 0)","wtw_discrete_implicit_BI8320_1.mat"
"9",9,"BK8416","data\wtw_discrete_implicit_BK8416_1",2,15,208198.9,"2015","list(list(""scale_1_20""), list(""scale_1.5_30""))",8,"c(0, 2, 4, 6, 8, 10, 12, 14, 18, 20, 24, 26, 28, 30, 0.98, 0.88, 0.8, 0.56, 0.43, 0.28, 0.19, 0.15, 0.1, 0.07, 0.05, 0.04, 0.04, 0)","wtw_discrete_implicit_BK8416_1.mat"
"10",10,"BK8429","data/wtw_discrete_implicit_BK8429_1",1,15,208579.6544,"2015","list(list(""scale_1_20""), list(""scale_1_20""))",15.5671875,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.91, 0.88, 0.84, 0.72, 0.65, 0.6, 0.51, 0.4, 0.25, 0.17, 0.09, 0.06, 0.02, 0.02, 0)","wtw_discrete_implicit_BK8429_1.mat"
