"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_0824RUM8DfAU3NT","standard","1","1","LP","1.25738905644119","0.001","1.274","NA","2.281","NA","0","0",""
"2","R_0824RUM8DfAU3NT","standard","1","2","LP","30","3.298","33.318","33.699","30.401","0.381","3","3",""
"3","R_0824RUM8DfAU3NT","standard","1","3","LP","30","34.706","64.721","65.02","30.314","0.299","3","6",""
"4","R_0824RUM8DfAU3NT","standard","1","4","LP","30","66.023","96.024","96.299","30.276","0.275","3","9",""
"5","R_0824RUM8DfAU3NT","standard","1","5","LP","8.51632916846187","97.307","105.832","106.411","9.104","0.579","3","12",""
"6","R_0824RUM8DfAU3NT","standard","1","6","LP","3.49090909090909","107.418","110.919","111.307","3.889","0.388","3","15",""
"7","R_0824RUM8DfAU3NT","standard","1","7","LP","5.5010771219302","112.321","117.825","118.235","5.914","0.41","3","18",""
"8","R_0824RUM8DfAU3NT","standard","1","8","LP","0.661783713916415","119.247","119.918","120.411","1.164","0.493","3","21",""
"9","R_0824RUM8DfAU3NT","standard","1","9","LP","0.264713485566566","121.418","121.689","122.091","0.673","0.402","3","24",""
"10","R_0824RUM8DfAU3NT","standard","1","10","LP","30","123.098","153.105","153.395","30.297","0.29","3","27",""
"11","R_0824RUM8DfAU3NT","standard","1","11","LP","5.5010771219302","154.403","159.906","160.491","6.088","0.585","3","30",""
"12","R_0824RUM8DfAU3NT","standard","1","12","LP","19.8235243429556","161.504","181.333","181.747","20.243","0.414","3","33",""
"13","R_0824RUM8DfAU3NT","standard","1","13","LP","0.264713485566566","182.768","183.033","183.595","0.827","0.562","3","36",""
"14","R_0824RUM8DfAU3NT","standard","1","14","LP","2.15079707022835","184.603","186.762","187.299","2.696","0.537","3","39",""
"15","R_0824RUM8DfAU3NT","standard","1","15","LP","13.0392072382594","188.321","201.374","201.723","13.402","0.349","3","42",""
"16","R_0824RUM8DfAU3NT","standard","1","16","LP","1.25738905644119","202.734","203.993","204.547","1.813","0.554","3","45",""
"17","R_0824RUM8DfAU3NT","standard","1","17","LP","13.0392072382594","205.561","218.601","219.011","13.45","0.41","3","48",""
"18","R_0824RUM8DfAU3NT","standard","1","18","LP","0.264713485566566","220.012","220.282","220.722","0.71","0.44","3","51",""
"19","R_0824RUM8DfAU3NT","standard","1","19","LP","19.8235243429556","221.729","241.565","241.883","20.154","0.318","3","54",""
"20","R_0824RUM8DfAU3NT","standard","1","20","LP","19.8235243429556","242.889","262.718","263.099","20.21","0.381","3","57",""
"21","R_0824RUM8DfAU3NT","standard","1","21","LP","1.25738905644119","264.106","265.37","265.826","1.72","0.456","3","60",""
"22","R_0824RUM8DfAU3NT","standard","1","22","LP","2.15079707022835","266.834","268.994","269.331","2.497","0.337","3","63",""
"23","R_0824RUM8DfAU3NT","standard","1","23","LP","0.264713485566566","270.338","270.602","270.995","0.657","0.393","3","66",""
"24","R_0824RUM8DfAU3NT","standard","1","24","LP","19.8235243429556","272.007","291.846","292.187","20.18","0.341","3","69",""
"25","R_0824RUM8DfAU3NT","standard","1","25","LP","1.25738905644119","293.203","294.466","294.859","1.656","0.393","3","72",""
"26","R_0824RUM8DfAU3NT","standard","1","26","LP","5.5010771219302","295.866","301.369","301.747","5.881","0.378","3","75",""
"27","R_0824RUM8DfAU3NT","standard","1","27","LP","30","302.753","332.761","333.091","30.338","0.33","3","78",""
"28","R_0824RUM8DfAU3NT","standard","1","28","LP","19.8235243429556","334.098","353.932","354.355","20.257","0.423","3","81",""
"29","R_0824RUM8DfAU3NT","standard","1","29","LP","5.5010771219302","355.362","360.872","361.226","5.864","0.354","3","84",""
"30","R_0824RUM8DfAU3NT","standard","1","30","LP","5.5010771219302","362.246","367.755","368.131","5.885","0.376","3","87",""
"31","R_0824RUM8DfAU3NT","standard","1","31","LP","0.264713485566566","369.138","369.411","369.811","0.673","0.4","3","90",""
"32","R_0824RUM8DfAU3NT","standard","1","32","LP","3.49090909090909","370.821","374.32","374.746","3.925","0.426","3","93",""
"33","R_0824RUM8DfAU3NT","standard","1","33","LP","1.25738905644119","375.753","377.015","377.394","1.641","0.379","3","96",""
"34","R_0824RUM8DfAU3NT","standard","1","34","LP","0.661783713916415","378.401","379.069","379.459","1.058","0.39","3","99",""
"35","R_0824RUM8DfAU3NT","standard","1","35","LP","30","380.472","410.473","410.787","30.315","0.314","3","102",""
"36","R_0824RUM8DfAU3NT","standard","1","36","LP","13.0392072382594","411.793","424.834","425.283","13.49","0.449","3","105",""
"37","R_0824RUM8DfAU3NT","standard","1","37","LP","1.25738905644119","426.303","427.573","428.083","1.78","0.51","3","108",""
"38","R_0824RUM8DfAU3NT","standard","1","38","LP","0.264713485566566","429.089","429.362","429.738","0.649","0.376","3","111",""
"39","R_0824RUM8DfAU3NT","standard","1","39","LP","13.0392072382594","430.746","443.8","444.147","13.401","0.347","3","114",""
"40","R_0824RUM8DfAU3NT","standard","1","40","LP","1.25738905644119","445.154","446.422","446.754","1.6","0.332","3","117",""
"41","R_0824RUM8DfAU3NT","standard","1","41","LP","1.25738905644119","447.762","449.025","449.45","1.688","0.425","3","120",""
