"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_10B3eMVRlVGbytJ","standard","1","1","HP","16","0.001","16.025","16.307","16.306","0.282","3","3",""
"2","R_10B3eMVRlVGbytJ","standard","1","2","HP","6","17.309","23.318","NA","7.013","NA","0","3",""
"3","R_10B3eMVRlVGbytJ","standard","1","3","HP","6","25.33","31.353","31.603","6.273","0.25","3","6",""
"4","R_10B3eMVRlVGbytJ","standard","1","4","HP","2","32.61","34.611","34.897","2.287","0.286","3","9",""
"5","R_10B3eMVRlVGbytJ","standard","1","5","HP","10","35.898","45.906","46.258","10.36","0.352","3","12",""
"6","R_10B3eMVRlVGbytJ","standard","1","6","HP","14","47.271","61.274","61.768","14.497","0.494","3","15",""
"7","R_10B3eMVRlVGbytJ","standard","1","7","HP","8","62.782","70.79","71.101","8.319","0.311","3","18",""
"8","R_10B3eMVRlVGbytJ","standard","1","8","HP","2","72.106","74.107","74.434","2.328","0.327","3","21",""
"9","R_10B3eMVRlVGbytJ","standard","1","9","HP","2","75.449","77.463","77.791","2.342","0.328","3","24",""
"10","R_10B3eMVRlVGbytJ","standard","1","10","HP","4","78.794","82.811","83.221","4.427","0.41","3","27",""
"11","R_10B3eMVRlVGbytJ","standard","1","11","HP","4","84.227","88.234","88.815","4.588","0.581","3","30",""
"12","R_10B3eMVRlVGbytJ","standard","1","12","HP","12","89.82","101.821","102.143","12.323","0.322","3","33",""
"13","R_10B3eMVRlVGbytJ","standard","1","13","HP","2","103.157","105.163","105.656","2.499","0.493","3","36",""
"14","R_10B3eMVRlVGbytJ","standard","1","14","HP","20","106.659","126.67","126.916","20.257","0.246","3","39",""
"15","R_10B3eMVRlVGbytJ","standard","1","15","HP","6","127.923","133.93","134.278","6.355","0.348","3","42",""
"16","R_10B3eMVRlVGbytJ","standard","1","16","HP","18","135.282","153.29","153.715","18.433","0.425","3","45",""
"17","R_10B3eMVRlVGbytJ","standard","1","17","HP","4","154.724","158.73","159.017","4.293","0.287","3","48",""
"18","R_10B3eMVRlVGbytJ","standard","1","18","HP","2","160.02","162.021","162.356","2.336","0.335","3","51",""
"19","R_10B3eMVRlVGbytJ","standard","1","19","HP","6","163.362","169.373","169.952","6.59","0.579","3","54",""
"20","R_10B3eMVRlVGbytJ","standard","1","20","HP","2","170.97","172.981","173.433","2.463","0.452","3","57",""
"21","R_10B3eMVRlVGbytJ","standard","1","21","HP","4","174.443","178.456","178.735","4.292","0.279","3","60",""
"22","R_10B3eMVRlVGbytJ","standard","1","22","HP","14","179.738","193.76","194.052","14.314","0.292","3","63",""
"23","R_10B3eMVRlVGbytJ","standard","1","23","HP","10","195.058","205.077","205.445","10.387","0.368","3","66",""
"24","R_10B3eMVRlVGbytJ","standard","1","24","HP","4","206.462","210.475","210.747","4.285","0.272","3","69",""
"25","R_10B3eMVRlVGbytJ","standard","1","25","HP","2","211.755","213.776","214.082","2.327","0.306","3","72",""
"26","R_10B3eMVRlVGbytJ","standard","1","26","HP","12","215.09","227.099","227.407","12.317","0.308","3","75",""
"27","R_10B3eMVRlVGbytJ","standard","1","27","HP","18","228.412","246.42","246.754","18.342","0.334","3","78",""
