"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_10qFhOnjSKIzebU","standard","1","1","HP","18","0.001","18.016","18.347","18.346","0.331","3","3",""
"2","R_10qFhOnjSKIzebU","standard","1","2","HP","16","19.355","35.356","35.679","16.324","0.323","3","6",""
"3","R_10qFhOnjSKIzebU","standard","1","3","HP","12","36.695","48.705","49.048","12.353","0.343","3","9",""
"4","R_10qFhOnjSKIzebU","standard","1","4","HP","4","50.056","54.065","55.003","4.947","0.938","3","12",""
"5","R_10qFhOnjSKIzebU","standard","1","5","HP","2","56.012","58.025","58.432","2.42","0.407","3","15",""
"6","R_10qFhOnjSKIzebU","standard","1","6","HP","12","59.442","71.444","71.735","12.293","0.291","3","18",""
"7","R_10qFhOnjSKIzebU","standard","1","7","HP","14","72.744","86.745","87.093","14.349","0.348","3","21",""
"8","R_10qFhOnjSKIzebU","standard","1","8","HP","18","88.116","106.12","106.443","18.327","0.323","3","24",""
"9","R_10qFhOnjSKIzebU","standard","1","9","HP","16","107.447","123.456","123.781","16.334","0.325","3","27",""
"10","R_10qFhOnjSKIzebU","standard","1","10","HP","12","124.799","136.811","137.363","12.564","0.552","3","30",""
"11","R_10qFhOnjSKIzebU","standard","1","11","HP","4","138.376","142.385","142.802","4.426","0.417","3","33",""
"12","R_10qFhOnjSKIzebU","standard","1","12","HP","12","143.817","155.819","156.13","12.313","0.311","3","33","5712"
"13","R_10qFhOnjSKIzebU","standard","1","13","HP","20","157.146","177.154","177.462","20.316","0.308","3","36",""
"14","R_10qFhOnjSKIzebU","standard","1","14","HP","14","178.476","192.496","NA","15.041","NA","0","36",""
"15","R_10qFhOnjSKIzebU","standard","1","15","HP","12","194.521","206.524","206.853","12.332","0.329","3","39",""
"16","R_10qFhOnjSKIzebU","standard","1","16","HP","6","207.866","213.886","214.243","6.377","0.357","3","42",""
"17","R_10qFhOnjSKIzebU","standard","1","17","HP","18","215.256","233.26","233.74","18.484","0.48","3","45",""
"18","R_10qFhOnjSKIzebU","standard","1","18","HP","16","234.744","250.745","251.091","16.347","0.346","3","48",""
"19","R_10qFhOnjSKIzebU","standard","1","19","HP","6","252.106","258.12","258.529","6.423","0.409","3","51",""
"20","R_10qFhOnjSKIzebU","standard","1","20","HP","16","259.536","275.546","275.875","16.339","0.329","3","54",""
"21","R_10qFhOnjSKIzebU","standard","1","21","HP","4","276.886","280.896","281.279","4.393","0.383","3","57",""
"22","R_10qFhOnjSKIzebU","standard","1","22","HP","16","282.286","298.296","298.675","16.389","0.379","3","60",""
"23","R_10qFhOnjSKIzebU","standard","1","23","HP","8","299.696","307.707","307.989","8.293","0.282","3","63",""
"24","R_10qFhOnjSKIzebU","standard","1","24","HP","8","309.007","317.01","317.384","8.377","0.374","3","63","6513"
"25","R_10qFhOnjSKIzebU","standard","1","25","HP","20","318.396","338.41","338.707","20.311","0.297","3","66",""
"26","R_10qFhOnjSKIzebU","standard","1","26","HP","16","339.727","355.74","356.033","16.306","0.293","3","69",""
"27","R_10qFhOnjSKIzebU","standard","1","27","HP","12","357.037","369.042","369.365","12.328","0.323","3","72",""
"28","R_10qFhOnjSKIzebU","standard","1","28","HP","14","370.386","384.399","384.714","14.328","0.315","3","75",""
"29","R_10qFhOnjSKIzebU","standard","1","29","HP","20","385.717","405.726","406.032","20.315","0.306","3","78",""
"30","R_10qFhOnjSKIzebU","standard","1","30","HP","8","407.036","415.046","415.405","8.369","0.359","3","81",""
"31","R_10qFhOnjSKIzebU","standard","1","31","HP","2","416.407","418.412","419.109","2.702","0.697","3","84",""
"32","R_10qFhOnjSKIzebU","standard","1","32","HP","20","420.111","440.13","440.463","20.352","0.333","3","87",""
"33","R_10qFhOnjSKIzebU","standard","1","33","HP","18","441.466","459.468","459.777","18.311","0.309","3","90",""
"34","R_10qFhOnjSKIzebU","standard","1","34","HP","20","460.802","480.807","481.066","20.264","0.259","3","93",""
"35","R_10qFhOnjSKIzebU","standard","1","35","HP","10","482.087","492.107","492.5","10.413","0.393","3","96",""
"36","R_10qFhOnjSKIzebU","standard","1","36","HP","18","493.52","511.524","511.865","18.345","0.341","3","99",""
"37","R_10qFhOnjSKIzebU","standard","1","37","HP","4","512.867","516.887","517.319","4.452","0.432","3","102",""
"38","R_10qFhOnjSKIzebU","standard","1","38","HP","8","518.32","526.328","526.782","8.462","0.454","3","102","3900"
"39","R_10qFhOnjSKIzebU","standard","1","39","HP","12","527.789","539.801","540.252","12.463","0.451","3","105",""
"40","R_10qFhOnjSKIzebU","standard","1","40","HP","12","541.258","553.277","553.654","12.396","0.377","3","108",""
"41","R_10qFhOnjSKIzebU","standard","1","41","HP","4","554.667","558.676","559.435","4.768","0.759","3","111",""
"42","R_10qFhOnjSKIzebU","standard","1","42","HP","8","560.446","568.466","568.81","8.364","0.344","3","114",""
"43","R_10qFhOnjSKIzebU","standard","1","43","HP","10","569.827","579.831","580.157","10.33","0.326","3","117",""
"44","R_10qFhOnjSKIzebU","standard","1","44","HP","20","581.169","601.193","601.501","20.332","0.308","3","120",""
"45","R_10qFhOnjSKIzebU","standard","1","45","HP","16","602.507","618.517","618.903","16.396","0.386","3","123",""
"46","R_10qFhOnjSKIzebU","standard","1","46","HP","20","619.921","639.93","640.268","20.347","0.338","3","126",""
"47","R_10qFhOnjSKIzebU","standard","1","47","HP","4","641.29","645.317","645.727","4.437","0.41","3","129",""
"48","R_10qFhOnjSKIzebU","standard","1","48","HP","12","646.738","658.747","659.037","12.299","0.29","3","132",""
"49","R_10qFhOnjSKIzebU","standard","1","49","HP","4","660.039","664.047","664.421","4.382","0.374","3","135",""
"50","R_10qFhOnjSKIzebU","standard","1","50","HP","8","665.432","673.437","673.746","8.314","0.309","3","138",""
"51","R_10qFhOnjSKIzebU","standard","1","51","HP","6","674.757","680.767","681.111","6.354","0.344","3","141",""
"52","R_10qFhOnjSKIzebU","standard","1","52","HP","18","682.125","700.137","700.434","18.309","0.297","3","144",""
