"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_10r9D1TNwH0gvO3","standard","1","1","HP","2","0.001","2.024","2.364","2.363","0.34","3","3",""
"2","R_10r9D1TNwH0gvO3","standard","1","2","HP","16","3.381","19.398","19.718","16.337","0.32","3","6",""
"3","R_10r9D1TNwH0gvO3","standard","1","3","HP","20","20.733","40.744","41.104","20.371","0.36","3","9",""
"4","R_10r9D1TNwH0gvO3","standard","1","4","HP","12","42.12","54.133","54.434","12.314","0.301","3","12",""
"5","R_10r9D1TNwH0gvO3","standard","1","5","HP","10","55.447","65.448","65.772","10.325","0.324","3","15",""
"6","R_10r9D1TNwH0gvO3","standard","1","6","HP","4","66.795","70.817","71.121","4.326","0.304","3","18",""
"7","R_10r9D1TNwH0gvO3","standard","1","7","HP","18","72.132","90.147","90.438","18.306","0.291","3","21",""
"8","R_10r9D1TNwH0gvO3","standard","1","8","HP","4","91.45","95.456","95.845","4.395","0.389","3","24",""
"9","R_10r9D1TNwH0gvO3","standard","1","9","HP","18","96.853","114.855","115.18","18.327","0.325","3","27",""
"10","R_10r9D1TNwH0gvO3","standard","1","10","HP","12","116.2","128.21","128.526","12.326","0.316","3","30",""
"11","R_10r9D1TNwH0gvO3","standard","1","11","HP","12","129.541","141.552","141.892","12.351","0.34","3","33",""
"12","R_10r9D1TNwH0gvO3","standard","1","12","HP","6","142.915","148.922","149.194","6.279","0.272","3","36",""
"13","R_10r9D1TNwH0gvO3","standard","1","13","HP","10","150.203","160.216","160.619","10.416","0.403","3","39",""
"14","R_10r9D1TNwH0gvO3","standard","1","14","HP","14","161.632","175.636","175.918","14.286","0.282","3","42",""
"15","R_10r9D1TNwH0gvO3","standard","1","15","HP","16","176.92","192.921","193.22","16.3","0.299","3","45",""
"16","R_10r9D1TNwH0gvO3","standard","1","16","HP","10","194.221","204.228","204.57","10.349","0.342","3","48",""
"17","R_10r9D1TNwH0gvO3","standard","1","17","HP","20","205.585","225.594","225.891","20.306","0.297","3","51",""
"18","R_10r9D1TNwH0gvO3","standard","1","18","HP","14","226.91","240.912","241.208","14.298","0.296","3","54",""
"19","R_10r9D1TNwH0gvO3","standard","1","19","HP","12","242.217","254.227","254.526","12.309","0.299","3","57",""
"20","R_10r9D1TNwH0gvO3","standard","1","20","HP","2","255.542","257.548","257.864","2.322","0.316","3","60",""
"21","R_10r9D1TNwH0gvO3","standard","1","21","HP","6","258.869","264.888","265.215","6.346","0.327","3","63",""
"22","R_10r9D1TNwH0gvO3","standard","1","22","HP","12","266.218","278.218","278.511","12.293","0.293","3","66",""
"23","R_10r9D1TNwH0gvO3","standard","1","23","HP","8","279.512","287.514","287.845","8.333","0.331","3","69",""
"24","R_10r9D1TNwH0gvO3","standard","1","24","HP","18","288.846","306.861","307.178","18.332","0.317","3","72",""
"25","R_10r9D1TNwH0gvO3","standard","1","25","HP","12","308.191","320.209","320.515","12.324","0.306","3","75",""
"26","R_10r9D1TNwH0gvO3","standard","1","26","HP","14","321.516","335.522","335.84","14.324","0.318","3","78",""
"27","R_10r9D1TNwH0gvO3","standard","1","27","HP","8","336.844","344.855","345.171","8.327","0.316","3","81",""
"28","R_10r9D1TNwH0gvO3","standard","1","28","HP","4","346.188","350.21","350.546","4.358","0.336","3","84",""
"29","R_10r9D1TNwH0gvO3","standard","1","29","HP","6","351.557","357.566","357.914","6.357","0.348","3","87",""
"30","R_10r9D1TNwH0gvO3","standard","1","30","HP","18","358.917","376.924","377.236","18.319","0.312","3","90",""
"31","R_10r9D1TNwH0gvO3","standard","1","31","HP","20","378.244","398.256","398.589","20.345","0.333","3","93",""
"32","R_10r9D1TNwH0gvO3","standard","1","32","HP","4","399.602","403.618","403.943","4.341","0.325","3","96",""
"33","R_10r9D1TNwH0gvO3","standard","1","33","HP","4","404.955","408.97","409.293","4.338","0.323","3","99",""
"34","R_10r9D1TNwH0gvO3","standard","1","34","HP","16","410.314","426.318","426.7","16.386","0.382","3","102",""
"35","R_10r9D1TNwH0gvO3","standard","1","35","HP","14","427.716","441.723","442.106","14.39","0.383","3","105",""
"36","R_10r9D1TNwH0gvO3","standard","1","36","HP","14","443.143","457.147","457.505","14.362","0.358","3","108",""
"37","R_10r9D1TNwH0gvO3","standard","1","37","HP","14","458.525","472.533","472.89","14.365","0.357","3","111",""
"38","R_10r9D1TNwH0gvO3","standard","1","38","HP","10","473.899","483.911","484.229","10.33","0.318","3","114",""
"39","R_10r9D1TNwH0gvO3","standard","1","39","HP","2","485.242","487.256","487.549","2.307","0.293","3","117",""
"40","R_10r9D1TNwH0gvO3","standard","1","40","HP","2","488.555","490.567","490.9","2.345","0.333","3","120",""
"41","R_10r9D1TNwH0gvO3","standard","1","41","HP","8","491.913","499.917","500.275","8.362","0.358","3","123",""
"42","R_10r9D1TNwH0gvO3","standard","1","42","HP","6","501.296","507.316","507.713","6.417","0.397","3","126",""
"43","R_10r9D1TNwH0gvO3","standard","1","43","HP","12","508.715","520.723","521.08","12.365","0.357","3","129",""
"44","R_10r9D1TNwH0gvO3","standard","1","44","HP","16","522.091","538.108","538.423","16.332","0.315","3","132",""
"45","R_10r9D1TNwH0gvO3","standard","1","45","HP","20","539.44","559.453","559.795","20.355","0.342","3","135",""
"46","R_10r9D1TNwH0gvO3","standard","1","46","HP","4","560.812","564.826","565.158","4.346","0.332","3","138",""
"47","R_10r9D1TNwH0gvO3","standard","1","47","HP","2","566.175","568.188","568.544","2.369","0.356","3","141",""
"48","R_10r9D1TNwH0gvO3","standard","1","48","HP","2","569.55","571.565","571.918","2.368","0.353","3","144",""
"49","R_10r9D1TNwH0gvO3","standard","1","49","HP","16","572.927","588.946","589.227","16.3","0.281","3","147",""
