"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_11crjVO6by5PBQK","standard","1","1","HP","12","0.001","12.005","12.323","12.322","0.318","3","3",""
"2","R_11crjVO6by5PBQK","standard","1","2","HP","14","13.327","27.333","27.707","14.38","0.374","3","6",""
"3","R_11crjVO6by5PBQK","standard","1","3","HP","20","28.709","48.709","49.091","20.382","0.382","3","9",""
"4","R_11crjVO6by5PBQK","standard","1","4","HP","8","50.092","58.1","58.659","8.567","0.559","3","12",""
"5","R_11crjVO6by5PBQK","standard","1","5","HP","20","59.66","79.669","80.003","20.343","0.334","3","15",""
"6","R_11crjVO6by5PBQK","standard","1","6","HP","6","81.005","87.006","87.315","6.31","0.309","3","18",""
"7","R_11crjVO6by5PBQK","standard","1","7","HP","2","88.317","90.324","90.795","2.478","0.471","3","21",""
"8","R_11crjVO6by5PBQK","standard","1","8","HP","2","91.796","93.804","94.139","2.343","0.335","3","24",""
"9","R_11crjVO6by5PBQK","standard","1","9","HP","16","95.14","111.149","111.459","16.319","0.31","3","27",""
"10","R_11crjVO6by5PBQK","standard","1","10","HP","10","112.468","122.483","122.819","10.351","0.336","3","30",""
"11","R_11crjVO6by5PBQK","standard","1","11","HP","6","123.822","129.826","130.178","6.356","0.352","3","33",""
"12","R_11crjVO6by5PBQK","standard","1","12","HP","4","131.18","135.187","135.563","4.383","0.376","3","36",""
"13","R_11crjVO6by5PBQK","standard","1","13","HP","20","136.564","156.586","156.843","20.279","0.257","3","39",""
"14","R_11crjVO6by5PBQK","standard","1","14","HP","20","157.844","177.853","178.179","20.335","0.326","3","42",""
"15","R_11crjVO6by5PBQK","standard","1","15","HP","18","179.181","197.188","197.507","18.326","0.319","3","45",""
"16","R_11crjVO6by5PBQK","standard","1","16","HP","8","198.509","206.529","206.883","8.374","0.354","3","48",""
"17","R_11crjVO6by5PBQK","standard","1","17","HP","8","207.884","215.892","216.323","8.439","0.431","3","51",""
"18","R_11crjVO6by5PBQK","standard","1","18","HP","16","217.33","233.335","233.667","16.337","0.332","3","54",""
"19","R_11crjVO6by5PBQK","standard","1","19","HP","8","234.678","242.69","243.019","8.341","0.329","3","57",""
"20","R_11crjVO6by5PBQK","standard","1","20","HP","2","244.026","246.03","246.587","2.561","0.557","3","60",""
"21","R_11crjVO6by5PBQK","standard","1","21","HP","12","247.588","259.596","259.915","12.327","0.319","3","63",""
"22","R_11crjVO6by5PBQK","standard","1","22","HP","4","260.921","264.932","265.283","4.362","0.351","3","66",""
"23","R_11crjVO6by5PBQK","standard","1","23","HP","12","266.284","278.297","278.595","12.311","0.298","3","69",""
"24","R_11crjVO6by5PBQK","standard","1","24","HP","20","279.611","299.616","299.954","20.343","0.338","3","72",""
"25","R_11crjVO6by5PBQK","standard","1","25","HP","10","300.955","310.964","311.338","10.383","0.374","3","75",""
