"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_11jx8Pysned9dYc","standard","1","1","HP","2","0.001","2.006","2.512","2.511","0.506","3","3",""
"2","R_11jx8Pysned9dYc","standard","1","2","HP","4","3.518","7.526","7.791","4.273","0.265","3","6",""
"3","R_11jx8Pysned9dYc","standard","1","3","HP","10","8.798","18.806","19.128","10.33","0.322","3","9",""
"4","R_11jx8Pysned9dYc","standard","1","4","HP","18","20.134","38.142","38.439","18.305","0.297","3","12",""
"5","R_11jx8Pysned9dYc","standard","1","5","HP","20","39.446","59.454","59.849","20.403","0.395","3","15",""
"6","R_11jx8Pysned9dYc","standard","1","6","HP","16","60.854","76.862","77.128","16.274","0.266","3","18",""
"7","R_11jx8Pysned9dYc","standard","1","7","HP","12","78.134","90.142","90.647","12.513","0.505","3","21",""
"8","R_11jx8Pysned9dYc","standard","1","8","HP","16","91.654","107.662","107.912","16.258","0.25","3","24",""
"9","R_11jx8Pysned9dYc","standard","1","9","HP","16","108.918","124.925","125.216","16.298","0.291","3","27",""
"10","R_11jx8Pysned9dYc","standard","1","10","HP","16","126.222","142.23","142.519","16.297","0.289","3","30",""
"11","R_11jx8Pysned9dYc","standard","1","11","HP","8","143.525","151.526","151.872","8.347","0.346","3","33",""
"12","R_11jx8Pysned9dYc","standard","1","12","HP","14","152.878","166.886","NA","15.016","NA","0","33",""
"13","R_11jx8Pysned9dYc","standard","1","13","HP","20","168.902","188.903","189.208","20.306","0.305","3","36",""
"14","R_11jx8Pysned9dYc","standard","1","14","HP","4","190.214","194.222","194.991","4.777","0.769","3","39",""
"15","R_11jx8Pysned9dYc","standard","1","15","HP","12","195.998","208.006","208.36","12.362","0.354","3","42",""
"16","R_11jx8Pysned9dYc","standard","1","16","HP","10","209.366","219.374","219.728","10.362","0.354","3","45",""
"17","R_11jx8Pysned9dYc","standard","1","17","HP","12","220.734","232.742","233.056","12.322","0.314","3","48",""
"18","R_11jx8Pysned9dYc","standard","1","18","HP","14","234.062","248.07","248.392","14.33","0.322","3","51",""
"19","R_11jx8Pysned9dYc","standard","1","19","HP","8","249.398","257.406","257.912","8.514","0.506","3","54",""
"20","R_11jx8Pysned9dYc","standard","1","20","HP","2","258.918","260.925","261.633","2.715","0.708","3","57",""
"21","R_11jx8Pysned9dYc","standard","1","21","HP","2","262.638","264.642","265.048","2.41","0.406","3","60",""
"22","R_11jx8Pysned9dYc","standard","1","22","HP","12","266.054","278.062","278.424","12.37","0.362","3","63",""
"23","R_11jx8Pysned9dYc","standard","1","23","HP","8","279.43","287.432","287.952","8.522","0.52","3","66",""
"24","R_11jx8Pysned9dYc","standard","1","24","HP","2","288.958","290.966","291.608","2.65","0.642","3","69",""
"25","R_11jx8Pysned9dYc","standard","1","25","HP","16","292.614","308.622","308.936","16.322","0.314","3","72",""
"26","R_11jx8Pysned9dYc","standard","1","26","HP","14","309.942","323.95","NA","15.017","NA","0","69","13538"
"27","R_11jx8Pysned9dYc","standard","1","27","HP","12","325.966","337.974","338.32","12.354","0.346","3","72",""
"28","R_11jx8Pysned9dYc","standard","1","28","HP","6","339.325","345.326","345.76","6.435","0.434","3","75",""
"29","R_11jx8Pysned9dYc","standard","1","29","HP","6","346.766","352.774","353.152","6.386","0.378","3","78",""
"30","R_11jx8Pysned9dYc","standard","1","30","HP","14","354.158","368.166","368.792","14.634","0.626","3","81",""
"31","R_11jx8Pysned9dYc","standard","1","31","HP","2","369.798","371.806","372.36","2.562","0.554","3","84",""
"32","R_11jx8Pysned9dYc","standard","1","32","HP","8","373.366","381.374","381.729","8.363","0.355","3","87",""
"33","R_11jx8Pysned9dYc","standard","1","33","HP","2","382.734","384.742","385.256","2.522","0.514","3","90",""
"34","R_11jx8Pysned9dYc","standard","1","34","HP","14","386.262","400.27","400.592","14.33","0.322","3","93",""
"35","R_11jx8Pysned9dYc","standard","1","35","HP","4","401.598","405.606","406.064","4.466","0.458","3","96",""
"36","R_11jx8Pysned9dYc","standard","1","36","HP","4","407.07","411.078","411.481","4.411","0.403","3","99",""
"37","R_11jx8Pysned9dYc","standard","1","37","HP","20","412.486","432.494","432.817","20.331","0.323","3","102",""
"38","R_11jx8Pysned9dYc","standard","1","38","HP","4","433.822","437.83","438.657","4.835","0.827","3","105",""
"39","R_11jx8Pysned9dYc","standard","1","39","HP","2","439.662","441.67","NA","3.017","NA","0","105",""
"40","R_11jx8Pysned9dYc","standard","1","40","HP","10","443.686","453.694","454.034","10.348","0.34","3","108",""
"41","R_11jx8Pysned9dYc","standard","1","41","HP","20","455.038","475.041","475.377","20.339","0.336","3","111",""
"42","R_11jx8Pysned9dYc","standard","1","42","HP","14","476.382","490.39","490.777","14.395","0.387","3","114",""
"43","R_11jx8Pysned9dYc","standard","1","43","HP","6","491.782","497.79","498.081","6.299","0.291","3","117",""
"44","R_11jx8Pysned9dYc","standard","1","44","HP","2","499.086","501.094","502.041","2.955","0.947","3","120",""
"45","R_11jx8Pysned9dYc","standard","1","45","HP","6","503.046","509.054","509.353","6.307","0.299","3","123",""
"46","R_11jx8Pysned9dYc","standard","1","46","HP","6","510.358","516.366","516.865","6.507","0.499","3","126",""
"47","R_11jx8Pysned9dYc","standard","1","47","HP","2","517.87","519.878","520.329","2.459","0.451","3","129",""
"48","R_11jx8Pysned9dYc","standard","1","48","HP","2","521.334","523.342","523.697","2.363","0.355","3","132",""
"49","R_11jx8Pysned9dYc","standard","1","49","HP","16","524.702","540.703","541.097","16.395","0.394","3","135",""
"50","R_11jx8Pysned9dYc","standard","1","50","HP","20","542.102","562.103","562.465","20.363","0.362","3","138",""
"51","R_11jx8Pysned9dYc","standard","1","51","HP","14","563.47","577.478","577.761","14.291","0.283","3","141",""
"52","R_11jx8Pysned9dYc","standard","1","52","HP","12","578.766","590.774","591.241","12.475","0.467","3","144",""
"53","R_11jx8Pysned9dYc","standard","1","53","HP","18","592.246","610.254","610.619","18.373","0.365","3","147",""
"54","R_11jx8Pysned9dYc","standard","1","54","HP","16","611.622","627.63","628.003","16.381","0.373","3","150",""
"55","R_11jx8Pysned9dYc","standard","1","55","HP","14","629.006","643.007","643.354","14.348","0.347","3","153",""
"56","R_11jx8Pysned9dYc","standard","1","56","HP","16","644.358","660.366","660.819","16.461","0.453","3","156",""
"57","R_11jx8Pysned9dYc","standard","1","57","HP","16","661.822","677.83","678.115","16.293","0.285","3","159",""
"58","R_11jx8Pysned9dYc","standard","1","58","HP","14","679.118","693.123","693.482","14.364","0.359","3","162",""
"59","R_11jx8Pysned9dYc","standard","1","59","HP","6","694.486","700.494","700.914","6.428","0.42","3","165",""
"60","R_11jx8Pysned9dYc","standard","1","60","HP","18","701.918","719.923","720.419","18.501","0.496","3","168",""
"61","R_11jx8Pysned9dYc","standard","1","61","HP","10","721.422","731.43","732.019","10.597","0.589","3","171",""
"62","R_11jx8Pysned9dYc","standard","1","62","HP","4","733.022","737.03","NA","5.017","NA","0","171",""
"63","R_11jx8Pysned9dYc","standard","1","63","HP","20","739.04","759.046","759.458","20.418","0.412","3","174",""
"64","R_11jx8Pysned9dYc","standard","1","64","HP","10","760.462","770.47","770.732","10.27","0.262","3","177",""
"65","R_11jx8Pysned9dYc","standard","1","65","HP","12","771.734","783.742","784.315","12.581","0.573","3","180",""
"66","R_11jx8Pysned9dYc","standard","1","66","HP","8","785.318","793.323","793.706","8.388","0.383","3","183",""
"67","R_11jx8Pysned9dYc","standard","1","67","HP","16","794.71","810.718","811.042","16.332","0.324","3","186",""
"68","R_11jx8Pysned9dYc","standard","1","68","HP","18","812.046","830.054","830.338","18.292","0.284","3","189",""
