"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_12KibgPrDOo9ll5","standard","1","1","HP","6","0.001","6.007","6.49","6.489","0.483","3","3",""
"2","R_12KibgPrDOo9ll5","standard","1","2","HP","2","7.495","9.503","10.194","2.699","0.691","3","6",""
"3","R_12KibgPrDOo9ll5","standard","1","3","HP","6","11.199","17.207","17.627","6.428","0.42","3","9",""
"4","R_12KibgPrDOo9ll5","standard","1","4","HP","18","18.631","36.64","37.018","18.387","0.378","3","12",""
"5","R_12KibgPrDOo9ll5","standard","1","5","HP","4","38.023","42.031","42.482","4.459","0.451","3","15",""
"6","R_12KibgPrDOo9ll5","standard","1","6","HP","14","43.487","57.497","57.907","14.42","0.41","3","18",""
"7","R_12KibgPrDOo9ll5","standard","1","7","HP","12","58.909","70.912","71.403","12.494","0.491","3","21",""
"8","R_12KibgPrDOo9ll5","standard","1","8","HP","4","72.407","76.412","76.914","4.507","0.502","3","24",""
"9","R_12KibgPrDOo9ll5","standard","1","9","HP","18","77.919","95.927","96.395","18.476","0.468","3","27",""
"10","R_12KibgPrDOo9ll5","standard","1","10","HP","20","97.399","117.407","117.835","20.436","0.428","3","30",""
"11","R_12KibgPrDOo9ll5","standard","1","11","HP","12","118.839","130.847","131.291","12.452","0.444","3","33",""
"12","R_12KibgPrDOo9ll5","standard","1","12","HP","18","132.295","150.303","150.779","18.484","0.476","3","36",""
"13","R_12KibgPrDOo9ll5","standard","1","13","HP","2","151.783","153.791","154.795","3.012","1.004","3","39",""
"14","R_12KibgPrDOo9ll5","standard","1","14","HP","18","155.799","173.807","174.21","18.411","0.403","3","42",""
"15","R_12KibgPrDOo9ll5","standard","1","15","HP","10","175.212","185.216","NA","11.008","NA","0","42",""
"16","R_12KibgPrDOo9ll5","standard","1","16","HP","6","187.221","193.223","193.586","6.365","0.363","3","45",""
"17","R_12KibgPrDOo9ll5","standard","1","17","HP","14","194.591","208.599","209.035","14.444","0.436","3","48",""
"18","R_12KibgPrDOo9ll5","standard","1","18","HP","6","210.039","216.046","216.53","6.491","0.484","3","51",""
"19","R_12KibgPrDOo9ll5","standard","1","19","HP","8","217.535","225.543","225.914","8.379","0.371","3","54",""
"20","R_12KibgPrDOo9ll5","standard","1","20","HP","14","226.92","240.927","241.267","14.347","0.34","3","57",""
"21","R_12KibgPrDOo9ll5","standard","1","21","HP","6","242.272","248.279","248.778","6.506","0.499","3","60",""
"22","R_12KibgPrDOo9ll5","standard","1","22","HP","8","249.783","257.791","258.203","8.42","0.412","3","63",""
"23","R_12KibgPrDOo9ll5","standard","1","23","HP","4","259.207","263.211","263.842","4.635","0.631","3","66",""
"24","R_12KibgPrDOo9ll5","standard","1","24","HP","6","264.847","270.855","271.243","6.396","0.388","3","69",""
"25","R_12KibgPrDOo9ll5","standard","1","25","HP","20","272.246","292.044","292.472","20.226","0.428","3","72",""
"26","R_12KibgPrDOo9ll5","standard","1","26","HP","8","293.477","301.485","301.968","8.491","0.483","3","75",""
"27","R_12KibgPrDOo9ll5","standard","1","27","HP","14","302.974","316.982","317.425","14.451","0.443","3","78",""
"28","R_12KibgPrDOo9ll5","standard","1","28","HP","4","318.429","322.438","322.912","4.483","0.474","3","81",""
"29","R_12KibgPrDOo9ll5","standard","1","29","HP","8","323.917","331.926","332.489","8.572","0.563","3","84",""
"30","R_12KibgPrDOo9ll5","standard","1","30","HP","12","333.493","345.502","346.009","12.516","0.507","3","87",""
"31","R_12KibgPrDOo9ll5","standard","1","31","HP","16","347.014","363.021","363.473","16.459","0.452","3","90",""
"32","R_12KibgPrDOo9ll5","standard","1","32","HP","2","364.477","366.485","367.049","2.572","0.564","3","93",""
"33","R_12KibgPrDOo9ll5","standard","1","33","HP","14","368.054","382.061","382.496","14.442","0.435","3","96",""
"34","R_12KibgPrDOo9ll5","standard","1","34","HP","8","383.498","391.509","391.952","8.454","0.443","3","99",""
"35","R_12KibgPrDOo9ll5","standard","1","35","HP","12","392.957","404.965","405.377","12.42","0.412","3","102",""
"36","R_12KibgPrDOo9ll5","standard","1","36","HP","12","406.381","418.389","418.817","12.436","0.428","3","102","6604"
"37","R_12KibgPrDOo9ll5","standard","1","37","HP","2","419.821","421.822","422.352","2.531","0.53","3","105",""
"38","R_12KibgPrDOo9ll5","standard","1","38","HP","12","423.358","435.365","435.833","12.475","0.468","3","108",""
"39","R_12KibgPrDOo9ll5","standard","1","39","HP","10","436.837","446.844","447.385","10.548","0.541","3","111",""
"40","R_12KibgPrDOo9ll5","standard","1","40","HP","20","448.389","468.396","468.857","20.468","0.461","3","114",""
"41","R_12KibgPrDOo9ll5","standard","1","41","HP","8","469.861","477.869","478.344","8.483","0.475","3","117",""
"42","R_12KibgPrDOo9ll5","standard","1","42","HP","20","479.349","499.358","499.849","20.5","0.491","3","120",""
"43","R_12KibgPrDOo9ll5","standard","1","43","HP","2","500.853","502.867","503.376","2.523","0.509","3","123",""
"44","R_12KibgPrDOo9ll5","standard","1","44","HP","12","504.393","516.397","516.937","12.544","0.54","3","126",""
"45","R_12KibgPrDOo9ll5","standard","1","45","HP","8","517.941","525.949","526.376","8.435","0.427","3","129",""
"46","R_12KibgPrDOo9ll5","standard","1","46","HP","8","527.38","535.389","535.945","8.565","0.556","3","132",""
"47","R_12KibgPrDOo9ll5","standard","1","47","HP","2","536.949","538.956","539.456","2.507","0.5","3","135",""
"48","R_12KibgPrDOo9ll5","standard","1","48","HP","12","540.461","552.469","552.872","12.411","0.403","3","138",""
