"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_12mcWv7G7DAUfS7","standard","1","1","HP","12","0.002","12.019","12.838","12.836","0.819","3","3",""
"2","R_12mcWv7G7DAUfS7","standard","1","2","HP","18","13.841","31.872","32.438","18.597","0.566","3","6",""
"3","R_12mcWv7G7DAUfS7","standard","1","3","HP","2","33.44","35.448","NA","3.021","NA","0","6",""
"4","R_12mcWv7G7DAUfS7","standard","1","4","HP","8","37.466","45.48","45.997","8.531","0.517","3","9",""
"5","R_12mcWv7G7DAUfS7","standard","1","5","HP","2","47","49.017","NA","3.022","NA","0","9",""
"6","R_12mcWv7G7DAUfS7","standard","1","6","HP","20","51.024","71.039","71.708","20.684","0.669","3","12",""
"7","R_12mcWv7G7DAUfS7","standard","1","7","HP","16","72.713","88.719","89.395","16.682","0.676","3","15",""
"8","R_12mcWv7G7DAUfS7","standard","1","8","HP","14","90.465","104.476","105.176","14.711","0.7","3","18",""
"9","R_12mcWv7G7DAUfS7","standard","1","9","HP","12","106.195","118.199","118.914","12.719","0.715","3","21",""
"10","R_12mcWv7G7DAUfS7","standard","1","10","HP","4","119.919","123.925","NA","5.007","NA","0","21",""
"11","R_12mcWv7G7DAUfS7","standard","1","11","HP","10","126.032","136.055","NA","11.045","NA","0","21",""
"12","R_12mcWv7G7DAUfS7","standard","1","12","HP","20","138.078","158.138","158.727","20.649","0.589","3","24",""
"13","R_12mcWv7G7DAUfS7","standard","1","13","HP","2","159.735","161.854","NA","3.121","NA","0","24",""
"14","R_12mcWv7G7DAUfS7","standard","1","14","HP","16","163.873","179.888","180.539","16.666","0.651","3","27",""
"15","R_12mcWv7G7DAUfS7","standard","1","15","HP","6","181.544","187.552","188.222","6.678","0.67","3","30",""
"16","R_12mcWv7G7DAUfS7","standard","1","16","HP","12","189.346","201.351","202.032","12.686","0.681","3","33",""
"17","R_12mcWv7G7DAUfS7","standard","1","17","HP","2","203.041","205.042","205.941","2.9","0.899","3","36",""
"18","R_12mcWv7G7DAUfS7","standard","1","18","HP","12","206.966","218.967","219.656","12.69","0.689","3","39",""
"19","R_12mcWv7G7DAUfS7","standard","1","19","HP","16","220.657","236.67","237.303","16.646","0.633","3","42",""
"20","R_12mcWv7G7DAUfS7","standard","1","20","HP","16","238.305","254.317","255.045","16.74","0.728","3","45",""
"21","R_12mcWv7G7DAUfS7","standard","1","21","HP","16","256.056","272.063","272.773","16.717","0.71","3","48",""
"22","R_12mcWv7G7DAUfS7","standard","1","22","HP","20","273.799","293.808","294.379","20.58","0.571","3","51",""
"23","R_12mcWv7G7DAUfS7","standard","1","23","HP","6","295.398","301.419","302.054","6.656","0.635","3","54",""
"24","R_12mcWv7G7DAUfS7","standard","1","24","HP","4","303.866","308.587","309.403","5.537","0.816","3","57",""
"25","R_12mcWv7G7DAUfS7","standard","1","25","HP","18","310.483","328.498","329.279","18.796","0.781","3","57","5807"
"26","R_12mcWv7G7DAUfS7","standard","1","26","HP","12","330.589","342.592","343.298","12.709","0.706","3","60",""
"27","R_12mcWv7G7DAUfS7","standard","1","27","HP","18","344.584","362.59","363.281","18.697","0.691","3","63",""
"28","R_12mcWv7G7DAUfS7","standard","1","28","HP","18","364.334","382.343","382.961","18.627","0.618","3","66",""
"29","R_12mcWv7G7DAUfS7","standard","1","29","HP","16","384.583","400.598","401.18","16.597","0.582","3","69",""
"30","R_12mcWv7G7DAUfS7","standard","1","30","HP","10","402.193","412.199","412.919","10.726","0.72","3","72",""
"31","R_12mcWv7G7DAUfS7","standard","1","31","HP","12","413.928","426.509","427.155","13.227","0.646","3","75",""
"32","R_12mcWv7G7DAUfS7","standard","1","32","HP","8","428.158","436.583","437.398","9.24","0.815","3","78",""
"33","R_12mcWv7G7DAUfS7","standard","1","33","HP","6","439.634","445.639","446.36","6.726","0.721","3","81",""
"34","R_12mcWv7G7DAUfS7","standard","1","34","HP","14","447.584","461.591","462.338","14.754","0.747","3","84",""
"35","R_12mcWv7G7DAUfS7","standard","1","35","HP","8","463.586","471.592","NA","9.015","NA","0","84",""
"36","R_12mcWv7G7DAUfS7","standard","1","36","HP","18","474.586","492.593","493.249","18.663","0.656","3","84","8643"
"37","R_12mcWv7G7DAUfS7","standard","1","37","HP","12","494.586","507.584","NA","15.019","NA","0","84",""
"38","R_12mcWv7G7DAUfS7","standard","1","38","HP","16","510.613","526.711","NA","17.536","NA","0","81","13667"
"39","R_12mcWv7G7DAUfS7","standard","1","39","HP","6","529.152","535.594","NA","7.467","NA","0","81",""
"40","R_12mcWv7G7DAUfS7","standard","1","40","HP","16","538.585","554.591","NA","17.039","NA","0","81",""
"41","R_12mcWv7G7DAUfS7","standard","1","41","HP","8","556.756","565.585","566.535","9.779","0.95","3","84",""
"42","R_12mcWv7G7DAUfS7","standard","1","42","HP","2","567.584","570.601","NA","4.879","NA","0","84",""
"43","R_12mcWv7G7DAUfS7","standard","1","43","HP","8","573.49","583.699","584.379","10.889","0.68","3","87",""
"44","R_12mcWv7G7DAUfS7","standard","1","44","HP","10","586.014","596.038","596.73","10.716","0.692","3","90",""
"45","R_12mcWv7G7DAUfS7","standard","1","45","HP","10","597.733","608.583","NA","12.853","NA","0","90",""
"46","R_12mcWv7G7DAUfS7","standard","1","46","HP","18","611.593","629.601","630.279","18.686","0.678","3","93",""
"47","R_12mcWv7G7DAUfS7","standard","1","47","HP","6","631.586","638.596","NA","8.556","NA","0","93",""
"48","R_12mcWv7G7DAUfS7","standard","1","48","HP","16","641.144","657.152","657.874","16.73","0.722","3","96",""
"49","R_12mcWv7G7DAUfS7","standard","1","49","HP","4","659.592","664.583","NA","7.181","NA","0","96",""
"50","R_12mcWv7G7DAUfS7","standard","1","50","HP","4","668.772","673.585","NA","5.824","NA","0","96",""
"51","R_12mcWv7G7DAUfS7","standard","1","51","HP","6","676.585","682.604","NA","7.901","NA","0","96",""
"52","R_12mcWv7G7DAUfS7","standard","1","52","HP","2","685.488","687.584","NA","3.213","NA","0","96",""
"53","R_12mcWv7G7DAUfS7","standard","1","53","HP","6","690.611","696.615","697.293","6.682","0.678","3","99",""
"54","R_12mcWv7G7DAUfS7","standard","1","54","HP","18","698.296","716.304","716.945","18.649","0.641","3","96","c(""7394"", ""14275"")"
"55","R_12mcWv7G7DAUfS7","standard","1","55","HP","8","718.6","727.686","NA","10.991","NA","0","96",""
"56","R_12mcWv7G7DAUfS7","standard","1","56","HP","6","732.375","738.384","739.244","6.869","0.86","3","99",""
"57","R_12mcWv7G7DAUfS7","standard","1","57","HP","4","740.47","744.614","NA","6.274","NA","0","99",""
"58","R_12mcWv7G7DAUfS7","standard","1","58","HP","8","747.957","755.96","756.719","8.762","0.759","3","102",""
"59","R_12mcWv7G7DAUfS7","standard","1","59","HP","2","763.595","766.584","NA","4.99","NA","0","102",""
"60","R_12mcWv7G7DAUfS7","standard","1","60","HP","6","769.594","777.024","NA","8.49","NA","0","99","16"
"61","R_12mcWv7G7DAUfS7","standard","1","61","HP","2","779.02","781.222","781.939","2.919","0.717","3","102",""
"62","R_12mcWv7G7DAUfS7","standard","1","62","HP","12","784.848","797.042","NA","13.218","NA","0","99","1578"
"63","R_12mcWv7G7DAUfS7","standard","1","63","HP","6","799.084","805.088","805.825","6.741","0.737","3","102",""
