"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1DHCtGzazro9v2Q","standard","1","1","HP","12","0.003","12.016","12.436","12.433","0.42","3","3",""
"2","R_1DHCtGzazro9v2Q","standard","1","2","HP","2","13.459","15.481","16.143","2.684","0.662","3","6",""
"3","R_1DHCtGzazro9v2Q","standard","1","3","HP","6","17.159","23.184","23.682","6.523","0.498","3","9",""
"4","R_1DHCtGzazro9v2Q","standard","1","4","HP","20","24.691","44.71","45.153","20.462","0.443","3","12",""
"5","R_1DHCtGzazro9v2Q","standard","1","5","HP","12","46.158","58.179","58.705","12.547","0.526","3","15",""
"6","R_1DHCtGzazro9v2Q","standard","1","6","HP","12","59.71","71.713","72.189","12.479","0.476","3","18",""
"7","R_1DHCtGzazro9v2Q","standard","1","7","HP","8","73.21","81.214","81.697","8.487","0.483","3","21",""
"8","R_1DHCtGzazro9v2Q","standard","1","8","HP","14","82.71","96.731","97.233","14.523","0.502","3","24",""
"9","R_1DHCtGzazro9v2Q","standard","1","9","HP","16","98.239","114.243","114.658","16.419","0.415","3","27",""
"10","R_1DHCtGzazro9v2Q","standard","1","10","HP","6","115.676","121.69","122.169","6.493","0.479","3","30",""
"11","R_1DHCtGzazro9v2Q","standard","1","11","HP","10","123.192","133.207","133.695","10.503","0.488","3","33",""
"12","R_1DHCtGzazro9v2Q","standard","1","12","HP","4","134.706","138.722","139.138","4.432","0.416","3","36",""
"13","R_1DHCtGzazro9v2Q","standard","1","13","HP","6","140.142","146.152","146.588","6.446","0.436","3","39",""
"14","R_1DHCtGzazro9v2Q","standard","1","14","HP","10","147.596","157.605","157.979","10.383","0.374","3","42",""
"15","R_1DHCtGzazro9v2Q","standard","1","15","HP","2","158.991","161.013","161.69","2.699","0.677","3","45",""
"16","R_1DHCtGzazro9v2Q","standard","1","16","HP","2","162.718","164.725","NA","3.011","NA","0","45",""
"17","R_1DHCtGzazro9v2Q","standard","1","17","HP","12","166.731","178.735","179.097","12.366","0.362","3","48",""
"18","R_1DHCtGzazro9v2Q","standard","1","18","HP","20","180.103","200.111","200.542","20.439","0.431","3","51",""
"19","R_1DHCtGzazro9v2Q","standard","1","19","HP","4","201.548","205.57","206.098","4.55","0.528","3","54",""
"20","R_1DHCtGzazro9v2Q","standard","1","20","HP","8","207.114","215.131","215.58","8.466","0.449","3","57",""
"21","R_1DHCtGzazro9v2Q","standard","1","21","HP","14","216.602","230.617","231.055","14.453","0.438","3","60",""
"22","R_1DHCtGzazro9v2Q","standard","1","22","HP","18","232.063","250.069","250.471","18.408","0.402","3","63",""
"23","R_1DHCtGzazro9v2Q","standard","1","23","HP","16","251.484","267.498","267.969","16.485","0.471","3","66",""
"24","R_1DHCtGzazro9v2Q","standard","1","24","HP","4","268.983","272.99","273.437","4.454","0.447","3","69",""
"25","R_1DHCtGzazro9v2Q","standard","1","25","HP","12","274.446","286.455","286.927","12.481","0.472","3","72",""
"26","R_1DHCtGzazro9v2Q","standard","1","26","HP","20","287.945","307.959","308.312","20.367","0.353","3","75",""
"27","R_1DHCtGzazro9v2Q","standard","1","27","HP","16","309.313","325.316","325.782","16.469","0.466","3","78",""
"28","R_1DHCtGzazro9v2Q","standard","1","28","HP","14","326.796","340.81","341.21","14.414","0.4","3","81",""
"29","R_1DHCtGzazro9v2Q","standard","1","29","HP","10","342.213","352.221","352.735","10.522","0.514","3","84",""
"30","R_1DHCtGzazro9v2Q","standard","1","30","HP","6","353.754","359.778","360.276","6.522","0.498","3","87",""
"31","R_1DHCtGzazro9v2Q","standard","1","31","HP","4","361.293","365.309","365.729","4.436","0.42","3","90",""
"32","R_1DHCtGzazro9v2Q","standard","1","32","HP","4","366.739","370.748","371.285","4.546","0.537","3","93",""
"33","R_1DHCtGzazro9v2Q","standard","1","33","HP","12","372.293","384.314","384.719","12.426","0.405","3","96",""
"34","R_1DHCtGzazro9v2Q","standard","1","34","HP","12","385.722","397.726","398.119","12.397","0.393","3","99",""
"35","R_1DHCtGzazro9v2Q","standard","1","35","HP","10","399.121","409.124","409.583","10.462","0.459","3","102",""
"36","R_1DHCtGzazro9v2Q","standard","1","36","HP","4","410.598","414.607","415.065","4.467","0.458","3","105",""
"37","R_1DHCtGzazro9v2Q","standard","1","37","HP","10","416.076","426.091","426.45","10.374","0.359","3","108",""
"38","R_1DHCtGzazro9v2Q","standard","1","38","HP","6","427.452","433.474","433.844","6.392","0.37","3","111",""
"39","R_1DHCtGzazro9v2Q","standard","1","39","HP","14","434.852","448.873","449.261","14.409","0.388","3","114",""
"40","R_1DHCtGzazro9v2Q","standard","1","40","HP","18","450.276","468.287","468.747","18.471","0.46","3","117",""
"41","R_1DHCtGzazro9v2Q","standard","1","41","HP","2","469.757","471.759","472.176","2.419","0.417","3","120",""
"42","R_1DHCtGzazro9v2Q","standard","1","42","HP","18","473.18","491.202","491.59","18.41","0.388","3","123",""
"43","R_1DHCtGzazro9v2Q","standard","1","43","HP","18","492.605","510.618","511.011","18.406","0.393","3","126",""
"44","R_1DHCtGzazro9v2Q","standard","1","44","HP","10","512.021","522.032","522.4","10.379","0.368","3","129",""
"45","R_1DHCtGzazro9v2Q","standard","1","45","HP","6","523.417","529.421","530.062","6.645","0.641","3","132",""
"46","R_1DHCtGzazro9v2Q","standard","1","46","HP","10","531.085","541.095","541.527","10.442","0.432","3","135",""
"47","R_1DHCtGzazro9v2Q","standard","1","47","HP","12","542.536","554.541","554.988","12.452","0.447","3","138",""
"48","R_1DHCtGzazro9v2Q","standard","1","48","HP","6","555.999","562.015","562.508","6.509","0.493","3","141",""
"49","R_1DHCtGzazro9v2Q","standard","1","49","HP","18","563.516","581.518","581.948","18.432","0.43","3","144",""
"50","R_1DHCtGzazro9v2Q","standard","1","50","HP","20","582.967","602.981","603.402","20.435","0.421","3","147",""
"51","R_1DHCtGzazro9v2Q","standard","1","51","HP","4","604.414","608.416","608.893","4.479","0.477","3","150",""
"52","R_1DHCtGzazro9v2Q","standard","1","52","HP","2","609.913","611.918","612.386","2.473","0.468","3","153",""
"53","R_1DHCtGzazro9v2Q","standard","1","53","HP","2","613.396","615.412","615.85","2.454","0.438","3","156",""
"54","R_1DHCtGzazro9v2Q","standard","1","54","HP","10","616.86","626.879","627.321","10.461","0.442","3","159",""
"55","R_1DHCtGzazro9v2Q","standard","1","55","HP","20","628.326","648.33","648.705","20.379","0.375","3","162",""
