"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1DUqYkDOMF5miKd","standard","1","1","LP","2.15079707022835","0.001","2.163","2.552","2.551","0.389","3","3",""
"2","R_1DUqYkDOMF5miKd","standard","1","2","LP","0.264713485566566","3.556","3.834","4.231","0.675","0.397","3","6",""
"3","R_1DUqYkDOMF5miKd","standard","1","3","LP","30","5.243","35.255","35.576","30.333","0.321","3","9",""
"4","R_1DUqYkDOMF5miKd","standard","1","4","LP","30","36.583","66.595","66.904","30.321","0.309","3","12",""
"5","R_1DUqYkDOMF5miKd","standard","1","5","LP","2.15079707022835","67.908","70.06","70.488","2.58","0.428","3","15",""
"6","R_1DUqYkDOMF5miKd","standard","1","6","LP","30","71.492","101.507","101.832","30.34","0.325","3","18",""
"7","R_1DUqYkDOMF5miKd","standard","1","7","LP","19.8235243429556","102.832","122.666","122.992","20.16","0.326","3","21",""
"8","R_1DUqYkDOMF5miKd","standard","1","8","LP","1.25738905644119","123.998","125.266","125.959","1.961","0.693","3","24",""
"9","R_1DUqYkDOMF5miKd","standard","1","9","LP","0.264713485566566","126.971","127.24","127.56","0.589","0.32","3","27",""
"10","R_1DUqYkDOMF5miKd","standard","1","10","LP","8.51632916846187","128.566","137.087","137.399","8.833","0.312","3","30",""
"11","R_1DUqYkDOMF5miKd","standard","1","11","LP","5.5010771219302","138.414","143.923","144.272","5.858","0.349","3","33",""
"12","R_1DUqYkDOMF5miKd","standard","1","12","LP","3.49090909090909","145.276","148.771","149.071","3.795","0.3","3","36",""
"13","R_1DUqYkDOMF5miKd","standard","1","13","LP","3.49090909090909","150.075","153.57","153.92","3.845","0.35","3","39",""
"14","R_1DUqYkDOMF5miKd","standard","1","14","LP","0.661783713916415","154.92","155.594","155.975","1.055","0.381","3","42",""
"15","R_1DUqYkDOMF5miKd","standard","1","15","LP","0.264713485566566","156.976","157.247","157.559","0.583","0.312","3","45",""
"16","R_1DUqYkDOMF5miKd","standard","1","16","LP","1.25738905644119","158.562","159.822","160.223","1.661","0.401","3","48",""
"17","R_1DUqYkDOMF5miKd","standard","1","17","LP","8.51632916846187","161.238","169.762","170.12","8.882","0.358","3","51",""
"18","R_1DUqYkDOMF5miKd","standard","1","18","LP","5.5010771219302","171.127","176.642","177.007","5.88","0.365","3","54",""
"19","R_1DUqYkDOMF5miKd","standard","1","19","LP","3.49090909090909","178.016","181.509","181.848","3.832","0.339","3","57",""
"20","R_1DUqYkDOMF5miKd","standard","1","20","LP","3.49090909090909","182.863","186.368","186.703","3.84","0.335","3","60",""
"21","R_1DUqYkDOMF5miKd","standard","1","21","LP","19.8235243429556","187.719","207.551","207.855","20.136","0.304","3","63",""
"22","R_1DUqYkDOMF5miKd","standard","1","22","LP","3.49090909090909","208.859","212.351","212.703","3.844","0.352","3","66",""
"23","R_1DUqYkDOMF5miKd","standard","1","23","LP","13.0392072382594","213.71","226.754","227.072","13.362","0.318","3","69",""
