"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1DYfP0ZeIWvN95x","standard","1","1","HP","10","0","10.013","10.325","10.325","0.312","3","3",""
"2","R_1DYfP0ZeIWvN95x","standard","1","2","HP","4","11.335","15.341","15.972","4.637","0.631","3","6",""
"3","R_1DYfP0ZeIWvN95x","standard","1","3","HP","18","16.984","34.992","35.281","18.297","0.289","3","9",""
"4","R_1DYfP0ZeIWvN95x","standard","1","4","HP","12","36.285","48.304","48.596","12.311","0.292","3","12",""
"5","R_1DYfP0ZeIWvN95x","standard","1","5","HP","6","49.597","55.606","55.977","6.38","0.371","3","15",""
"6","R_1DYfP0ZeIWvN95x","standard","1","6","HP","18","56.98","75","75.285","18.305","0.285","3","18",""
"7","R_1DYfP0ZeIWvN95x","standard","1","7","HP","14","76.295","90.302","90.616","14.321","0.314","3","21",""
"8","R_1DYfP0ZeIWvN95x","standard","1","8","HP","16","91.617","107.621","107.932","16.315","0.311","3","24",""
"9","R_1DYfP0ZeIWvN95x","standard","1","9","HP","8","108.955","116.969","117.314","8.359","0.345","3","27",""
"10","R_1DYfP0ZeIWvN95x","standard","1","10","HP","6","118.32","124.323","124.64","6.32","0.317","3","30",""
"11","R_1DYfP0ZeIWvN95x","standard","1","11","HP","16","125.659","141.672","141.959","16.3","0.287","3","33",""
"12","R_1DYfP0ZeIWvN95x","standard","1","12","HP","2","142.964","144.972","145.315","2.351","0.343","3","36",""
"13","R_1DYfP0ZeIWvN95x","standard","1","13","HP","4","146.323","150.324","150.645","4.322","0.321","3","39",""
"14","R_1DYfP0ZeIWvN95x","standard","1","14","HP","10","151.663","161.672","161.936","10.273","0.264","3","42",""
"15","R_1DYfP0ZeIWvN95x","standard","1","15","HP","2","162.94","164.948","165.295","2.355","0.347","3","45",""
"16","R_1DYfP0ZeIWvN95x","standard","1","16","HP","8","166.314","174.323","174.643","8.329","0.32","3","48",""
"17","R_1DYfP0ZeIWvN95x","standard","1","17","HP","8","175.646","183.667","184.009","8.363","0.342","3","51",""
"18","R_1DYfP0ZeIWvN95x","standard","1","18","HP","18","185.016","203.021","203.267","18.251","0.246","3","54",""
"19","R_1DYfP0ZeIWvN95x","standard","1","19","HP","20","204.268","224.289","224.577","20.309","0.288","3","57",""
"20","R_1DYfP0ZeIWvN95x","standard","1","20","HP","20","225.592","245.596","245.928","20.336","0.332","3","60",""
"21","R_1DYfP0ZeIWvN95x","standard","1","21","HP","18","246.941","264.949","265.39","18.449","0.441","3","63",""
"22","R_1DYfP0ZeIWvN95x","standard","1","22","HP","14","266.396","280.412","280.728","14.332","0.316","3","66",""
"23","R_1DYfP0ZeIWvN95x","standard","1","23","HP","2","281.735","283.751","284.174","2.439","0.423","3","69",""
"24","R_1DYfP0ZeIWvN95x","standard","1","24","HP","18","285.185","303.188","303.468","18.283","0.28","3","72",""
"25","R_1DYfP0ZeIWvN95x","standard","1","25","HP","2","304.477","306.493","306.88","2.403","0.387","3","75",""
"26","R_1DYfP0ZeIWvN95x","standard","1","26","HP","14","307.885","321.893","322.285","14.4","0.392","3","78",""
"27","R_1DYfP0ZeIWvN95x","standard","1","27","HP","10","323.302","333.309","333.755","10.453","0.446","3","81",""
"28","R_1DYfP0ZeIWvN95x","standard","1","28","HP","20","334.757","354.766","355.055","20.298","0.289","3","84",""
"29","R_1DYfP0ZeIWvN95x","standard","1","29","HP","6","356.061","362.071","362.608","6.547","0.537","3","87",""
"30","R_1DYfP0ZeIWvN95x","standard","1","30","HP","16","363.608","379.613","379.927","16.319","0.314","3","90",""
"31","R_1DYfP0ZeIWvN95x","standard","1","31","HP","20","380.939","400.948","401.274","20.335","0.326","3","93",""
"32","R_1DYfP0ZeIWvN95x","standard","1","32","HP","14","402.288","416.293","416.578","14.29","0.285","3","96",""
"33","R_1DYfP0ZeIWvN95x","standard","1","33","HP","14","417.583","431.589","431.955","14.372","0.366","3","99",""
"34","R_1DYfP0ZeIWvN95x","standard","1","34","HP","18","432.962","450.972","451.249","18.287","0.277","3","102",""
"35","R_1DYfP0ZeIWvN95x","standard","1","35","HP","20","452.266","472.269","472.567","20.301","0.298","3","105",""
"36","R_1DYfP0ZeIWvN95x","standard","1","36","HP","8","473.576","481.581","482.031","8.455","0.45","3","108",""
"37","R_1DYfP0ZeIWvN95x","standard","1","37","HP","6","483.047","489.063","489.496","6.449","0.433","3","111",""
"38","R_1DYfP0ZeIWvN95x","standard","1","38","HP","14","490.511","504.513","504.927","14.416","0.414","3","114",""
"39","R_1DYfP0ZeIWvN95x","standard","1","39","HP","4","505.928","509.932","510.31","4.382","0.378","3","117",""
"40","R_1DYfP0ZeIWvN95x","standard","1","40","HP","10","511.317","521.322","521.634","10.317","0.312","3","120",""
"41","R_1DYfP0ZeIWvN95x","standard","1","41","HP","4","522.644","526.648","526.975","4.331","0.327","3","123",""
"42","R_1DYfP0ZeIWvN95x","standard","1","42","HP","18","527.989","546.008","546.517","18.528","0.509","3","126",""
"43","R_1DYfP0ZeIWvN95x","standard","1","43","HP","4","547.52","551.523","551.903","4.383","0.38","3","129",""
"44","R_1DYfP0ZeIWvN95x","standard","1","44","HP","14","552.919","566.926","567.252","14.333","0.326","3","132",""
"45","R_1DYfP0ZeIWvN95x","standard","1","45","HP","12","568.272","580.284","580.597","12.325","0.313","3","135",""
"46","R_1DYfP0ZeIWvN95x","standard","1","46","HP","2","581.606","583.613","584.02","2.414","0.407","3","138",""
"47","R_1DYfP0ZeIWvN95x","standard","1","47","HP","10","585.022","595.029","595.307","10.285","0.278","3","141",""
"48","R_1DYfP0ZeIWvN95x","standard","1","48","HP","16","596.31","612.315","612.681","16.371","0.366","3","144",""
"49","R_1DYfP0ZeIWvN95x","standard","1","49","HP","20","613.7","633.719","634.013","20.313","0.294","3","147",""
"50","R_1DYfP0ZeIWvN95x","standard","1","50","HP","20","635.021","655.028","655.493","20.472","0.465","3","150",""
"51","R_1DYfP0ZeIWvN95x","standard","1","51","HP","4","656.508","660.521","660.88","4.372","0.359","3","153",""
"52","R_1DYfP0ZeIWvN95x","standard","1","52","HP","4","661.885","665.9","666.276","4.391","0.376","3","156",""
"53","R_1DYfP0ZeIWvN95x","standard","1","53","HP","16","667.285","683.297","683.721","16.436","0.424","3","159",""
"54","R_1DYfP0ZeIWvN95x","standard","1","54","HP","14","684.727","698.733","699.039","14.312","0.306","3","162",""
"55","R_1DYfP0ZeIWvN95x","standard","1","55","HP","6","700.049","706.052","706.434","6.385","0.382","3","165",""
"56","R_1DYfP0ZeIWvN95x","standard","1","56","HP","2","707.436","709.444","709.763","2.327","0.319","3","168",""
"57","R_1DYfP0ZeIWvN95x","standard","1","57","HP","20","710.766","730.773","731.137","20.371","0.364","3","171",""
"58","R_1DYfP0ZeIWvN95x","standard","1","58","HP","10","732.141","742.15","742.638","10.497","0.488","3","174",""
"59","R_1DYfP0ZeIWvN95x","standard","1","59","HP","14","743.657","757.674","758.011","14.354","0.337","3","177",""
"60","R_1DYfP0ZeIWvN95x","standard","1","60","HP","4","759.012","763.016","763.649","4.637","0.633","3","180",""
"61","R_1DYfP0ZeIWvN95x","standard","1","61","HP","4","764.664","768.674","769.032","4.368","0.358","3","183",""
"62","R_1DYfP0ZeIWvN95x","standard","1","62","HP","16","770.043","786.066","786.369","16.326","0.303","3","186",""
"63","R_1DYfP0ZeIWvN95x","standard","1","63","HP","2","787.372","789.381","789.777","2.405","0.396","3","189",""
"64","R_1DYfP0ZeIWvN95x","standard","1","64","HP","4","790.78","794.798","795.142","4.362","0.344","3","192",""
"65","R_1DYfP0ZeIWvN95x","standard","1","65","HP","2","796.148","798.165","798.625","2.477","0.46","3","195",""
"66","R_1DYfP0ZeIWvN95x","standard","1","66","HP","16","799.639","815.656","815.941","16.302","0.285","3","198",""
"67","R_1DYfP0ZeIWvN95x","standard","1","67","HP","14","816.962","830.965","831.249","14.287","0.284","3","201",""
"68","R_1DYfP0ZeIWvN95x","standard","1","68","HP","14","832.253","846.276","846.553","14.3","0.277","3","204",""
"69","R_1DYfP0ZeIWvN95x","standard","1","69","HP","6","847.556","853.572","853.948","6.392","0.376","3","207",""
"70","R_1DYfP0ZeIWvN95x","standard","1","70","HP","2","854.957","856.971","857.411","2.454","0.44","3","210",""
"71","R_1DYfP0ZeIWvN95x","standard","1","71","HP","12","858.415","870.421","870.723","12.308","0.302","3","213",""
"72","R_1DYfP0ZeIWvN95x","standard","1","72","HP","16","871.728","887.733","888","16.272","0.267","3","216",""
"73","R_1DYfP0ZeIWvN95x","standard","2","1","LP","8.51632916846187","0","8.526","8.859","8.859","0.333","3","219",NA
"74","R_1DYfP0ZeIWvN95x","standard","2","2","LP","30","9.871","NaN","26.079","16.208","NaN","0","219",NA
"75","R_1DYfP0ZeIWvN95x","standard","2","3","LP","5.5010771219302","27.091","32.598","32.864","5.773","0.266","3","222",NA
"76","R_1DYfP0ZeIWvN95x","standard","2","4","LP","8.51632916846187","33.873","42.405","42.69","8.817","0.285","3","225",NA
"77","R_1DYfP0ZeIWvN95x","standard","2","5","LP","0.661783713916415","43.695","44.365","44.793","1.098","0.428","3","228",NA
"78","R_1DYfP0ZeIWvN95x","standard","2","6","LP","19.8235243429556","45.798","NaN","59.392","13.594","NaN","0","228",NA
"79","R_1DYfP0ZeIWvN95x","standard","2","7","LP","8.51632916846187","60.397","68.92","69.237","8.84","0.317","3","231",NA
"80","R_1DYfP0ZeIWvN95x","standard","2","8","LP","30","70.245","NaN","84.89","14.645","NaN","0","231",NA
"81","R_1DYfP0ZeIWvN95x","standard","2","9","LP","2.15079707022835","85.905","88.06",NA,"3.164",NA,"0","231",NA
"82","R_1DYfP0ZeIWvN95x","standard","2","10","LP","13.0392072382594","90.078","NaN","103.026","12.948","NaN","0","231",NA
"83","R_1DYfP0ZeIWvN95x","standard","2","11","LP","8.51632916846187","104.04","112.557","112.863","8.823","0.306","3","234",NA
"84","R_1DYfP0ZeIWvN95x","standard","2","12","LP","3.49090909090909","113.869","117.365","117.636","3.767","0.271","3","237",NA
"85","R_1DYfP0ZeIWvN95x","standard","2","13","LP","19.8235243429556","118.647","NaN","131.03","12.383","NaN","0","237",NA
"86","R_1DYfP0ZeIWvN95x","standard","2","14","LP","0.264713485566566","132.047","132.32","132.724","0.677","0.404","3","240",NA
"87","R_1DYfP0ZeIWvN95x","standard","2","15","LP","13.0392072382594","133.732","146.787","146.869","13.137","0.082","3","243",NA
"88","R_1DYfP0ZeIWvN95x","standard","2","16","LP","30","147.89","NaN","159.896","12.006","NaN","0","243",NA
"89","R_1DYfP0ZeIWvN95x","standard","2","17","LP","0.264713485566566","160.912","161.192","161.61","0.698","0.418","3","246",NA
"90","R_1DYfP0ZeIWvN95x","standard","2","18","LP","0.264713485566566","162.61","162.888","163.205","0.595","0.317","3","249",NA
"91","R_1DYfP0ZeIWvN95x","standard","2","19","LP","3.49090909090909","164.219","167.723","168.183","3.964","0.46","3","252",NA
"92","R_1DYfP0ZeIWvN95x","standard","2","20","LP","30","169.189","NaN","185.801","16.612","NaN","0","252",NA
"93","R_1DYfP0ZeIWvN95x","standard","2","21","LP","5.5010771219302","186.805","192.324","192.628","5.823","0.304","3","255",NA
"94","R_1DYfP0ZeIWvN95x","standard","2","22","LP","3.49090909090909","193.63","197.121","197.405","3.775","0.284","3","258",NA
"95","R_1DYfP0ZeIWvN95x","standard","2","23","LP","5.5010771219302","198.405","203.921","204.233","5.828","0.312","3","261",NA
"96","R_1DYfP0ZeIWvN95x","standard","2","24","LP","0.264713485566566","205.244","205.51","205.943","0.699","0.433","3","264",NA
"97","R_1DYfP0ZeIWvN95x","standard","2","25","LP","0.661783713916415","206.95","207.619","208.14","1.19","0.521","3","267",NA
"98","R_1DYfP0ZeIWvN95x","standard","2","26","LP","0.264713485566566","209.155","209.436","209.902","0.747","0.466","3","270",NA
"99","R_1DYfP0ZeIWvN95x","standard","2","27","LP","8.51632916846187","210.915","219.442","219.717","8.802","0.275","3","273",NA
"100","R_1DYfP0ZeIWvN95x","standard","2","28","LP","8.51632916846187","220.729","229.256","230.211","9.482","0.955","3","276",NA
"101","R_1DYfP0ZeIWvN95x","standard","2","29","LP","13.0392072382594","231.213","244.253","245.124","13.911","0.871","3","279",NA
"102","R_1DYfP0ZeIWvN95x","standard","2","30","LP","13.0392072382594","246.125","259.169","259.572","13.447","0.403","3","282",NA
"103","R_1DYfP0ZeIWvN95x","standard","2","31","LP","1.25738905644119","260.574","261.843","262.232","1.658","0.389","3","285",NA
"104","R_1DYfP0ZeIWvN95x","standard","2","32","LP","19.8235243429556","263.24","283.082","283.448","20.208","0.366","3","288",NA
