"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1E1bw61g9qcBQiR","standard","1","1","LP","0.661783713916415","0.002","0.697","NA","1.701","NA","0","0",""
"2","R_1E1bw61g9qcBQiR","standard","1","2","LP","3.49090909090909","2.706","6.202","6.928","4.222","0.726","3","3","48"
"3","R_1E1bw61g9qcBQiR","standard","1","3","LP","30","7.929","37.93","38.606","30.677","0.676","3","3","18771"
"4","R_1E1bw61g9qcBQiR","standard","1","4","LP","0.661783713916415","39.617","40.284","40.948","1.331","0.664","3","6",""
"5","R_1E1bw61g9qcBQiR","standard","1","5","LP","3.49090909090909","41.953","45.449","46.103","4.15","0.654","3","9",""
"6","R_1E1bw61g9qcBQiR","standard","1","6","LP","2.15079707022835","47.109","49.265","49.96","2.851","0.695","3","12",""
"7","R_1E1bw61g9qcBQiR","standard","1","7","LP","30","50.962","80.982","81.697","30.735","0.715","3","15",""
"8","R_1E1bw61g9qcBQiR","standard","1","8","LP","13.0392072382594","82.714","95.764","96.398","13.684","0.634","3","18",""
"9","R_1E1bw61g9qcBQiR","standard","1","9","LP","0.264713485566566","97.414","97.682","NA","1.284","NA","0","18",""
"10","R_1E1bw61g9qcBQiR","standard","1","10","LP","30","99.705","129.731","130.42","30.715","0.689","3","21",""
"11","R_1E1bw61g9qcBQiR","standard","1","11","LP","0.264713485566566","131.447","131.713","NA","1.269","NA","0","21",""
"12","R_1E1bw61g9qcBQiR","standard","1","12","LP","1.25738905644119","133.721","134.995","135.695","1.974","0.7","3","24",""
"13","R_1E1bw61g9qcBQiR","standard","1","13","LP","8.51632916846187","136.712","145.23","NA","9.523","NA","0","24",""
"14","R_1E1bw61g9qcBQiR","standard","1","14","LP","3.49090909090909","147.257","151.137","NA","4.882","NA","0","24",""
"15","R_1E1bw61g9qcBQiR","standard","1","15","LP","19.8235243429556","154.137","173.966","174.644","20.507","0.678","3","27",""
"16","R_1E1bw61g9qcBQiR","standard","1","16","LP","0.661783713916415","175.662","176.328","NA","1.667","NA","0","27",""
"17","R_1E1bw61g9qcBQiR","standard","1","17","LP","3.49090909090909","178.333","181.825","182.468","4.135","0.643","3","30",""
"18","R_1E1bw61g9qcBQiR","standard","1","18","LP","5.5010771219302","183.476","189.136","NA","6.661","NA","0","30",""
"19","R_1E1bw61g9qcBQiR","standard","1","19","LP","13.0392072382594","191.145","204.192","204.86","13.715","0.668","3","33",""
"20","R_1E1bw61g9qcBQiR","standard","1","20","LP","8.51632916846187","205.897","215.138","NA","11.242","NA","0","33",""
"21","R_1E1bw61g9qcBQiR","standard","1","21","LP","0.264713485566566","218.142","219.138","NA","1.998","NA","0","33",""
"22","R_1E1bw61g9qcBQiR","standard","1","22","LP","19.8235243429556","222.259","242.139","NA","20.895","NA","0","33",""
"23","R_1E1bw61g9qcBQiR","standard","1","23","LP","0.264713485566566","245.158","246.231","NA","2.981","NA","0","33",""
"24","R_1E1bw61g9qcBQiR","standard","1","24","LP","1.25738905644119","249.139","251.147","NA","4.008","NA","0","33",""
"25","R_1E1bw61g9qcBQiR","standard","1","25","LP","30","255.139","285.139","NA","31.016","NA","0","33",""
"26","R_1E1bw61g9qcBQiR","standard","1","26","LP","3.49090909090909","288.138","291.78","NA","4.647","NA","0","33",""
"27","R_1E1bw61g9qcBQiR","standard","1","27","LP","8.51632916846187","293.794","303.137","NA","10.938","NA","0","30","72"
"28","R_1E1bw61g9qcBQiR","standard","1","28","LP","1.25738905644119","305.16","306.42","306.514","1.354","0.094","3","33",""
"29","R_1E1bw61g9qcBQiR","standard","1","29","LP","0.264713485566566","307.52","307.793","308.749","1.229","0.956","3","36",""
"30","R_1E1bw61g9qcBQiR","standard","1","30","LP","0.661783713916415","309.753","310.424","311.227","1.474","0.803","3","39",""
"31","R_1E1bw61g9qcBQiR","standard","1","31","LP","30","312.232","342.24","342.985","30.753","0.745","3","42",""
"32","R_1E1bw61g9qcBQiR","standard","1","32","LP","13.0392072382594","343.996","357.04","NA","14.044","NA","0","42",""
"33","R_1E1bw61g9qcBQiR","standard","1","33","LP","2.15079707022835","359.04","361.201","NA","3.168","NA","0","42",""
"34","R_1E1bw61g9qcBQiR","standard","1","34","LP","3.49090909090909","363.219","367.136","NA","4.92","NA","0","42",""
"35","R_1E1bw61g9qcBQiR","standard","1","35","LP","1.25738905644119","369.139","371.143","NA","3.997","NA","0","42",""
"36","R_1E1bw61g9qcBQiR","standard","1","36","LP","0.264713485566566","374.149","375.138","NA","1.99","NA","0","42",""
"37","R_1E1bw61g9qcBQiR","standard","1","37","LP","13.0392072382594","377.145","391.154","NA","16.054","NA","0","42",""
"38","R_1E1bw61g9qcBQiR","standard","1","38","LP","0.264713485566566","395.159","395.423","396.186","1.027","0.763","3","45",""
"39","R_1E1bw61g9qcBQiR","standard","1","39","LP","5.5010771219302","397.194","402.697","403.38","6.186","0.683","3","48",""
"40","R_1E1bw61g9qcBQiR","standard","1","40","LP","30","404.385","434.386","NA","31.007","NA","0","45","12771"
"41","R_1E1bw61g9qcBQiR","standard","1","41","LP","3.49090909090909","436.402","439.915","NA","4.518","NA","0","45",""
"42","R_1E1bw61g9qcBQiR","standard","1","42","LP","8.51632916846187","441.922","450.442","NA","9.528","NA","0","45",""
"43","R_1E1bw61g9qcBQiR","standard","1","43","LP","30","452.458","482.467","NA","31.027","NA","0","45",""
"44","R_1E1bw61g9qcBQiR","standard","1","44","LP","13.0392072382594","484.501","497.545","NA","14.075","NA","0","45",""
"45","R_1E1bw61g9qcBQiR","standard","1","45","LP","0.661783713916415","499.577","500.242","501.2","1.623","0.958","3","45","320"
"46","R_1E1bw61g9qcBQiR","standard","1","46","LP","19.8235243429556","502.211","522.137","NA","21.128","NA","0","42","11434"
"47","R_1E1bw61g9qcBQiR","standard","1","47","LP","2.15079707022835","524.345","527.137","NA","3.8","NA","0","42",""
"48","R_1E1bw61g9qcBQiR","standard","1","48","LP","19.8235243429556","530.138","550.145","NA","22.001","NA","0","42",""
"49","R_1E1bw61g9qcBQiR","standard","1","49","LP","8.51632916846187","553.139","562.143","NA","10.997","NA","0","42",""
"50","R_1E1bw61g9qcBQiR","standard","1","50","LP","19.8235243429556","565.139","585.136","NA","20.998","NA","0","42",""
"51","R_1E1bw61g9qcBQiR","standard","1","51","LP","0.264713485566566","587.139","588.137","NA","2.003","NA","0","42",""
"52","R_1E1bw61g9qcBQiR","standard","1","52","LP","0.264713485566566","590.151","591.145","NA","2.985","NA","0","42",""
"53","R_1E1bw61g9qcBQiR","standard","1","53","LP","3.49090909090909","594.139","598.184","NA","6.008","NA","0","42",""
"54","R_1E1bw61g9qcBQiR","standard","1","54","LP","1.25738905644119","602.136","604.136","NA","3.001","NA","0","42",""
"55","R_1E1bw61g9qcBQiR","standard","1","55","LP","5.5010771219302","606.156","612.14","NA","6.992","NA","0","42",""
"56","R_1E1bw61g9qcBQiR","standard","1","56","LP","3.49090909090909","615.136","618.888","NA","4.752","NA","0","42",""
"57","R_1E1bw61g9qcBQiR","standard","1","57","LP","19.8235243429556","620.888","640.714","641.183","20.295","0.469","3","45",""
"58","R_1E1bw61g9qcBQiR","standard","1","58","LP","0.661783713916415","642.186","642.85","NA","1.964","NA","0","45",""
