"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1Fs4apzQv4Tg4sP","standard","1","1","LP","3.49090909090909","0.003","3.515","4.267","4.264","0.752","3","3",""
"2","R_1Fs4apzQv4Tg4sP","standard","1","2","LP","1.25738905644119","5.268","6.532","NA","2.264","NA","0","3",""
"3","R_1Fs4apzQv4Tg4sP","standard","1","3","LP","1.25738905644119","8.533","9.802","10.412","1.879","0.61","3","6",""
"4","R_1Fs4apzQv4Tg4sP","standard","1","4","LP","3.49090909090909","11.412","14.908","15.523","4.111","0.615","3","9",""
"5","R_1Fs4apzQv4Tg4sP","standard","1","5","LP","1.25738905644119","16.524","17.801","18.502","1.978","0.701","3","12",""
"6","R_1Fs4apzQv4Tg4sP","standard","1","6","LP","1.25738905644119","19.513","20.772","21.38","1.867","0.608","3","15",""
"7","R_1Fs4apzQv4Tg4sP","standard","1","7","LP","0.264713485566566","22.403","22.67","NA","1.281","NA","0","15",""
"8","R_1Fs4apzQv4Tg4sP","standard","1","8","LP","1.25738905644119","24.702","25.965","26.584","1.882","0.619","3","18",""
"9","R_1Fs4apzQv4Tg4sP","standard","1","9","LP","3.49090909090909","27.589","31.086","31.719","4.13","0.633","3","21",""
"10","R_1Fs4apzQv4Tg4sP","standard","1","10","LP","13.0392072382594","32.722","45.765","46.373","13.651","0.608","3","24",""
"11","R_1Fs4apzQv4Tg4sP","standard","1","11","LP","19.8235243429556","47.381","67.224","67.896","20.515","0.672","3","27",""
"12","R_1Fs4apzQv4Tg4sP","standard","1","12","LP","3.49090909090909","68.903","72.398","72.969","4.066","0.571","3","30",""
"13","R_1Fs4apzQv4Tg4sP","standard","1","13","LP","19.8235243429556","73.989","93.816","94.481","20.492","0.665","3","33",""
"14","R_1Fs4apzQv4Tg4sP","standard","1","14","LP","19.8235243429556","95.501","115.326","115.985","20.484","0.659","3","36",""
"15","R_1Fs4apzQv4Tg4sP","standard","1","15","LP","30","116.989","147","147.656","30.667","0.656","3","39",""
"16","R_1Fs4apzQv4Tg4sP","standard","1","16","LP","5.5010771219302","148.66","154.164","154.79","6.13","0.626","3","42",""
"17","R_1Fs4apzQv4Tg4sP","standard","1","17","LP","3.49090909090909","155.798","159.298","159.887","4.089","0.589","3","45",""
"18","R_1Fs4apzQv4Tg4sP","standard","1","18","LP","3.49090909090909","160.895","164.389","164.991","4.096","0.602","3","48",""
"19","R_1Fs4apzQv4Tg4sP","standard","1","19","LP","30","166.013","196.015","196.634","30.621","0.619","3","51",""
"20","R_1Fs4apzQv4Tg4sP","standard","1","20","LP","0.661783713916415","197.637","198.312","198.935","1.298","0.623","3","54",""
"21","R_1Fs4apzQv4Tg4sP","standard","1","21","LP","1.25738905644119","199.94","201.205","201.874","1.934","0.669","3","57",""
"22","R_1Fs4apzQv4Tg4sP","standard","1","22","LP","8.51632916846187","202.877","211.422","212.03","9.153","0.608","3","60",""
"23","R_1Fs4apzQv4Tg4sP","standard","1","23","LP","5.5010771219302","213.036","218.541","219.094","6.058","0.553","3","63",""
"24","R_1Fs4apzQv4Tg4sP","standard","1","24","LP","2.15079707022835","220.112","222.269","222.96","2.848","0.691","3","66",""
"25","R_1Fs4apzQv4Tg4sP","standard","1","25","LP","13.0392072382594","223.978","237.021","237.716","13.738","0.695","3","69",""
"26","R_1Fs4apzQv4Tg4sP","standard","1","26","LP","5.5010771219302","238.725","244.227","244.983","6.258","0.756","3","72",""
"27","R_1Fs4apzQv4Tg4sP","standard","1","27","LP","3.49090909090909","245.989","249.494","250.167","4.178","0.673","3","75",""
"28","R_1Fs4apzQv4Tg4sP","standard","1","28","LP","19.8235243429556","251.264","271.188","271.879","20.615","0.691","3","78",""
"29","R_1Fs4apzQv4Tg4sP","standard","1","29","LP","2.15079707022835","272.886","275.044","275.757","2.871","0.713","3","81",""
"30","R_1Fs4apzQv4Tg4sP","standard","1","30","LP","0.264713485566566","276.766","277.037","277.742","0.976","0.705","3","84",""
"31","R_1Fs4apzQv4Tg4sP","standard","1","31","LP","5.5010771219302","278.743","284.246","284.874","6.131","0.628","3","87",""
