"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1HhppyErgEM0wkh","standard","1","1","HP","8","0.002","8.019","8.442","8.44","0.423","3","3",""
"2","R_1HhppyErgEM0wkh","standard","1","2","HP","14","9.451","23.458","NA","15.016","NA","0","3",""
"3","R_1HhppyErgEM0wkh","standard","1","3","HP","4","25.475","29.482","30.214","4.739","0.732","3","6",""
"4","R_1HhppyErgEM0wkh","standard","1","4","HP","18","31.218","49.223","50.018","18.8","0.795","3","9",""
"5","R_1HhppyErgEM0wkh","standard","1","5","HP","2","51.023","53.026","NA","3.012","NA","0","9",""
"6","R_1HhppyErgEM0wkh","standard","1","6","HP","4","55.042","59.05","NA","5.017","NA","0","9",""
"7","R_1HhppyErgEM0wkh","standard","1","7","HP","6","61.067","67.074","NA","7.016","NA","0","9",""
"8","R_1HhppyErgEM0wkh","standard","1","8","HP","16","69.091","85.098","NA","17.016","NA","0","9",""
"9","R_1HhppyErgEM0wkh","standard","1","9","HP","10","87.109","97.114","NA","11.009","NA","0","9",""
"10","R_1HhppyErgEM0wkh","standard","1","10","HP","10","99.122","109.13","NA","11.017","NA","0","9",""
"11","R_1HhppyErgEM0wkh","standard","1","11","HP","18","111.147","129.154","129.411","18.264","0.257","3","12",""
"12","R_1HhppyErgEM0wkh","standard","1","12","HP","20","130.415","150.418","150.779","20.364","0.361","3","15",""
"13","R_1HhppyErgEM0wkh","standard","1","13","HP","18","151.786","169.794","170.277","18.491","0.483","3","18",""
"14","R_1HhppyErgEM0wkh","standard","1","14","HP","4","171.283","175.29","NA","5.016","NA","0","18",""
"15","R_1HhppyErgEM0wkh","standard","1","15","HP","14","177.306","191.309","191.916","14.61","0.607","3","21",""
"16","R_1HhppyErgEM0wkh","standard","1","16","HP","14","192.922","206.93","NA","15.018","NA","0","21",""
