"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1HntTJpize38w8h","standard","1","1","LP","5.5010771219302","0.002","5.526","6.371","6.369","0.845","3","3",""
"2","R_1HntTJpize38w8h","standard","1","2","LP","3.49090909090909","7.392","10.906","11.355","3.963","0.449","3","6",""
"3","R_1HntTJpize38w8h","standard","1","3","LP","8.51632916846187","12.374","20.906","21.279","8.905","0.373","3","9",""
"4","R_1HntTJpize38w8h","standard","1","4","LP","0.661783713916415","22.29","22.956","NA","1.669","NA","0","9",""
"5","R_1HntTJpize38w8h","standard","1","5","LP","2.15079707022835","24.965","27.136","27.503","2.538","0.367","3","12",""
"6","R_1HntTJpize38w8h","standard","1","6","LP","30","28.537","58.539","58.932","30.395","0.393","3","15",""
"7","R_1HntTJpize38w8h","standard","1","7","LP","1.25738905644119","59.94","61.223","61.626","1.686","0.403","3","18",""
"8","R_1HntTJpize38w8h","standard","1","8","LP","0.264713485566566","62.636","62.921","63.366","0.73","0.445","3","21",""
"9","R_1HntTJpize38w8h","standard","1","9","LP","3.49090909090909","64.372","67.873","68.272","3.9","0.399","3","24",""
"10","R_1HntTJpize38w8h","standard","1","10","LP","13.0392072382594","69.29","82.332","82.697","13.407","0.365","3","27",""
"11","R_1HntTJpize38w8h","standard","1","11","LP","0.264713485566566","83.709","83.99","84.61","0.901","0.62","3","30",""
"12","R_1HntTJpize38w8h","standard","1","12","LP","5.5010771219302","85.616","91.122","91.589","5.973","0.467","3","33",""
"13","R_1HntTJpize38w8h","standard","1","13","LP","13.0392072382594","92.606","105.654","106.504","13.898","0.85","3","33","12660"
"14","R_1HntTJpize38w8h","standard","1","14","LP","0.661783713916415","107.51","108.171","108.615","1.105","0.444","3","36",""
"15","R_1HntTJpize38w8h","standard","1","15","LP","2.15079707022835","109.62","111.773","112.219","2.599","0.446","3","39",""
"16","R_1HntTJpize38w8h","standard","1","16","LP","0.264713485566566","113.236","113.53","114.008","0.772","0.478","3","42",""
"17","R_1HntTJpize38w8h","standard","1","17","LP","19.8235243429556","115.011","134.837","135.238","20.227","0.401","3","45",""
"18","R_1HntTJpize38w8h","standard","1","18","LP","8.51632916846187","136.241","144.759","145.205","8.964","0.446","3","48",""
"19","R_1HntTJpize38w8h","standard","1","19","LP","0.661783713916415","146.207","146.889","147.443","1.236","0.554","3","51",""
"20","R_1HntTJpize38w8h","standard","1","20","LP","2.15079707022835","148.451","150.604","151.014","2.563","0.41","3","54",""
"21","R_1HntTJpize38w8h","standard","1","21","LP","8.51632916846187","152.02","160.54","160.994","8.974","0.454","3","57",""
"22","R_1HntTJpize38w8h","standard","1","22","LP","1.25738905644119","162.005","163.275","163.802","1.797","0.527","3","57","451"
"23","R_1HntTJpize38w8h","standard","1","23","LP","30","164.807","194.81","195.206","30.399","0.396","3","60",""
"24","R_1HntTJpize38w8h","standard","1","24","LP","0.264713485566566","196.225","196.504","196.948","0.723","0.444","3","63",""
"25","R_1HntTJpize38w8h","standard","1","25","LP","1.25738905644119","197.974","199.236","199.912","1.938","0.676","3","66",""
"26","R_1HntTJpize38w8h","standard","1","26","LP","1.25738905644119","200.915","202.193","202.578","1.663","0.385","3","69",""
"27","R_1HntTJpize38w8h","standard","1","27","LP","3.49090909090909","203.584","207.093","207.48","3.896","0.387","3","72",""
"28","R_1HntTJpize38w8h","standard","1","28","LP","5.5010771219302","208.507","214.012","214.438","5.931","0.426","3","75",""
"29","R_1HntTJpize38w8h","standard","1","29","LP","13.0392072382594","215.441","228.49","228.898","13.457","0.408","3","78",""
"30","R_1HntTJpize38w8h","standard","1","30","LP","5.5010771219302","229.908","235.41","235.807","5.899","0.397","3","81",""
"31","R_1HntTJpize38w8h","standard","1","31","LP","0.661783713916415","236.811","237.489","237.99","1.179","0.501","3","84",""
"32","R_1HntTJpize38w8h","standard","1","32","LP","3.49090909090909","239.005","242.504","242.901","3.896","0.397","3","87",""
"33","R_1HntTJpize38w8h","standard","1","33","LP","1.25738905644119","243.921","245.188","245.625","1.704","0.437","3","90",""
"34","R_1HntTJpize38w8h","standard","1","34","LP","8.51632916846187","246.628","255.148","255.565","8.937","0.417","3","93",""
"35","R_1HntTJpize38w8h","standard","1","35","LP","19.8235243429556","256.573","276.416","276.824","20.251","0.408","3","96",""
"36","R_1HntTJpize38w8h","standard","1","36","LP","13.0392072382594","277.825","290.873","291.261","13.436","0.388","3","99",""
"37","R_1HntTJpize38w8h","standard","1","37","LP","1.25738905644119","292.273","293.533","294","1.727","0.467","3","102",""
"38","R_1HntTJpize38w8h","standard","1","38","LP","5.5010771219302","295.008","300.521","300.993","5.985","0.472","3","105",""
"39","R_1HntTJpize38w8h","standard","1","39","LP","2.15079707022835","302.005","304.173","304.616","2.611","0.443","3","108",""
"40","R_1HntTJpize38w8h","standard","1","40","LP","0.661783713916415","305.62","306.289","306.772","1.152","0.483","3","111",""
"41","R_1HntTJpize38w8h","standard","1","41","LP","3.49090909090909","307.788","311.289","311.813","4.025","0.524","3","114",""
"42","R_1HntTJpize38w8h","standard","1","42","LP","30","312.82","342.827","343.181","30.361","0.354","3","117",""
"43","R_1HntTJpize38w8h","standard","1","43","LP","2.15079707022835","344.193","346.348","346.758","2.565","0.41","3","120",""
"44","R_1HntTJpize38w8h","standard","1","44","LP","0.264713485566566","347.773","348.041","348.538","0.765","0.497","3","123",""
"45","R_1HntTJpize38w8h","standard","1","45","LP","19.8235243429556","349.54","369.372","369.755","20.215","0.383","3","126",""
"46","R_1HntTJpize38w8h","standard","1","46","LP","13.0392072382594","370.772","383.82","384.207","13.435","0.387","3","129",""
"47","R_1HntTJpize38w8h","standard","1","47","LP","0.661783713916415","385.209","385.888","386.421","1.212","0.533","3","132",""
"48","R_1HntTJpize38w8h","standard","1","48","LP","19.8235243429556","387.428","407.273","407.684","20.256","0.411","3","135",""
