"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1HqVpTbw3tyPrZY","standard","1","1","LP","1.25738905644119","0.001","1.274","1.817","1.816","0.543","3","3",""
"2","R_1HqVpTbw3tyPrZY","standard","1","2","LP","30","2.818","32.828","33.458","30.64","0.63","3","6",""
"3","R_1HqVpTbw3tyPrZY","standard","1","3","LP","13.0392072382594","34.466","47.518","48.017","13.551","0.499","3","9",""
"4","R_1HqVpTbw3tyPrZY","standard","1","4","LP","30","49.03","79.036","79.409","30.379","0.373","3","12",""
"5","R_1HqVpTbw3tyPrZY","standard","1","5","LP","0.661783713916415","80.41","81.08","NA","1.671","NA","0","12",""
"6","R_1HqVpTbw3tyPrZY","standard","1","6","LP","0.661783713916415","83.103","83.766","NA","1.678","NA","0","12",""
"7","R_1HqVpTbw3tyPrZY","standard","1","7","LP","0.661783713916415","85.784","86.449","86.968","1.184","0.519","3","15",""
"8","R_1HqVpTbw3tyPrZY","standard","1","8","LP","1.25738905644119","87.978","89.241","89.865","1.887","0.624","3","18",""
"9","R_1HqVpTbw3tyPrZY","standard","1","9","LP","0.661783713916415","90.88","91.551","92.017","1.137","0.466","3","21",""
"10","R_1HqVpTbw3tyPrZY","standard","1","10","LP","19.8235243429556","93.032","112.864","113.488","20.456","0.624","3","24",""
"11","R_1HqVpTbw3tyPrZY","standard","1","11","LP","30","114.505","144.514","144.944","30.439","0.43","3","27",""
"12","R_1HqVpTbw3tyPrZY","standard","1","12","LP","3.49090909090909","145.951","149.45","150.202","4.251","0.752","3","30",""
"13","R_1HqVpTbw3tyPrZY","standard","1","13","LP","0.661783713916415","151.212","151.883","152.8","1.588","0.917","3","33",""
"14","R_1HqVpTbw3tyPrZY","standard","1","14","LP","0.661783713916415","153.804","154.474","155.441","1.637","0.967","3","36",""
"15","R_1HqVpTbw3tyPrZY","standard","1","15","LP","19.8235243429556","156.457","176.283","176.827","20.37","0.544","3","36","12943"
"16","R_1HqVpTbw3tyPrZY","standard","1","16","LP","19.8235243429556","177.828","197.652","198.449","20.621","0.797","3","39",""
"17","R_1HqVpTbw3tyPrZY","standard","1","17","LP","30","199.449","229.45","229.922","30.473","0.472","3","42",""
"18","R_1HqVpTbw3tyPrZY","standard","1","18","LP","0.264713485566566","230.922","231.188","232.112","1.19","0.924","3","45",""
"19","R_1HqVpTbw3tyPrZY","standard","1","19","LP","8.51632916846187","233.113","241.63","242.32","9.207","0.69","3","48",""
"20","R_1HqVpTbw3tyPrZY","standard","1","20","LP","5.5010771219302","243.321","248.824","249.384","6.063","0.56","3","51",""
"21","R_1HqVpTbw3tyPrZY","standard","1","21","LP","0.661783713916415","250.385","251.046","NA","1.669","NA","0","51",""
"22","R_1HqVpTbw3tyPrZY","standard","1","22","LP","3.49090909090909","253.055","256.545","257.088","4.033","0.543","3","54",""
"23","R_1HqVpTbw3tyPrZY","standard","1","23","LP","13.0392072382594","258.101","271.155","272.025","13.924","0.87","3","57",""
"24","R_1HqVpTbw3tyPrZY","standard","1","24","LP","0.264713485566566","273.026","273.291","NA","1.265","NA","0","57",""
"25","R_1HqVpTbw3tyPrZY","standard","1","25","LP","3.49090909090909","275.292","278.783","279.336","4.044","0.553","3","60",""
"26","R_1HqVpTbw3tyPrZY","standard","1","26","LP","3.49090909090909","280.337","283.827","284.36","4.023","0.533","3","63",""
"27","R_1HqVpTbw3tyPrZY","standard","1","27","LP","8.51632916846187","285.362","293.88","294.6","9.238","0.72","3","66",""
"28","R_1HqVpTbw3tyPrZY","standard","1","28","LP","0.264713485566566","295.601","295.866","NA","1.266","NA","0","66",""
"29","R_1HqVpTbw3tyPrZY","standard","1","29","LP","30","297.869","327.869","328.305","30.436","0.436","3","69",""
"30","R_1HqVpTbw3tyPrZY","standard","1","30","LP","8.51632916846187","329.305","337.822","338.369","9.064","0.547","3","72",""
"31","R_1HqVpTbw3tyPrZY","standard","1","31","LP","30","339.369","369.37","369.784","30.415","0.414","3","75",""
"32","R_1HqVpTbw3tyPrZY","standard","1","32","LP","19.8235243429556","370.785","390.609","391.432","20.647","0.823","3","78",""
"33","R_1HqVpTbw3tyPrZY","standard","1","33","LP","2.15079707022835","392.433","394.587","395.184","2.751","0.597","3","81",""
"34","R_1HqVpTbw3tyPrZY","standard","1","34","LP","30","396.185","426.186","426.629","30.444","0.443","3","84",""
"35","R_1HqVpTbw3tyPrZY","standard","1","35","LP","8.51632916846187","427.63","436.146","436.776","9.146","0.63","3","87",""
"36","R_1HqVpTbw3tyPrZY","standard","1","36","LP","5.5010771219302","437.778","443.279","443.927","6.149","0.648","3","90",""
"37","R_1HqVpTbw3tyPrZY","standard","1","37","LP","13.0392072382594","444.929","457.972","458.53","13.601","0.558","3","93",""
"38","R_1HqVpTbw3tyPrZY","standard","1","38","LP","0.661783713916415","459.531","460.192","460.848","1.317","0.656","3","96",""
"39","R_1HqVpTbw3tyPrZY","standard","1","39","LP","3.49090909090909","461.848","465.339","465.928","4.08","0.589","3","99",""
"40","R_1HqVpTbw3tyPrZY","standard","1","40","LP","2.15079707022835","466.929","469.08","469.672","2.743","0.592","3","102",""
"41","R_1HqVpTbw3tyPrZY","standard","1","41","LP","19.8235243429556","470.673","490.501","491.288","20.615","0.787","3","105",""
"42","R_1HqVpTbw3tyPrZY","standard","1","42","LP","3.49090909090909","492.3","495.796","496.36","4.06","0.564","3","108",""
"43","R_1HqVpTbw3tyPrZY","standard","1","43","LP","30","497.372","527.373","527.897","30.525","0.524","3","111",""
"44","R_1HqVpTbw3tyPrZY","standard","1","44","LP","5.5010771219302","528.903","534.414","535.08","6.177","0.666","3","114",""
"45","R_1HqVpTbw3tyPrZY","standard","1","45","LP","8.51632916846187","536.083","544.602","545.192","9.109","0.59","3","117",""
"46","R_1HqVpTbw3tyPrZY","standard","1","46","LP","19.8235243429556","546.207","566.033","NA","20.84","NA","0","117",""
"47","R_1HqVpTbw3tyPrZY","standard","1","47","LP","13.0392072382594","568.06","581.111","581.784","13.724","0.673","3","120",""
"48","R_1HqVpTbw3tyPrZY","standard","1","48","LP","19.8235243429556","582.797","602.623","603.317","20.52","0.694","3","123",""
"49","R_1HqVpTbw3tyPrZY","standard","1","49","LP","8.51632916846187","604.324","612.845","613.504","9.18","0.659","3","126",""
"50","R_1HqVpTbw3tyPrZY","standard","1","50","LP","5.5010771219302","614.515","620.024","620.663","6.148","0.639","3","129",""
"51","R_1HqVpTbw3tyPrZY","standard","1","51","LP","19.8235243429556","621.677","641.514","642.192","20.515","0.678","3","129","5789"
"52","R_1HqVpTbw3tyPrZY","standard","1","52","LP","19.8235243429556","643.198","663.036","663.632","20.434","0.596","3","132",""
"53","R_1HqVpTbw3tyPrZY","standard","1","53","LP","30","664.643","694.656","695.191","30.548","0.535","3","135",""
"54","R_1HqVpTbw3tyPrZY","standard","1","54","LP","8.51632916846187","696.2","704.718","705.591","9.391","0.873","3","138",""
"55","R_1HqVpTbw3tyPrZY","standard","1","55","LP","3.49090909090909","706.605","710.101","710.903","4.298","0.802","3","141",""
"56","R_1HqVpTbw3tyPrZY","standard","1","56","LP","8.51632916846187","711.91","720.43","721.159","9.249","0.729","3","144",""
"57","R_1HqVpTbw3tyPrZY","standard","1","57","LP","3.49090909090909","722.161","725.655","726.297","4.136","0.642","3","147",""
"58","R_1HqVpTbw3tyPrZY","standard","1","58","LP","5.5010771219302","727.31","732.817","733.439","6.129","0.622","3","150",""
"59","R_1HqVpTbw3tyPrZY","standard","1","59","LP","19.8235243429556","734.44","754.271","755.063","20.623","0.792","3","153",""
"60","R_1HqVpTbw3tyPrZY","standard","1","60","LP","5.5010771219302","756.067","761.581","762.191","6.124","0.61","3","156",""
"61","R_1HqVpTbw3tyPrZY","standard","1","61","LP","0.661783713916415","763.205","763.875","NA","1.684","NA","0","156",""
"62","R_1HqVpTbw3tyPrZY","standard","1","62","LP","0.661783713916415","765.903","766.574","767.191","1.288","0.617","3","159",""
"63","R_1HqVpTbw3tyPrZY","standard","1","63","LP","3.49090909090909","768.196","771.69","772.255","4.059","0.565","3","162",""
"64","R_1HqVpTbw3tyPrZY","standard","1","64","LP","5.5010771219302","773.267","778.775","779.378","6.111","0.603","3","165",""
"65","R_1HqVpTbw3tyPrZY","standard","1","65","LP","2.15079707022835","780.384","782.535","783.284","2.9","0.749","3","168",""
"66","R_1HqVpTbw3tyPrZY","standard","1","66","LP","30","784.298","814.303","814.847","30.549","0.544","3","171",""
"67","R_1HqVpTbw3tyPrZY","standard","1","67","LP","13.0392072382594","815.848","828.894","829.567","13.719","0.673","3","174",""
"68","R_1HqVpTbw3tyPrZY","standard","1","68","LP","30","830.579","860.604","861.207","30.628","0.603","3","177",""
"69","R_1HqVpTbw3tyPrZY","standard","1","69","LP","1.25738905644119","862.213","863.477","864.151","1.938","0.674","3","180",""
"70","R_1HqVpTbw3tyPrZY","standard","1","70","LP","3.49090909090909","865.163","868.658","869.431","4.268","0.773","3","183",""
"71","R_1HqVpTbw3tyPrZY","standard","2","1","LP","0.264713485566566","0","0.292","0.704","0.704","0.412","3","186",NA
"72","R_1HqVpTbw3tyPrZY","standard","2","2","LP","0.264713485566566","1.708","1.974","2.168","0.46","0.194","3","189",NA
"73","R_1HqVpTbw3tyPrZY","standard","2","3","LP","19.8235243429556","3.175","NaN","3.399","0.224","NaN","0","189",NA
"74","R_1HqVpTbw3tyPrZY","standard","2","4","LP","1.25738905644119","4.407","NaN","4.599","0.192","NaN","0","189",NA
