"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1MKYh3TaGrUwPaO","standard","1","1","HP","8","0","8.002","8.346","8.346","0.344","3","3",""
"2","R_1MKYh3TaGrUwPaO","standard","1","2","HP","4","9.367","13.37","13.71","4.343","0.34","3","6",""
"3","R_1MKYh3TaGrUwPaO","standard","1","3","HP","12","14.711","26.711","27.053","12.342","0.342","3","9",""
"4","R_1MKYh3TaGrUwPaO","standard","1","4","HP","6","28.058","34.066","34.404","6.346","0.338","3","12",""
"5","R_1MKYh3TaGrUwPaO","standard","1","5","HP","20","35.409","55.41","55.742","20.333","0.332","3","15",""
"6","R_1MKYh3TaGrUwPaO","standard","1","6","HP","18","56.745","74.754","75.078","18.333","0.324","3","18",""
"7","R_1MKYh3TaGrUwPaO","standard","1","7","HP","6","76.082","82.09","82.436","6.354","0.346","3","21",""
"8","R_1MKYh3TaGrUwPaO","standard","1","8","HP","2","83.449","85.459","86.133","2.684","0.674","3","24",""
"9","R_1MKYh3TaGrUwPaO","standard","1","9","HP","4","87.134","91.138","91.489","4.355","0.351","3","27",""
"10","R_1MKYh3TaGrUwPaO","standard","1","10","HP","18","92.502","110.513","110.892","18.39","0.379","3","30",""
"11","R_1MKYh3TaGrUwPaO","standard","1","11","HP","8","111.898","119.907","120.282","8.384","0.375","3","30","5226"
"12","R_1MKYh3TaGrUwPaO","standard","1","12","HP","12","121.293","133.297","133.662","12.369","0.365","3","33",""
"13","R_1MKYh3TaGrUwPaO","standard","1","13","HP","14","134.666","148.673","149.09","14.424","0.417","3","36",""
"14","R_1MKYh3TaGrUwPaO","standard","1","14","HP","2","150.101","152.106","152.495","2.394","0.389","3","39",""
"15","R_1MKYh3TaGrUwPaO","standard","1","15","HP","16","153.498","169.515","169.898","16.4","0.383","3","42",""
"16","R_1MKYh3TaGrUwPaO","standard","1","16","HP","12","170.914","182.922","183.313","12.399","0.391","3","45",""
"17","R_1MKYh3TaGrUwPaO","standard","1","17","HP","4","184.322","188.33","188.706","4.384","0.376","3","48",""
"18","R_1MKYh3TaGrUwPaO","standard","1","18","HP","18","189.713","207.72","208.096","18.383","0.376","3","51",""
"19","R_1MKYh3TaGrUwPaO","standard","1","19","HP","4","209.098","213.12","213.69","4.592","0.57","3","54",""
"20","R_1MKYh3TaGrUwPaO","standard","1","20","HP","18","214.699","232.707","233.057","18.358","0.35","3","57",""
"21","R_1MKYh3TaGrUwPaO","standard","1","21","HP","8","234.058","242.066","242.44","8.382","0.374","3","60",""
"22","R_1MKYh3TaGrUwPaO","standard","1","22","HP","8","243.442","251.451","251.89","8.448","0.439","3","63",""
"23","R_1MKYh3TaGrUwPaO","standard","1","23","HP","18","252.898","270.907","271.248","18.35","0.341","3","66",""
"24","R_1MKYh3TaGrUwPaO","standard","1","24","HP","14","272.25","286.267","286.662","14.412","0.395","3","69",""
"25","R_1MKYh3TaGrUwPaO","standard","1","25","HP","6","287.667","293.674","294.267","6.6","0.593","3","72",""
"26","R_1MKYh3TaGrUwPaO","standard","1","26","HP","4","295.275","299.283","299.623","4.348","0.34","3","75",""
"27","R_1MKYh3TaGrUwPaO","standard","1","27","HP","2","300.627","302.634","303.103","2.476","0.469","3","78",""
"28","R_1MKYh3TaGrUwPaO","standard","1","28","HP","2","304.107","306.111","306.515","2.408","0.404","3","81",""
"29","R_1MKYh3TaGrUwPaO","standard","1","29","HP","12","307.518","319.522","320.008","12.49","0.486","3","84",""
"30","R_1MKYh3TaGrUwPaO","standard","1","30","HP","6","321.008","327.009","327.43","6.422","0.421","3","87",""
"31","R_1MKYh3TaGrUwPaO","standard","1","31","HP","10","328.434","338.442","338.82","10.386","0.378","3","90",""
"32","R_1MKYh3TaGrUwPaO","standard","1","32","HP","12","339.826","351.831","352.202","12.376","0.371","3","93",""
"33","R_1MKYh3TaGrUwPaO","standard","1","33","HP","14","353.206","367.208","367.786","14.58","0.578","3","96",""
"34","R_1MKYh3TaGrUwPaO","standard","1","34","HP","10","368.799","378.801","379.234","10.435","0.433","3","99",""
"35","R_1MKYh3TaGrUwPaO","standard","1","35","HP","16","380.246","396.25","396.671","16.425","0.421","3","102",""
"36","R_1MKYh3TaGrUwPaO","standard","1","36","HP","20","397.674","417.681","418.105","20.431","0.424","3","105",""
"37","R_1MKYh3TaGrUwPaO","standard","1","37","HP","2","419.118","421.125","421.488","2.37","0.363","3","108",""
"38","R_1MKYh3TaGrUwPaO","standard","1","38","HP","2","422.502","424.506","424.85","2.348","0.344","3","111",""
"39","R_1MKYh3TaGrUwPaO","standard","1","39","HP","2","425.859","427.866","428.247","2.388","0.381","3","114",""
"40","R_1MKYh3TaGrUwPaO","standard","1","40","HP","20","429.25","449.258","449.615","20.365","0.357","3","117",""
"41","R_1MKYh3TaGrUwPaO","standard","1","41","HP","2","450.618","452.626","453.035","2.417","0.409","3","120",""
"42","R_1MKYh3TaGrUwPaO","standard","1","42","HP","2","454.042","456.051","456.418","2.376","0.367","3","123",""
"43","R_1MKYh3TaGrUwPaO","standard","1","43","HP","8","457.426","465.432","465.845","8.419","0.413","3","126",""
"44","R_1MKYh3TaGrUwPaO","standard","1","44","HP","10","466.863","476.878","477.335","10.472","0.457","3","129",""
"45","R_1MKYh3TaGrUwPaO","standard","1","45","HP","2","478.338","480.346","NA","3.009","NA","0","129",""
"46","R_1MKYh3TaGrUwPaO","standard","1","46","HP","14","482.355","496.358","NA","15.007","NA","0","129",""
"47","R_1MKYh3TaGrUwPaO","standard","1","47","HP","6","498.369","504.377","504.757","6.388","0.38","3","132",""
"48","R_1MKYh3TaGrUwPaO","standard","1","48","HP","18","505.76","523.775","524.108","18.348","0.333","3","135",""
"49","R_1MKYh3TaGrUwPaO","standard","1","49","HP","8","525.111","533.113","533.506","8.395","0.393","3","138",""
"50","R_1MKYh3TaGrUwPaO","standard","1","50","HP","18","534.511","552.512","NA","19.005","NA","0","138",""
"51","R_1MKYh3TaGrUwPaO","standard","1","51","HP","8","554.522","562.53","562.894","8.372","0.364","3","141",""
"52","R_1MKYh3TaGrUwPaO","standard","1","52","HP","8","563.898","571.917","572.29","8.392","0.373","3","144",""
"53","R_1MKYh3TaGrUwPaO","standard","1","53","HP","18","573.303","591.307","591.617","18.314","0.31","3","147",""
"54","R_1MKYh3TaGrUwPaO","standard","1","54","HP","20","592.618","612.622","612.993","20.375","0.371","3","150",""
"55","R_1MKYh3TaGrUwPaO","standard","1","55","HP","14","613.994","628.003","628.391","14.397","0.388","3","153",""
