"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1MYZ0O1LpDB2K0K","standard","1","1","LP","30","0.001","30.01","30.387","30.386","0.377","3","3",""
"2","R_1MYZ0O1LpDB2K0K","standard","1","2","LP","3.49090909090909","31.391","34.889","35.321","3.93","0.432","3","6",""
"3","R_1MYZ0O1LpDB2K0K","standard","1","3","LP","3.49090909090909","36.336","39.834","40.158","3.822","0.324","3","9",""
"4","R_1MYZ0O1LpDB2K0K","standard","1","4","LP","2.15079707022835","41.164","43.315","43.64","2.476","0.325","3","12",""
"5","R_1MYZ0O1LpDB2K0K","standard","1","5","LP","8.51632916846187","44.647","53.188","53.512","8.865","0.324","3","15",""
"6","R_1MYZ0O1LpDB2K0K","standard","1","6","LP","0.661783713916415","54.522","55.202","55.706","1.184","0.504","3","18",""
"7","R_1MYZ0O1LpDB2K0K","standard","1","7","LP","0.264713485566566","56.715","56.998","57.366","0.651","0.368","3","21",""
"8","R_1MYZ0O1LpDB2K0K","standard","1","8","LP","13.0392072382594","58.383","71.437","72.215","13.832","0.778","3","24",""
"9","R_1MYZ0O1LpDB2K0K","standard","1","9","LP","1.25738905644119","73.219","74.483","74.826","1.607","0.343","3","27",""
"10","R_1MYZ0O1LpDB2K0K","standard","1","10","LP","13.0392072382594","75.833","88.886","89.26","13.427","0.374","3","30",""
"11","R_1MYZ0O1LpDB2K0K","standard","1","11","LP","3.49090909090909","90.267","93.792","94.153","3.886","0.361","3","33",""
"12","R_1MYZ0O1LpDB2K0K","standard","1","12","LP","13.0392072382594","95.159","108.214","108.53","13.371","0.316","3","36",""
"13","R_1MYZ0O1LpDB2K0K","standard","1","13","LP","0.661783713916415","109.544","110.215","110.734","1.19","0.519","3","39",""
"14","R_1MYZ0O1LpDB2K0K","standard","1","14","LP","0.264713485566566","111.743","112.01","112.457","0.714","0.447","3","42",""
"15","R_1MYZ0O1LpDB2K0K","standard","1","15","LP","3.49090909090909","113.478","116.975","117.366","3.888","0.391","3","45",""
"16","R_1MYZ0O1LpDB2K0K","standard","1","16","LP","8.51632916846187","118.372","126.898","127.212","8.84","0.314","3","48",""
