"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1P6I86geBEG9KZ4","standard","1","1","HP","2","0.001","2.003","2.416","2.415","0.413","3","3",""
"2","R_1P6I86geBEG9KZ4","standard","1","2","HP","6","3.421","9.427","9.707","6.286","0.28","3","6",""
"3","R_1P6I86geBEG9KZ4","standard","1","3","HP","14","10.708","24.72","25.051","14.343","0.331","3","9",""
"4","R_1P6I86geBEG9KZ4","standard","1","4","HP","2","26.061","28.077","28.417","2.356","0.34","3","12",""
"5","R_1P6I86geBEG9KZ4","standard","1","5","HP","8","29.419","37.427","37.766","8.347","0.339","3","15",""
"6","R_1P6I86geBEG9KZ4","standard","1","6","HP","14","38.771","52.779","53.133","14.362","0.354","3","18",""
"7","R_1P6I86geBEG9KZ4","standard","1","7","HP","2","54.14","56.147","56.488","2.348","0.341","3","21",""
"8","R_1P6I86geBEG9KZ4","standard","1","8","HP","14","57.491","71.499","71.908","14.417","0.409","3","24",""
"9","R_1P6I86geBEG9KZ4","standard","1","9","HP","18","73.076","91.092","91.418","18.342","0.326","3","27",""
"10","R_1P6I86geBEG9KZ4","standard","1","10","HP","6","92.687","98.694","99.128","6.441","0.434","3","30",""
"11","R_1P6I86geBEG9KZ4","standard","1","11","HP","14","100.136","114.144","114.462","14.326","0.318","3","33",""
"12","R_1P6I86geBEG9KZ4","standard","1","12","HP","20","115.479","135.483","135.769","20.29","0.286","3","36",""
"13","R_1P6I86geBEG9KZ4","standard","1","13","HP","12","136.771","148.779","149.105","12.334","0.326","3","39",""
"14","R_1P6I86geBEG9KZ4","standard","1","14","HP","6","150.12","156.122","156.561","6.441","0.439","3","42",""
"15","R_1P6I86geBEG9KZ4","standard","1","15","HP","16","157.705","173.716","174.022","16.317","0.306","3","45",""
"16","R_1P6I86geBEG9KZ4","standard","1","16","HP","18","175.027","193.045","193.323","18.296","0.278","3","48",""
"17","R_1P6I86geBEG9KZ4","standard","1","17","HP","4","194.331","198.339","198.614","4.283","0.275","3","51",""
"18","R_1P6I86geBEG9KZ4","standard","1","18","HP","16","199.616","215.617","216.194","16.578","0.577","3","54",""
"19","R_1P6I86geBEG9KZ4","standard","1","19","HP","4","217.199","221.203","221.54","4.341","0.337","3","57",""
"20","R_1P6I86geBEG9KZ4","standard","1","20","HP","4","222.551","226.555","226.877","4.326","0.322","3","60",""
"21","R_1P6I86geBEG9KZ4","standard","1","21","HP","12","227.888","239.891","240.247","12.359","0.356","3","63",""
"22","R_1P6I86geBEG9KZ4","standard","1","22","HP","2","241.251","243.259","243.76","2.509","0.501","3","66",""
"23","R_1P6I86geBEG9KZ4","standard","1","23","HP","4","244.766","248.784","249.127","4.361","0.343","3","69",""
"24","R_1P6I86geBEG9KZ4","standard","1","24","HP","16","250.134","266.143","266.405","16.271","0.262","3","72",""
"25","R_1P6I86geBEG9KZ4","standard","1","25","HP","20","267.415","287.427","287.682","20.267","0.255","3","75",""
"26","R_1P6I86geBEG9KZ4","standard","1","26","HP","2","288.683","290.691","291.041","2.358","0.35","3","78",""
"27","R_1P6I86geBEG9KZ4","standard","1","27","HP","10","292.043","302.056","302.36","10.317","0.304","3","81",""
"28","R_1P6I86geBEG9KZ4","standard","1","28","HP","16","303.375","319.379","319.657","16.282","0.278","3","84",""
"29","R_1P6I86geBEG9KZ4","standard","1","29","HP","6","320.672","326.675","327.172","6.5","0.497","3","87",""
"30","R_1P6I86geBEG9KZ4","standard","1","30","HP","18","328.18","346.187","346.751","18.571","0.564","3","90",""
"31","R_1P6I86geBEG9KZ4","standard","1","31","HP","10","347.758","357.763","358.15","10.392","0.387","3","93",""
"32","R_1P6I86geBEG9KZ4","standard","1","32","HP","10","359.16","369.163","369.462","10.302","0.299","3","96",""
"33","R_1P6I86geBEG9KZ4","standard","1","33","HP","20","370.467","390.475","390.785","20.318","0.31","3","99",""
"34","R_1P6I86geBEG9KZ4","standard","1","34","HP","10","391.787","401.806","NA","11.025","NA","0","99",""
"35","R_1P6I86geBEG9KZ4","standard","1","35","HP","18","403.819","421.827","422.104","18.285","0.277","3","102",""
"36","R_1P6I86geBEG9KZ4","standard","1","36","HP","12","423.122","435.128","435.703","12.581","0.575","3","105",""
"37","R_1P6I86geBEG9KZ4","standard","1","37","HP","4","436.711","440.713","441.149","4.438","0.436","3","108",""
"38","R_1P6I86geBEG9KZ4","standard","1","38","HP","18","442.155","460.167","460.493","18.338","0.326","3","111",""
"39","R_1P6I86geBEG9KZ4","standard","1","39","HP","14","461.501","475.507","476.061","14.56","0.554","3","114",""
"40","R_1P6I86geBEG9KZ4","standard","1","40","HP","20","477.076","497.083","497.359","20.283","0.276","3","117",""
"41","R_1P6I86geBEG9KZ4","standard","1","41","HP","6","498.376","504.38","NA","7.011","NA","0","117",""
"42","R_1P6I86geBEG9KZ4","standard","1","42","HP","14","506.395","520.405","520.686","14.291","0.281","3","120",""
"43","R_1P6I86geBEG9KZ4","standard","1","43","HP","2","521.691","523.709","524.515","2.824","0.806","3","123",""
"44","R_1P6I86geBEG9KZ4","standard","1","44","HP","12","525.524","537.528","537.856","12.332","0.328","3","126",""
"45","R_1P6I86geBEG9KZ4","standard","1","45","HP","4","538.86","542.868","543.325","4.465","0.457","3","129",""
"46","R_1P6I86geBEG9KZ4","standard","1","46","HP","20","544.331","564.339","564.596","20.265","0.257","3","132",""
"47","R_1P6I86geBEG9KZ4","standard","1","47","HP","6","565.611","571.614","571.931","6.32","0.317","3","135",""
