"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1P8mLklmBcFMgIN","standard","1","1","HP","14","0.001","14.002","14.32","14.319","0.318","3","3",""
"2","R_1P8mLklmBcFMgIN","standard","1","2","HP","16","15.322","31.322","31.661","16.339","0.339","3","6",""
"3","R_1P8mLklmBcFMgIN","standard","1","3","HP","4","32.662","36.664","37.062","4.4","0.398","3","9",""
"4","R_1P8mLklmBcFMgIN","standard","1","4","HP","2","38.063","40.064","40.402","2.339","0.338","3","12",""
"5","R_1P8mLklmBcFMgIN","standard","1","5","HP","6","41.402","47.403","47.687","6.285","0.284","3","15",""
"6","R_1P8mLklmBcFMgIN","standard","1","6","HP","10","48.689","58.689","59.079","10.39","0.39","3","18",""
"7","R_1P8mLklmBcFMgIN","standard","1","7","HP","12","60.08","72.08","72.347","12.267","0.267","3","21",""
"8","R_1P8mLklmBcFMgIN","standard","1","8","HP","14","73.348","87.349","87.602","14.254","0.253","3","24",""
"9","R_1P8mLklmBcFMgIN","standard","1","9","HP","4","88.603","92.603","92.871","4.268","0.268","3","27",""
"10","R_1P8mLklmBcFMgIN","standard","1","10","HP","10","93.872","103.874","104.114","10.242","0.24","3","30",""
"11","R_1P8mLklmBcFMgIN","standard","1","11","HP","16","105.115","121.115","121.436","16.321","0.321","3","33",""
"12","R_1P8mLklmBcFMgIN","standard","1","12","HP","20","122.438","142.439","142.728","20.29","0.289","3","36",""
"13","R_1P8mLklmBcFMgIN","standard","1","13","HP","20","143.728","163.729","164.096","20.368","0.367","3","39",""
"14","R_1P8mLklmBcFMgIN","standard","1","14","HP","14","165.113","179.116","179.374","14.261","0.258","3","42",""
"15","R_1P8mLklmBcFMgIN","standard","1","15","HP","14","180.376","194.376","194.659","14.283","0.283","3","45",""
"16","R_1P8mLklmBcFMgIN","standard","1","16","HP","14","195.66","209.662","209.949","14.289","0.287","3","48",""
"17","R_1P8mLklmBcFMgIN","standard","1","17","HP","4","210.95","214.952","215.242","4.292","0.29","3","51",""
"18","R_1P8mLklmBcFMgIN","standard","1","18","HP","20","216.243","236.245","236.51","20.267","0.265","3","54",""
"19","R_1P8mLklmBcFMgIN","standard","1","19","HP","16","237.512","253.512","253.775","16.263","0.263","3","57",""
"20","R_1P8mLklmBcFMgIN","standard","1","20","HP","4","254.775","258.776","259.171","4.396","0.395","3","60",""
"21","R_1P8mLklmBcFMgIN","standard","1","21","HP","20","260.172","280.173","280.456","20.284","0.283","3","63",""
"22","R_1P8mLklmBcFMgIN","standard","1","22","HP","16","281.457","297.458","298.071","16.614","0.613","3","66",""
"23","R_1P8mLklmBcFMgIN","standard","1","23","HP","6","299.073","305.073","305.363","6.29","0.29","3","69",""
"24","R_1P8mLklmBcFMgIN","standard","1","24","HP","16","306.364","322.365","322.641","16.277","0.276","3","72",""
"25","R_1P8mLklmBcFMgIN","standard","1","25","HP","20","323.643","343.645","343.957","20.314","0.312","3","75",""
"26","R_1P8mLklmBcFMgIN","standard","1","26","HP","4","344.958","348.959","349.289","4.331","0.33","3","78",""
"27","R_1P8mLklmBcFMgIN","standard","1","27","HP","18","350.291","368.291","368.595","18.304","0.304","3","81",""
"28","R_1P8mLklmBcFMgIN","standard","1","28","HP","18","369.596","387.598","387.895","18.299","0.297","3","84",""
"29","R_1P8mLklmBcFMgIN","standard","1","29","HP","6","388.897","394.898","395.378","6.481","0.48","3","87",""
"30","R_1P8mLklmBcFMgIN","standard","1","30","HP","4","396.38","400.381","400.733","4.353","0.352","3","90",""
"31","R_1P8mLklmBcFMgIN","standard","1","31","HP","8","401.734","409.735","410.04","8.306","0.305","3","93",""
"32","R_1P8mLklmBcFMgIN","standard","1","32","HP","16","411.041","427.042","427.312","16.271","0.27","3","96",""
"33","R_1P8mLklmBcFMgIN","standard","1","33","HP","18","428.313","446.314","446.709","18.396","0.395","3","99",""
"34","R_1P8mLklmBcFMgIN","standard","1","34","HP","8","447.71","455.711","456.076","8.366","0.365","3","102",""
"35","R_1P8mLklmBcFMgIN","standard","1","35","HP","10","457.078","467.079","467.411","10.333","0.332","3","105",""
