"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1QMFmau8pEZ3IsC","standard","1","1","LP","2.15079707022835","0.001","2.162","2.519","2.518","0.357","3","3",""
"2","R_1QMFmau8pEZ3IsC","standard","1","2","LP","13.0392072382594","3.52","16.56","16.847","13.327","0.287","3","6",""
"3","R_1QMFmau8pEZ3IsC","standard","1","3","LP","2.15079707022835","17.86","20.02","20.348","2.488","0.328","3","9",""
"4","R_1QMFmau8pEZ3IsC","standard","1","4","LP","8.51632916846187","21.359","29.884","30.157","8.798","0.273","3","12",""
"5","R_1QMFmau8pEZ3IsC","standard","1","5","LP","5.5010771219302","31.163","36.667","36.924","5.761","0.257","3","15",""
"6","R_1QMFmau8pEZ3IsC","standard","1","6","LP","0.264713485566566","37.941","38.219","38.601","0.66","0.382","3","18",""
"7","R_1QMFmau8pEZ3IsC","standard","1","7","LP","3.49090909090909","39.603","43.111","43.41","3.807","0.299","3","21",""
"8","R_1QMFmau8pEZ3IsC","standard","1","8","LP","0.264713485566566","44.422","44.704","45.041","0.619","0.337","3","24",""
"9","R_1QMFmau8pEZ3IsC","standard","1","9","LP","30","46.043","76.043","76.275","30.232","0.232","3","27",""
"10","R_1QMFmau8pEZ3IsC","standard","1","10","LP","2.15079707022835","77.29","79.443","79.789","2.499","0.346","3","30",""
"11","R_1QMFmau8pEZ3IsC","standard","1","11","LP","30","80.795","110.803","111.047","30.252","0.244","3","33",""
"12","R_1QMFmau8pEZ3IsC","standard","1","12","LP","3.49090909090909","112.052","115.555","115.856","3.804","0.301","3","36",""
"13","R_1QMFmau8pEZ3IsC","standard","1","13","LP","0.264713485566566","116.873","117.151","117.494","0.621","0.343","3","39",""
"14","R_1QMFmau8pEZ3IsC","standard","1","14","LP","8.51632916846187","118.499","127.016","127.284","8.785","0.268","3","42",""
"15","R_1QMFmau8pEZ3IsC","standard","1","15","LP","1.25738905644119","128.296","129.56","129.914","1.618","0.354","3","45",""
"16","R_1QMFmau8pEZ3IsC","standard","1","16","LP","0.264713485566566","130.918","131.2","131.541","0.623","0.341","3","48",""
"17","R_1QMFmau8pEZ3IsC","standard","1","17","LP","1.25738905644119","132.543","133.808","134.35","1.807","0.542","3","51",""
"18","R_1QMFmau8pEZ3IsC","standard","1","18","LP","0.264713485566566","135.356","135.623","135.973","0.617","0.35","3","54",""
"19","R_1QMFmau8pEZ3IsC","standard","1","19","LP","1.25738905644119","136.978","138.243","138.575","1.597","0.332","3","57",""
"20","R_1QMFmau8pEZ3IsC","standard","1","20","LP","0.264713485566566","139.579","139.856","140.185","0.606","0.329","3","60",""
"21","R_1QMFmau8pEZ3IsC","standard","1","21","LP","0.661783713916415","141.198","141.867","142.177","0.979","0.31","3","63",""
"22","R_1QMFmau8pEZ3IsC","standard","1","22","LP","19.8235243429556","143.19","163.021","163.319","20.129","0.298","3","66",""
"23","R_1QMFmau8pEZ3IsC","standard","1","23","LP","0.661783713916415","164.333","164.995","165.282","0.949","0.287","3","69",""
"24","R_1QMFmau8pEZ3IsC","standard","1","24","LP","0.661783713916415","166.303","166.984","167.288","0.985","0.304","3","72",""
"25","R_1QMFmau8pEZ3IsC","standard","1","25","LP","8.51632916846187","168.292","176.809","177.079","8.787","0.27","3","75",""
