"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1Qo6shjoxUk7NB0","standard","1","1","LP","19.8235243429556","0.001","19.836","20.186","20.185","0.35","3","3",""
"2","R_1Qo6shjoxUk7NB0","standard","1","2","LP","2.15079707022835","21.2","23.353","23.784","2.584","0.431","3","6",""
"3","R_1Qo6shjoxUk7NB0","standard","1","3","LP","8.51632916846187","24.804","33.321","33.826","9.022","0.505","3","9",""
"4","R_1Qo6shjoxUk7NB0","standard","1","4","LP","1.25738905644119","34.843","36.112","36.504","1.661","0.392","3","12",""
"5","R_1Qo6shjoxUk7NB0","standard","1","5","LP","0.264713485566566","37.517","37.796","38.253","0.736","0.457","3","15",""
"6","R_1Qo6shjoxUk7NB0","standard","1","6","LP","0.264713485566566","39.263","39.542","39.974","0.711","0.432","3","18",""
"7","R_1Qo6shjoxUk7NB0","standard","1","7","LP","13.0392072382594","40.982","54.041","54.486","13.504","0.445","3","21",""
"8","R_1Qo6shjoxUk7NB0","standard","1","8","LP","8.51632916846187","55.505","64.03","64.525","9.02","0.495","3","24",""
"9","R_1Qo6shjoxUk7NB0","standard","1","9","LP","13.0392072382594","65.53","78.574","78.986","13.456","0.412","3","27",""
"10","R_1Qo6shjoxUk7NB0","standard","1","10","LP","30","79.989","110.011","110.346","30.357","0.335","3","30",""
"11","R_1Qo6shjoxUk7NB0","standard","1","11","LP","13.0392072382594","111.363","124.421","124.877","13.514","0.456","3","33",""
"12","R_1Qo6shjoxUk7NB0","standard","1","12","LP","2.15079707022835","125.89","128.046","128.706","2.816","0.66","3","36",""
"13","R_1Qo6shjoxUk7NB0","standard","1","13","LP","5.5010771219302","129.717","135.22","135.577","5.86","0.357","3","39",""
"14","R_1Qo6shjoxUk7NB0","standard","1","14","LP","13.0392072382594","136.596","149.639","150.097","13.501","0.458","3","42",""
