"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1dhlyHMvZcxNoJ4","standard","1","1","HP","4","0.005","4.009","4.597","4.592","0.588","3","3",""
"2","R_1dhlyHMvZcxNoJ4","standard","1","2","HP","14","5.598","19.605","20.18","14.582","0.575","3","6",""
"3","R_1dhlyHMvZcxNoJ4","standard","1","3","HP","8","21.181","29.181","29.979","8.798","0.798","3","9",""
"4","R_1dhlyHMvZcxNoJ4","standard","1","4","HP","18","30.981","48.99","49.611","18.63","0.621","3","12",""
"5","R_1dhlyHMvZcxNoJ4","standard","1","5","HP","6","50.617","56.622","57.274","6.657","0.652","3","15",""
"6","R_1dhlyHMvZcxNoJ4","standard","1","6","HP","14","58.276","72.281","72.84","14.564","0.559","3","18",""
"7","R_1dhlyHMvZcxNoJ4","standard","1","7","HP","10","73.841","83.847","84.486","10.645","0.639","3","21",""
"8","R_1dhlyHMvZcxNoJ4","standard","1","8","HP","12","85.487","97.496","98.171","12.684","0.675","3","24",""
"9","R_1dhlyHMvZcxNoJ4","standard","1","9","HP","14","99.175","113.183","113.789","14.614","0.606","3","27",""
"10","R_1dhlyHMvZcxNoJ4","standard","1","10","HP","16","114.808","130.809","131.451","16.643","0.642","3","30",""
"11","R_1dhlyHMvZcxNoJ4","standard","1","11","HP","6","132.455","138.462","139.13","6.675","0.668","3","33",""
"12","R_1dhlyHMvZcxNoJ4","standard","1","12","HP","20","140.134","160.141","160.749","20.615","0.608","3","36",""
"13","R_1dhlyHMvZcxNoJ4","standard","1","13","HP","18","161.759","179.765","180.382","18.623","0.617","3","39",""
"14","R_1dhlyHMvZcxNoJ4","standard","1","14","HP","14","181.393","195.397","196.081","14.688","0.684","3","42",""
"15","R_1dhlyHMvZcxNoJ4","standard","1","15","HP","20","197.086","217.094","217.698","20.612","0.604","3","45",""
"16","R_1dhlyHMvZcxNoJ4","standard","1","16","HP","16","218.765","234.766","235.448","16.683","0.682","3","48",""
"17","R_1dhlyHMvZcxNoJ4","standard","1","17","HP","18","236.454","254.46","255.192","18.738","0.732","3","51",""
"18","R_1dhlyHMvZcxNoJ4","standard","1","18","HP","8","256.201","264.206","265.061","8.86","0.855","3","54",""
"19","R_1dhlyHMvZcxNoJ4","standard","1","19","HP","16","266.061","282.063","282.618","16.557","0.555","3","57",""
"20","R_1dhlyHMvZcxNoJ4","standard","1","20","HP","8","283.621","291.63","292.268","8.647","0.638","3","60",""
"21","R_1dhlyHMvZcxNoJ4","standard","1","21","HP","12","293.269","305.271","305.907","12.638","0.636","3","63",""
"22","R_1dhlyHMvZcxNoJ4","standard","1","22","HP","4","306.919","310.921","311.657","4.738","0.736","3","66",""
"23","R_1dhlyHMvZcxNoJ4","standard","1","23","HP","20","312.662","332.671","333.267","20.605","0.596","3","66","4139"
"24","R_1dhlyHMvZcxNoJ4","standard","1","24","HP","8","334.27","342.292","343.101","8.831","0.809","3","69",""
"25","R_1dhlyHMvZcxNoJ4","standard","1","25","HP","6","344.106","350.115","350.815","6.709","0.7","3","72",""
"26","R_1dhlyHMvZcxNoJ4","standard","1","26","HP","4","351.816","355.823","356.485","4.669","0.662","3","75",""
"27","R_1dhlyHMvZcxNoJ4","standard","1","27","HP","10","357.486","367.495","368.151","10.665","0.656","3","78",""
"28","R_1dhlyHMvZcxNoJ4","standard","1","28","HP","12","369.161","381.167","381.872","12.711","0.705","3","81",""
"29","R_1dhlyHMvZcxNoJ4","standard","1","29","HP","10","382.878","392.887","393.512","10.634","0.625","3","84",""
"30","R_1dhlyHMvZcxNoJ4","standard","1","30","HP","4","394.527","398.532","399.318","4.791","0.786","3","87",""
"31","R_1dhlyHMvZcxNoJ4","standard","1","31","HP","20","400.328","420.334","420.94","20.612","0.606","3","90",""
"32","R_1dhlyHMvZcxNoJ4","standard","1","32","HP","14","421.943","435.951","436.651","14.708","0.7","3","93",""
"33","R_1dhlyHMvZcxNoJ4","standard","1","33","HP","6","437.654","443.663","444.447","6.793","0.784","3","96",""
"34","R_1dhlyHMvZcxNoJ4","standard","1","34","HP","8","445.457","453.463","454.204","8.747","0.741","3","99",""
"35","R_1dhlyHMvZcxNoJ4","standard","1","35","HP","12","455.215","467.22","467.929","12.714","0.709","3","102",""
"36","R_1dhlyHMvZcxNoJ4","standard","1","36","HP","12","468.937","480.943","481.672","12.735","0.729","3","105",""
"37","R_1dhlyHMvZcxNoJ4","standard","1","37","HP","10","482.679","492.698","493.32","10.641","0.622","3","108",""
"38","R_1dhlyHMvZcxNoJ4","standard","1","38","HP","20","494.344","514.344","515.08","20.736","0.736","3","111",""
"39","R_1dhlyHMvZcxNoJ4","standard","1","39","HP","8","516.091","524.094","524.847","8.756","0.753","3","114",""
"40","R_1dhlyHMvZcxNoJ4","standard","1","40","HP","20","525.854","545.861","546.472","20.618","0.611","3","117",""
"41","R_1dhlyHMvZcxNoJ4","standard","1","41","HP","20","547.477","567.478","568.17","20.693","0.692","3","120",""
"42","R_1dhlyHMvZcxNoJ4","standard","1","42","HP","2","569.175","571.183","572.158","2.983","0.975","3","123",""
"43","R_1dhlyHMvZcxNoJ4","standard","1","43","HP","8","573.166","581.167","581.792","8.626","0.625","3","126",""
"44","R_1dhlyHMvZcxNoJ4","standard","1","44","HP","16","582.8","598.81","599.551","16.751","0.741","3","129",""
"45","R_1dhlyHMvZcxNoJ4","standard","1","45","HP","20","600.559","620.566","621.241","20.682","0.675","3","132",""
"46","R_1dhlyHMvZcxNoJ4","standard","1","46","HP","6","622.247","628.255","628.99","6.743","0.735","3","135",""
"47","R_1dhlyHMvZcxNoJ4","standard","1","47","HP","18","629.99","647.99","648.62","18.63","0.63","3","138",""
"48","R_1dhlyHMvZcxNoJ4","standard","1","48","HP","8","649.631","657.631","658.25","8.619","0.619","3","141",""
"49","R_1dhlyHMvZcxNoJ4","standard","1","49","HP","12","659.255","671.262","671.895","12.64","0.633","3","144",""
"50","R_1dhlyHMvZcxNoJ4","standard","1","50","HP","18","672.903","690.919","691.575","18.672","0.656","3","147",""
"51","R_1dhlyHMvZcxNoJ4","standard","1","51","HP","12","692.583","704.59","705.208","12.625","0.618","3","150",""
"52","R_1dhlyHMvZcxNoJ4","standard","1","52","HP","18","706.211","724.214","724.828","18.617","0.614","3","153",""
"53","R_1dhlyHMvZcxNoJ4","standard","1","53","HP","18","725.831","743.837","744.483","18.652","0.646","3","156",""
"54","R_1dhlyHMvZcxNoJ4","standard","1","54","HP","12","745.487","757.495","NA","13.034","NA","0","156",""
"55","R_1dhlyHMvZcxNoJ4","standard","1","55","HP","6","759.527","765.539","766.259","6.732","0.72","3","153","c(""2157"", ""2485"")"
"56","R_1dhlyHMvZcxNoJ4","standard","1","56","HP","2","767.262","769.269","770.031","2.769","0.762","3","156",""
"57","R_1dhlyHMvZcxNoJ4","standard","1","57","HP","18","771.032","789.039","789.67","18.638","0.631","3","159",""
"58","R_1dhlyHMvZcxNoJ4","standard","1","58","HP","16","790.688","806.713","807.304","16.616","0.591","3","162",""
"59","R_1dhlyHMvZcxNoJ4","standard","1","59","HP","20","808.309","828.311","828.99","20.681","0.679","3","165",""
"60","R_1dhlyHMvZcxNoJ4","standard","1","60","HP","10","829.995","839.997","840.727","10.732","0.73","3","168",""
"61","R_1dhlyHMvZcxNoJ4","standard","1","61","HP","20","841.733","861.735","NA","21.01","NA","0","168",""
"62","R_1dhlyHMvZcxNoJ4","standard","1","62","HP","16","863.747","879.757","880.457","16.71","0.7","3","168","3143"
"63","R_1dhlyHMvZcxNoJ4","standard","1","63","HP","8","881.463","889.473","890.068","8.605","0.595","3","171",""
"64","R_1dhlyHMvZcxNoJ4","standard","1","64","HP","2","891.074","893.078","893.71","2.636","0.632","3","174",""
"65","R_1dhlyHMvZcxNoJ4","standard","2","1","LP","30","0","NaN","1.123","1.123","NaN","0","174",NA
"66","R_1dhlyHMvZcxNoJ4","standard","2","2","LP","0.661783713916415","2.124","2.788","3.438","1.314","0.65","3","177",NA
"67","R_1dhlyHMvZcxNoJ4","standard","2","3","LP","3.49090909090909","4.443","NaN","5.26","0.817","NaN","0","177",NA
"68","R_1dhlyHMvZcxNoJ4","standard","2","4","LP","13.0392072382594","6.267","NaN","7.162","0.895","NaN","0","177",NA
"69","R_1dhlyHMvZcxNoJ4","standard","2","5","LP","1.25738905644119","8.166","NaN","8.92","0.754","NaN","0","177",NA
"70","R_1dhlyHMvZcxNoJ4","standard","2","6","LP","19.8235243429556","9.929","NaN","10.791","0.862","NaN","0","177",NA
"71","R_1dhlyHMvZcxNoJ4","standard","2","7","LP","30","11.795","NaN","12.586","0.791","NaN","0","177",NA
"72","R_1dhlyHMvZcxNoJ4","standard","2","8","LP","3.49090909090909","13.595","NaN","15.163","1.568","NaN","0","177",NA
"73","R_1dhlyHMvZcxNoJ4","standard","2","9","LP","19.8235243429556","16.164","NaN","16.721","0.557","NaN","0","177",NA
"74","R_1dhlyHMvZcxNoJ4","standard","2","10","LP","8.51632916846187","17.728","NaN","18.461","0.733","NaN","0","177",NA
"75","R_1dhlyHMvZcxNoJ4","standard","2","11","LP","5.5010771219302","19.467","NaN","23.534","4.067","NaN","0","177",NA
"76","R_1dhlyHMvZcxNoJ4","standard","2","12","LP","0.661783713916415","24.536","25.207","25.618","1.082","0.411","3","180",NA
"77","R_1dhlyHMvZcxNoJ4","standard","2","13","LP","2.15079707022835","26.625","NaN","28.157","1.532","NaN","0","180",NA
"78","R_1dhlyHMvZcxNoJ4","standard","2","14","LP","0.264713485566566","29.164","29.434","30.138","0.974","0.704","3","183",NA
"79","R_1dhlyHMvZcxNoJ4","standard","2","15","LP","0.661783713916415","31.14","31.804","32.449","1.309","0.645","3","186",NA
"80","R_1dhlyHMvZcxNoJ4","standard","2","16","LP","8.51632916846187","33.452","NaN","34.688","1.236","NaN","0","186",NA
"81","R_1dhlyHMvZcxNoJ4","standard","2","17","LP","13.0392072382594","35.691","NaN","36.829","1.138","NaN","0","186",NA
"82","R_1dhlyHMvZcxNoJ4","standard","2","18","LP","30","37.835","NaN","39.038","1.203","NaN","0","186",NA
"83","R_1dhlyHMvZcxNoJ4","standard","2","19","LP","1.25738905644119","40.043","41.309","41.333","1.29","0.024","3","189",NA
"84","R_1dhlyHMvZcxNoJ4","standard","2","20","LP","1.25738905644119","42.338","NaN","43.235","0.897","NaN","0","189",NA
"85","R_1dhlyHMvZcxNoJ4","standard","2","21","LP","2.15079707022835","44.242","NaN","44.88","0.638","NaN","0","189",NA
"86","R_1dhlyHMvZcxNoJ4","standard","2","22","LP","13.0392072382594","45.893","NaN","46.779","0.886","NaN","0","189",NA
"87","R_1dhlyHMvZcxNoJ4","standard","2","23","LP","0.661783713916415","47.787","48.451","48.701","0.914","0.25","3","192",NA
"88","R_1dhlyHMvZcxNoJ4","standard","2","24","LP","0.661783713916415","49.722","50.386","50.498","0.776","0.112","3","195",NA
"89","R_1dhlyHMvZcxNoJ4","standard","2","25","LP","0.264713485566566","51.503","51.77",NA,"1.268",NA,"0","195",NA
"90","R_1dhlyHMvZcxNoJ4","standard","2","26","LP","1.25738905644119","53.779","NaN","54.295","0.516","NaN","0","195",NA
"91","R_1dhlyHMvZcxNoJ4","standard","2","27","LP","2.15079707022835","55.316","NaN","56.083","0.767","NaN","0","195",NA
"92","R_1dhlyHMvZcxNoJ4","standard","2","28","LP","19.8235243429556","57.09","NaN","58.03","0.94","NaN","0","195",NA
"93","R_1dhlyHMvZcxNoJ4","standard","2","29","LP","0.264713485566566","59.038","59.311","59.558","0.52","0.247","3","198",NA
"94","R_1dhlyHMvZcxNoJ4","standard","2","30","LP","1.25738905644119","60.563","NaN","61.194","0.631","NaN","0","198",NA
"95","R_1dhlyHMvZcxNoJ4","standard","2","31","LP","0.264713485566566","62.203","62.503","62.82","0.617","0.317","3","201",NA
"96","R_1dhlyHMvZcxNoJ4","standard","2","32","LP","2.15079707022835","63.827","NaN","64.35","0.523","NaN","0","201",NA
"97","R_1dhlyHMvZcxNoJ4","standard","2","33","LP","1.25738905644119","65.355","NaN","65.913","0.558","NaN","0","201",NA
"98","R_1dhlyHMvZcxNoJ4","standard","2","34","LP","30","66.915","NaN","67.431","0.516","NaN","0","201",NA
"99","R_1dhlyHMvZcxNoJ4","standard","2","35","LP","3.49090909090909","68.438","NaN","68.948","0.51","NaN","0","201",NA
"100","R_1dhlyHMvZcxNoJ4","standard","2","36","LP","30","69.955","NaN","70.503","0.548","NaN","0","201",NA
"101","R_1dhlyHMvZcxNoJ4","standard","2","37","LP","13.0392072382594","71.521","NaN","72.139","0.618","NaN","0","201",NA
"102","R_1dhlyHMvZcxNoJ4","standard","2","38","LP","1.25738905644119","73.147","NaN","73.808","0.661","NaN","0","201",NA
"103","R_1dhlyHMvZcxNoJ4","standard","2","39","LP","2.15079707022835","74.811","NaN","75.547","0.736","NaN","0","201",NA
"104","R_1dhlyHMvZcxNoJ4","standard","2","40","LP","3.49090909090909","76.565","NaN","77.196","0.631","NaN","0","201",NA
"105","R_1dhlyHMvZcxNoJ4","standard","2","41","LP","3.49090909090909","78.202","NaN","78.78","0.578","NaN","0","201",NA
"106","R_1dhlyHMvZcxNoJ4","standard","2","42","LP","19.8235243429556","79.786","NaN","80.382","0.596","NaN","0","201",NA
"107","R_1dhlyHMvZcxNoJ4","standard","2","43","LP","8.51632916846187","81.388","NaN","81.949","0.561","NaN","0","201",NA
"108","R_1dhlyHMvZcxNoJ4","standard","2","44","LP","30","82.955","NaN","83.543","0.588","NaN","0","201",NA
"109","R_1dhlyHMvZcxNoJ4","standard","2","45","LP","13.0392072382594","84.559","NaN","85.151","0.592","NaN","0","201",NA
"110","R_1dhlyHMvZcxNoJ4","standard","2","46","LP","0.661783713916415","86.155","NaN","86.746","0.591","NaN","0","201",NA
"111","R_1dhlyHMvZcxNoJ4","standard","2","47","LP","0.661783713916415","87.756","NaN","88.349","0.593","NaN","0","201",NA
"112","R_1dhlyHMvZcxNoJ4","standard","2","48","LP","0.661783713916415","89.354","NaN","89.824","0.47","NaN","0","201",NA
"113","R_1dhlyHMvZcxNoJ4","standard","2","49","LP","8.51632916846187","90.834","NaN","91.346","0.512","NaN","0","201",NA
"114","R_1dhlyHMvZcxNoJ4","standard","2","50","LP","19.8235243429556","92.351","NaN","92.871","0.52","NaN","0","201",NA
"115","R_1dhlyHMvZcxNoJ4","standard","2","51","LP","30","93.875","NaN","94.85","0.975","NaN","0","201",NA
"116","R_1dhlyHMvZcxNoJ4","standard","2","52","LP","1.25738905644119","95.851","NaN","96.39","0.539","NaN","0","201",NA
"117","R_1dhlyHMvZcxNoJ4","standard","2","53","LP","8.51632916846187","97.395","NaN","97.942","0.547","NaN","0","201",NA
"118","R_1dhlyHMvZcxNoJ4","standard","2","54","LP","0.661783713916415","98.942","NaN","99.606","0.664","NaN","0","201",NA
"119","R_1dhlyHMvZcxNoJ4","standard","2","55","LP","2.15079707022835","100.611","NaN","101.287","0.676","NaN","0","201",NA
"120","R_1dhlyHMvZcxNoJ4","standard","2","56","LP","3.49090909090909","102.315","NaN","103.082","0.767","NaN","0","201",NA
"121","R_1dhlyHMvZcxNoJ4","standard","2","57","LP","0.264713485566566","104.09","104.354","104.725","0.635","0.371","3","204",NA
"122","R_1dhlyHMvZcxNoJ4","standard","2","58","LP","19.8235243429556","105.761","NaN","106.543","0.782","NaN","0","204",NA
"123","R_1dhlyHMvZcxNoJ4","standard","2","59","LP","0.264713485566566","107.548","107.83","108.03","0.482","0.2","3","207",NA
"124","R_1dhlyHMvZcxNoJ4","standard","2","60","LP","30","109.035","NaN","109.48","0.445","NaN","0","207",NA
"125","R_1dhlyHMvZcxNoJ4","standard","2","61","LP","1.25738905644119","110.503","NaN","111.119","0.616","NaN","0","207",NA
"126","R_1dhlyHMvZcxNoJ4","standard","2","62","LP","0.264713485566566","112.131","112.409","112.678","0.547","0.269","3","210",NA
