"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1diem2X0dC1zhkj","standard","1","1","LP","5.5010771219302","0.001","5.507","5.803","5.802","0.296","3","3",""
"2","R_1diem2X0dC1zhkj","standard","1","2","LP","3.49090909090909","6.811","10.307","10.674","3.863","0.367","3","6",""
"3","R_1diem2X0dC1zhkj","standard","1","3","LP","2.15079707022835","11.683","13.842","14.451","2.768","0.609","3","6","439"
"4","R_1diem2X0dC1zhkj","standard","1","4","LP","0.264713485566566","15.458","15.727","16.211","0.753","0.484","3","9",""
"5","R_1diem2X0dC1zhkj","standard","1","5","LP","13.0392072382594","17.218","30.267","30.604","13.386","0.337","3","12",""
"6","R_1diem2X0dC1zhkj","standard","1","6","LP","0.661783713916415","31.611","32.282","32.642","1.031","0.36","3","15",""
"7","R_1diem2X0dC1zhkj","standard","1","7","LP","30","33.65","63.653","63.987","30.337","0.334","3","18",""
"8","R_1diem2X0dC1zhkj","standard","1","8","LP","8.51632916846187","64.994","73.515","73.915","8.921","0.4","3","21",""
"9","R_1diem2X0dC1zhkj","standard","1","9","LP","30","74.922","104.931","105.267","30.345","0.336","3","24",""
"10","R_1diem2X0dC1zhkj","standard","1","10","LP","19.8235243429556","106.274","126.097","126.499","20.225","0.402","3","27",""
"11","R_1diem2X0dC1zhkj","standard","1","11","LP","13.0392072382594","127.505","140.546","140.955","13.45","0.409","3","30",""
"12","R_1diem2X0dC1zhkj","standard","1","12","LP","1.25738905644119","141.986","143.25","143.923","1.937","0.673","3","33",""
"13","R_1diem2X0dC1zhkj","standard","1","13","LP","30","144.93","174.933","175.251","30.321","0.318","3","36",""
"14","R_1diem2X0dC1zhkj","standard","1","14","LP","8.51632916846187","176.258","184.779","185.139","8.881","0.36","3","39",""
"15","R_1diem2X0dC1zhkj","standard","1","15","LP","19.8235243429556","186.146","205.971","206.404","20.258","0.433","3","42",""
"16","R_1diem2X0dC1zhkj","standard","1","16","LP","1.25738905644119","207.414","208.675","209.347","1.933","0.672","3","45",""
"17","R_1diem2X0dC1zhkj","standard","1","17","LP","0.264713485566566","210.354","210.626","211.044","0.69","0.418","3","48",""
"18","R_1diem2X0dC1zhkj","standard","1","18","LP","30","212.051","242.058","242.524","30.473","0.466","3","51",""
"19","R_1diem2X0dC1zhkj","standard","1","19","LP","8.51632916846187","243.53","252.051","252.788","9.258","0.737","3","54",""
"20","R_1diem2X0dC1zhkj","standard","1","20","LP","2.15079707022835","253.795","255.946","256.403","2.608","0.457","3","57",""
"21","R_1diem2X0dC1zhkj","standard","1","21","LP","1.25738905644119","257.414","258.674","259.107","1.693","0.433","3","60",""
"22","R_1diem2X0dC1zhkj","standard","1","22","LP","5.5010771219302","260.115","265.637","266.076","5.961","0.439","3","63",""
"23","R_1diem2X0dC1zhkj","standard","1","23","LP","30","267.083","297.09","297.524","30.441","0.434","3","66",""
"24","R_1diem2X0dC1zhkj","standard","1","24","LP","3.49090909090909","298.531","302.026","302.412","3.881","0.386","3","69",""
"25","R_1diem2X0dC1zhkj","standard","1","25","LP","0.264713485566566","303.419","303.691","304.091","0.672","0.4","3","72",""
"26","R_1diem2X0dC1zhkj","standard","1","26","LP","0.661783713916415","305.098","305.762","306.308","1.21","0.546","3","75",""
"27","R_1diem2X0dC1zhkj","standard","1","27","LP","0.661783713916415","307.308","307.978","308.364","1.056","0.386","3","78",""
"28","R_1diem2X0dC1zhkj","standard","1","28","LP","0.264713485566566","309.37","309.637","310.083","0.713","0.446","3","81",""
"29","R_1diem2X0dC1zhkj","standard","1","29","LP","13.0392072382594","311.09","324.131","324.692","13.602","0.561","3","84",""
"30","R_1diem2X0dC1zhkj","standard","1","30","LP","5.5010771219302","325.698","331.203","331.646","5.948","0.443","3","87",""
