"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1goHLjs8jGJVu8q","standard","1","1","LP","30","0.002","30.004","30.298","30.296","0.294","3","3",""
"2","R_1goHLjs8jGJVu8q","standard","1","2","LP","30","31.3","61.307","61.614","30.314","0.307","3","6",""
"3","R_1goHLjs8jGJVu8q","standard","1","3","LP","3.49090909090909","62.62","66.115","66.494","3.874","0.379","3","9",""
"4","R_1goHLjs8jGJVu8q","standard","1","4","LP","19.8235243429556","67.498","87.322","87.671","20.173","0.349","3","12",""
"5","R_1goHLjs8jGJVu8q","standard","1","5","LP","1.25738905644119","88.676","89.939","90.318","1.642","0.379","3","15",""
"6","R_1goHLjs8jGJVu8q","standard","1","6","LP","30","91.323","121.325","121.65","30.327","0.325","3","18",""
"7","R_1goHLjs8jGJVu8q","standard","1","7","LP","0.661783713916415","122.658","123.322","123.84","1.182","0.518","3","21",""
"8","R_1goHLjs8jGJVu8q","standard","1","8","LP","0.661783713916415","124.842","125.506","125.866","1.024","0.36","3","24",""
"9","R_1goHLjs8jGJVu8q","standard","1","9","LP","3.49090909090909","126.874","130.369","130.738","3.864","0.369","3","27",""
"10","R_1goHLjs8jGJVu8q","standard","1","10","LP","0.264713485566566","131.746","132.018","132.417","0.671","0.399","3","30",""
"11","R_1goHLjs8jGJVu8q","standard","1","11","LP","0.661783713916415","133.418","134.082","134.404","0.986","0.322","3","33",""
"12","R_1goHLjs8jGJVu8q","standard","1","12","LP","30","135.405","165.409","165.729","30.324","0.32","3","36",""
"13","R_1goHLjs8jGJVu8q","standard","1","13","LP","19.8235243429556","166.737","186.561","186.947","20.21","0.386","3","39",""
"14","R_1goHLjs8jGJVu8q","standard","1","14","LP","13.0392072382594","187.954","201.001","201.362","13.408","0.361","3","42",""
"15","R_1goHLjs8jGJVu8q","standard","1","15","LP","3.49090909090909","202.369","205.865","206.233","3.864","0.368","3","45",""
"16","R_1goHLjs8jGJVu8q","standard","1","16","LP","2.15079707022835","207.241","209.394","209.744","2.503","0.35","3","48",""
"17","R_1goHLjs8jGJVu8q","standard","1","17","LP","19.8235243429556","210.754","230.585","230.961","20.207","0.376","3","51",""
"18","R_1goHLjs8jGJVu8q","standard","1","18","LP","8.51632916846187","231.969","240.489","240.966","8.997","0.477","3","54",""
"19","R_1goHLjs8jGJVu8q","standard","1","19","LP","0.264713485566566","241.969","242.24","242.655","0.686","0.415","3","57",""
"20","R_1goHLjs8jGJVu8q","standard","1","20","LP","0.264713485566566","243.657","243.929","244.918","1.261","0.989","3","60",""
"21","R_1goHLjs8jGJVu8q","standard","1","21","LP","0.264713485566566","245.922","246.195","246.539","0.617","0.344","3","63",""
"22","R_1goHLjs8jGJVu8q","standard","1","22","LP","0.661783713916415","247.545","248.209","248.584","1.039","0.375","3","66",""
"23","R_1goHLjs8jGJVu8q","standard","1","23","LP","19.8235243429556","249.593","269.424","269.798","20.205","0.374","3","69",""
"24","R_1goHLjs8jGJVu8q","standard","1","24","LP","0.661783713916415","270.8","271.464","271.903","1.103","0.439","3","72",""
"25","R_1goHLjs8jGJVu8q","standard","1","25","LP","2.15079707022835","272.905","275.056","275.389","2.484","0.333","3","75",""
"26","R_1goHLjs8jGJVu8q","standard","1","26","LP","19.8235243429556","276.393","296.224","296.603","20.21","0.379","3","78",""
"27","R_1goHLjs8jGJVu8q","standard","1","27","LP","2.15079707022835","297.608","299.76","300.084","2.476","0.324","3","81",""
"28","R_1goHLjs8jGJVu8q","standard","1","28","LP","19.8235243429556","301.088","320.919","321.295","20.207","0.376","3","81","2617"
"29","R_1goHLjs8jGJVu8q","standard","1","29","LP","13.0392072382594","322.304","335.352","335.879","13.575","0.527","3","84",""
"30","R_1goHLjs8jGJVu8q","standard","1","30","LP","0.661783713916415","336.888","337.552","337.987","1.099","0.435","3","87",""
"31","R_1goHLjs8jGJVu8q","standard","1","31","LP","8.51632916846187","338.992","347.511","348.005","9.013","0.494","3","90",""
"32","R_1goHLjs8jGJVu8q","standard","1","32","LP","13.0392072382594","349.007","362.055","362.439","13.432","0.384","3","93",""
"33","R_1goHLjs8jGJVu8q","standard","1","33","LP","2.15079707022835","363.447","365.599","365.934","2.487","0.335","3","96",""
"34","R_1goHLjs8jGJVu8q","standard","1","34","LP","1.25738905644119","366.943","368.2","368.54","1.597","0.34","3","99",""
"35","R_1goHLjs8jGJVu8q","standard","1","35","LP","0.661783713916415","369.543","370.206","370.582","1.039","0.376","3","102",""
"36","R_1goHLjs8jGJVu8q","standard","1","36","LP","19.8235243429556","371.591","391.419","391.812","20.221","0.393","3","105",""
"37","R_1goHLjs8jGJVu8q","standard","1","37","LP","3.49090909090909","392.815","396.31","396.711","3.896","0.401","3","108",""
"38","R_1goHLjs8jGJVu8q","standard","1","38","LP","1.25738905644119","397.719","398.983","399.368","1.649","0.385","3","111",""
"39","R_1goHLjs8jGJVu8q","standard","1","39","LP","30","400.375","430.382","430.739","30.364","0.357","3","114",""
"40","R_1goHLjs8jGJVu8q","standard","1","40","LP","2.15079707022835","431.742","433.894","434.359","2.617","0.465","3","117",""
"41","R_1goHLjs8jGJVu8q","standard","1","41","LP","1.25738905644119","435.366","436.631","437.017","1.651","0.386","3","120",""
"42","R_1goHLjs8jGJVu8q","standard","1","42","LP","19.8235243429556","438.022","457.854","458.258","20.236","0.404","3","123",""
"43","R_1goHLjs8jGJVu8q","standard","1","43","LP","3.49090909090909","459.262","462.757","463.195","3.933","0.438","3","126",""
"44","R_1goHLjs8jGJVu8q","standard","1","44","LP","8.51632916846187","464.198","472.719","473.152","8.954","0.433","3","129",""
"45","R_1goHLjs8jGJVu8q","standard","1","45","LP","0.661783713916415","474.158","474.82","475.311","1.153","0.491","3","132",""
"46","R_1goHLjs8jGJVu8q","standard","1","46","LP","0.264713485566566","476.318","476.59","476.909","0.591","0.319","3","135",""
