"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1ifk6NeVMFHGM61","standard","1","1","LP","3.49090909090909","0.001","3.506","3.837","3.836","0.331","3","3",""
"2","R_1ifk6NeVMFHGM61","standard","1","2","LP","13.0392072382594","4.844","17.895","18.174","13.33","0.279","3","6",""
"3","R_1ifk6NeVMFHGM61","standard","1","3","LP","19.8235243429556","19.18","39.015","39.341","20.161","0.326","3","9",""
"4","R_1ifk6NeVMFHGM61","standard","1","4","LP","19.8235243429556","40.354","60.18","60.558","20.204","0.378","3","12",""
"5","R_1ifk6NeVMFHGM61","standard","1","5","LP","5.5010771219302","61.567","67.075","67.501","5.934","0.426","3","15",""
"6","R_1ifk6NeVMFHGM61","standard","1","6","LP","1.25738905644119","68.513","69.774","70.317","1.804","0.543","3","18",""
"7","R_1ifk6NeVMFHGM61","standard","1","7","LP","0.264713485566566","71.332","71.604","72.021","0.689","0.417","3","21",""
"8","R_1ifk6NeVMFHGM61","standard","1","8","LP","30","73.024","103.027","103.389","30.365","0.362","3","24",""
"9","R_1ifk6NeVMFHGM61","standard","1","9","LP","30","104.41","134.412","134.878","30.468","0.466","3","24","28668"
"10","R_1ifk6NeVMFHGM61","standard","1","10","LP","30","135.892","165.915","166.278","30.386","0.363","3","27",""
"11","R_1ifk6NeVMFHGM61","standard","1","11","LP","19.8235243429556","167.284","187.108","187.574","20.29","0.466","3","30",""
"12","R_1ifk6NeVMFHGM61","standard","1","12","LP","19.8235243429556","188.583","208.422","208.814","20.231","0.392","3","33",""
"13","R_1ifk6NeVMFHGM61","standard","1","13","LP","3.49090909090909","209.824","213.329","213.846","4.022","0.517","3","36",""
"14","R_1ifk6NeVMFHGM61","standard","1","14","LP","2.15079707022835","214.858","217.019","217.422","2.564","0.403","3","39",""
"15","R_1ifk6NeVMFHGM61","standard","1","15","LP","1.25738905644119","218.431","219.701","220.174","1.743","0.473","3","42",""
"16","R_1ifk6NeVMFHGM61","standard","1","16","LP","30","221.18","251.202","251.559","30.379","0.357","3","45",""
"17","R_1ifk6NeVMFHGM61","standard","1","17","LP","1.25738905644119","252.57","253.828","254.398","1.828","0.57","3","48",""
"18","R_1ifk6NeVMFHGM61","standard","1","18","LP","0.661783713916415","255.404","256.069","256.446","1.042","0.377","3","51",""
"19","R_1ifk6NeVMFHGM61","standard","1","19","LP","1.25738905644119","257.452","258.709","259.086","1.634","0.377","3","54",""
"20","R_1ifk6NeVMFHGM61","standard","1","20","LP","19.8235243429556","260.096","279.932","280.382","20.286","0.45","3","57",""
"21","R_1ifk6NeVMFHGM61","standard","1","21","LP","1.25738905644119","281.388","282.652","283.062","1.674","0.41","3","60",""
"22","R_1ifk6NeVMFHGM61","standard","1","22","LP","2.15079707022835","284.067","286.226","287.038","2.971","0.812","3","63",""
"23","R_1ifk6NeVMFHGM61","standard","1","23","LP","3.49090909090909","288.048","291.548","291.935","3.887","0.387","3","66",""
"24","R_1ifk6NeVMFHGM61","standard","1","24","LP","8.51632916846187","292.947","301.477","301.878","8.931","0.401","3","69",""
"25","R_1ifk6NeVMFHGM61","standard","1","25","LP","30","302.894","332.901","333.336","30.442","0.435","3","72",""
"26","R_1ifk6NeVMFHGM61","standard","1","26","LP","3.49090909090909","334.339","337.842","338.343","4.004","0.501","3","75",""
"27","R_1ifk6NeVMFHGM61","standard","1","27","LP","0.661783713916415","339.344","340.017","340.487","1.143","0.47","3","78",""
"28","R_1ifk6NeVMFHGM61","standard","1","28","LP","30","341.498","371.504","371.943","30.445","0.439","3","81",""
"29","R_1ifk6NeVMFHGM61","standard","1","29","LP","8.51632916846187","372.952","381.476","381.895","8.943","0.419","3","84",""
"30","R_1ifk6NeVMFHGM61","standard","1","30","LP","13.0392072382594","382.906","395.948","396.287","13.381","0.339","3","87",""
"31","R_1ifk6NeVMFHGM61","standard","1","31","LP","13.0392072382594","397.301","410.348","410.911","13.61","0.563","3","90",""
"32","R_1ifk6NeVMFHGM61","standard","1","32","LP","0.661783713916415","411.917","412.587","413.063","1.146","0.476","3","93",""
"33","R_1ifk6NeVMFHGM61","standard","1","33","LP","8.51632916846187","414.068","422.585","422.975","8.907","0.39","3","96",""
"34","R_1ifk6NeVMFHGM61","standard","1","34","LP","5.5010771219302","423.987","429.505","429.903","5.916","0.398","3","99",""
"35","R_1ifk6NeVMFHGM61","standard","1","35","LP","19.8235243429556","430.909","450.735","451.191","20.282","0.456","3","102",""
"36","R_1ifk6NeVMFHGM61","standard","1","36","LP","8.51632916846187","452.197","460.718","461.103","8.906","0.385","3","105",""
"37","R_1ifk6NeVMFHGM61","standard","1","37","LP","30","462.122","492.136","492.512","30.39","0.376","3","108",""
"38","R_1ifk6NeVMFHGM61","standard","1","38","LP","30","493.515","523.521","523.912","30.397","0.391","3","111",""
"39","R_1ifk6NeVMFHGM61","standard","1","39","LP","8.51632916846187","524.928","533.452","534.08","9.152","0.628","3","114",""
"40","R_1ifk6NeVMFHGM61","standard","1","40","LP","13.0392072382594","535.084","548.129","548.577","13.493","0.448","3","117",""
"41","R_1ifk6NeVMFHGM61","standard","1","41","LP","8.51632916846187","549.588","558.11","558.544","8.956","0.434","3","120",""
"42","R_1ifk6NeVMFHGM61","standard","1","42","LP","13.0392072382594","559.548","572.593","573.328","13.78","0.735","3","120","12669"
"43","R_1ifk6NeVMFHGM61","standard","1","43","LP","19.8235243429556","574.335","594.165","594.689","20.354","0.524","3","123",""
"44","R_1ifk6NeVMFHGM61","standard","1","44","LP","3.49090909090909","595.692","599.204","599.728","4.036","0.524","3","126",""
"45","R_1ifk6NeVMFHGM61","standard","1","45","LP","13.0392072382594","600.73","613.787","614.224","13.494","0.437","3","129",""
"46","R_1ifk6NeVMFHGM61","standard","1","46","LP","2.15079707022835","615.228","617.38","618.128","2.9","0.748","3","132",""
"47","R_1ifk6NeVMFHGM61","standard","1","47","LP","5.5010771219302","619.138","624.644","625.12","5.982","0.476","3","135",""
"48","R_1ifk6NeVMFHGM61","standard","1","48","LP","5.5010771219302","626.132","631.636","632.2","6.068","0.564","3","138",""
"49","R_1ifk6NeVMFHGM61","standard","1","49","LP","0.661783713916415","633.209","633.876","634.337","1.128","0.461","3","141",""
"50","R_1ifk6NeVMFHGM61","standard","1","50","LP","2.15079707022835","635.34","637.506","637.912","2.572","0.406","3","141","540"
"51","R_1ifk6NeVMFHGM61","standard","1","51","LP","0.661783713916415","638.929","639.598","639.928","0.999","0.33","3","144",""
"52","R_1ifk6NeVMFHGM61","standard","1","52","LP","30","640.936","670.945","671.361","30.425","0.416","3","147",""
"53","R_1ifk6NeVMFHGM61","standard","1","53","LP","0.264713485566566","672.364","672.628","673.177","0.813","0.549","3","150",""
"54","R_1ifk6NeVMFHGM61","standard","1","54","LP","1.25738905644119","674.19","675.452","676.024","1.834","0.572","3","153",""
"55","R_1ifk6NeVMFHGM61","standard","1","55","LP","5.5010771219302","677.029","682.54","682.977","5.948","0.437","3","156",""
