"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1juXZ7Duf2Pc7fS","standard","1","1","HP","18","0.001","18.005","18.334","18.333","0.329","3","3",""
"2","R_1juXZ7Duf2Pc7fS","standard","1","2","HP","10","19.341","29.35","29.705","10.364","0.355","3","6",""
"3","R_1juXZ7Duf2Pc7fS","standard","1","3","HP","18","30.725","48.727","48.99","18.265","0.263","3","9",""
"4","R_1juXZ7Duf2Pc7fS","standard","1","4","HP","14","50.01","64.022","64.322","14.312","0.3","3","12",""
"5","R_1juXZ7Duf2Pc7fS","standard","1","5","HP","12","65.329","77.332","77.69","12.361","0.358","3","15",""
"6","R_1juXZ7Duf2Pc7fS","standard","1","6","HP","14","78.694","92.709","93.032","14.338","0.323","3","18",""
"7","R_1juXZ7Duf2Pc7fS","standard","1","7","HP","18","94.038","112.045","112.346","18.308","0.301","3","21",""
"8","R_1juXZ7Duf2Pc7fS","standard","1","8","HP","8","113.351","121.368","121.756","8.405","0.388","3","24",""
"9","R_1juXZ7Duf2Pc7fS","standard","1","9","HP","18","122.758","140.781","141.064","18.306","0.283","3","27",""
"10","R_1juXZ7Duf2Pc7fS","standard","1","10","HP","2","142.076","144.09","144.548","2.472","0.458","3","30",""
"11","R_1juXZ7Duf2Pc7fS","standard","1","11","HP","16","145.558","161.574","161.852","16.294","0.278","3","33",""
"12","R_1juXZ7Duf2Pc7fS","standard","1","12","HP","18","162.854","180.862","181.283","18.429","0.421","3","36",""
"13","R_1juXZ7Duf2Pc7fS","standard","1","13","HP","12","182.297","194.302","194.632","12.335","0.33","3","39",""
"14","R_1juXZ7Duf2Pc7fS","standard","1","14","HP","10","195.634","205.639","206","10.366","0.361","3","42",""
"15","R_1juXZ7Duf2Pc7fS","standard","1","15","HP","6","207.013","213.02","213.383","6.37","0.363","3","45",""
"16","R_1juXZ7Duf2Pc7fS","standard","1","16","HP","14","214.39","228.405","228.712","14.322","0.307","3","48",""
"17","R_1juXZ7Duf2Pc7fS","standard","1","17","HP","16","229.718","245.727","246.01","16.292","0.283","3","51",""
"18","R_1juXZ7Duf2Pc7fS","standard","1","18","HP","16","247.028","263.034","263.38","16.352","0.346","3","54",""
"19","R_1juXZ7Duf2Pc7fS","standard","1","19","HP","4","264.394","268.398","268.782","4.388","0.384","3","57",""
"20","R_1juXZ7Duf2Pc7fS","standard","1","20","HP","14","269.79","283.812","284.137","14.347","0.325","3","60",""
