"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1n75Jm5PaDrCc74","standard","1","1","LP","0.661783713916415","0.002","0.67","1.619","1.617","0.949","3","3",""
"2","R_1n75Jm5PaDrCc74","standard","1","2","LP","5.5010771219302","2.624","8.128","8.74","6.116","0.612","3","6",""
"3","R_1n75Jm5PaDrCc74","standard","1","3","LP","30","9.744","39.752","40.399","30.655","0.647","3","9",""
"4","R_1n75Jm5PaDrCc74","standard","1","4","LP","13.0392072382594","41.407","54.457","55.19","13.783","0.733","3","12",""
"5","R_1n75Jm5PaDrCc74","standard","1","5","LP","0.661783713916415","56.193","56.857","NA","1.672","NA","0","12",""
"6","R_1n75Jm5PaDrCc74","standard","1","6","LP","30","58.874","88.881","89.549","30.675","0.668","3","15",""
"7","R_1n75Jm5PaDrCc74","standard","1","7","LP","8.51632916846187","90.553","99.072","99.769","9.216","0.697","3","18",""
"8","R_1n75Jm5PaDrCc74","standard","1","8","LP","30","100.777","130.786","131.46","30.683","0.674","3","21",""
"9","R_1n75Jm5PaDrCc74","standard","1","9","LP","8.51632916846187","132.466","140.986","141.749","9.283","0.763","3","24",""
"10","R_1n75Jm5PaDrCc74","standard","1","10","LP","19.8235243429556","142.754","162.586","163.309","20.555","0.723","3","27",""
"11","R_1n75Jm5PaDrCc74","standard","1","11","LP","3.49090909090909","164.314","167.811","168.62","4.306","0.809","3","30",""
"12","R_1n75Jm5PaDrCc74","standard","1","12","LP","5.5010771219302","169.625","175.131","175.88","6.255","0.749","3","33",""
"13","R_1n75Jm5PaDrCc74","standard","1","13","LP","0.264713485566566","176.884","177.155","177.955","1.071","0.8","3","36",""
"14","R_1n75Jm5PaDrCc74","standard","1","14","LP","5.5010771219302","178.963","184.467","185.11","6.147","0.643","3","39",""
"15","R_1n75Jm5PaDrCc74","standard","1","15","LP","1.25738905644119","186.114","187.38","188.126","2.012","0.746","3","42",""
"16","R_1n75Jm5PaDrCc74","standard","1","16","LP","19.8235243429556","189.131","208.963","209.71","20.579","0.747","3","45",""
"17","R_1n75Jm5PaDrCc74","standard","1","17","LP","1.25738905644119","210.715","211.979","212.699","1.984","0.72","3","48",""
"18","R_1n75Jm5PaDrCc74","standard","1","18","LP","8.51632916846187","213.707","222.227","222.929","9.222","0.702","3","51",""
"19","R_1n75Jm5PaDrCc74","standard","1","19","LP","3.49090909090909","223.932","227.427","228.14","4.208","0.713","3","54",""
"20","R_1n75Jm5PaDrCc74","standard","1","20","LP","0.661783713916415","229.148","229.813","230.589","1.441","0.776","3","57",""
"21","R_1n75Jm5PaDrCc74","standard","1","21","LP","2.15079707022835","231.596","233.749","234.43","2.834","0.681","3","60",""
"22","R_1n75Jm5PaDrCc74","standard","1","22","LP","3.49090909090909","235.436","238.932","239.609","4.173","0.677","3","63",""
"23","R_1n75Jm5PaDrCc74","standard","1","23","LP","2.15079707022835","240.614","242.772","243.499","2.885","0.727","3","66",""
"24","R_1n75Jm5PaDrCc74","standard","1","24","LP","5.5010771219302","244.508","250.014","250.65","6.142","0.636","3","69",""
"25","R_1n75Jm5PaDrCc74","standard","1","25","LP","0.661783713916415","251.652","252.316","253.119","1.467","0.803","3","72",""
"26","R_1n75Jm5PaDrCc74","standard","1","26","LP","5.5010771219302","254.123","259.628","260.299","6.176","0.671","3","75",""
"27","R_1n75Jm5PaDrCc74","standard","1","27","LP","19.8235243429556","261.308","281.14","281.939","20.631","0.799","3","78",""
"28","R_1n75Jm5PaDrCc74","standard","1","28","LP","5.5010771219302","282.948","288.453","289.149","6.201","0.696","3","81",""
"29","R_1n75Jm5PaDrCc74","standard","1","29","LP","19.8235243429556","290.157","309.989","310.719","20.562","0.73","3","84",""
"30","R_1n75Jm5PaDrCc74","standard","1","30","LP","0.661783713916415","311.726","312.389","313.26","1.534","0.871","3","87",""
"31","R_1n75Jm5PaDrCc74","standard","1","31","LP","8.51632916846187","314.27","322.79","323.519","9.249","0.729","3","90",""
"32","R_1n75Jm5PaDrCc74","standard","1","32","LP","1.25738905644119","324.52","325.781","326.498","1.978","0.717","3","93",""
"33","R_1n75Jm5PaDrCc74","standard","1","33","LP","1.25738905644119","327.502","328.765","329.548","2.046","0.783","3","96",""
"34","R_1n75Jm5PaDrCc74","standard","1","34","LP","2.15079707022835","330.557","332.709","333.518","2.961","0.809","3","99",""
"35","R_1n75Jm5PaDrCc74","standard","1","35","LP","0.264713485566566","334.524","334.797","335.529","1.005","0.732","3","102",""
"36","R_1n75Jm5PaDrCc74","standard","1","36","LP","0.264713485566566","336.533","336.805","337.498","0.965","0.693","3","105",""
"37","R_1n75Jm5PaDrCc74","standard","1","37","LP","3.49090909090909","338.501","341.998","342.839","4.338","0.841","3","105","2487"
"38","R_1n75Jm5PaDrCc74","standard","1","38","LP","13.0392072382594","343.846","356.895","357.63","13.784","0.735","3","108",""
"39","R_1n75Jm5PaDrCc74","standard","1","39","LP","8.51632916846187","358.639","367.159","367.92","9.281","0.761","3","111",""
"40","R_1n75Jm5PaDrCc74","standard","1","40","LP","2.15079707022835","368.927","371.079","371.869","2.942","0.79","3","114",""
"41","R_1n75Jm5PaDrCc74","standard","1","41","LP","19.8235243429556","372.878","392.703","393.539","20.661","0.836","3","114","10882"
"42","R_1n75Jm5PaDrCc74","standard","1","42","LP","13.0392072382594","394.543","407.592","408.371","13.828","0.779","3","117",""
"43","R_1n75Jm5PaDrCc74","standard","1","43","LP","19.8235243429556","409.376","429.208","429.97","20.594","0.762","3","120",""
"44","R_1n75Jm5PaDrCc74","standard","1","44","LP","1.25738905644119","430.976","432.24","433.139","2.163","0.899","3","123",""
"45","R_1n75Jm5PaDrCc74","standard","1","45","LP","0.661783713916415","434.144","434.808","435.639","1.495","0.831","3","126",""
"46","R_1n75Jm5PaDrCc74","standard","1","46","LP","13.0392072382594","436.648","449.689","450.479","13.831","0.79","3","129",""
"47","R_1n75Jm5PaDrCc74","standard","1","47","LP","30","451.488","481.496","482.221","30.733","0.725","3","132",""
"48","R_1n75Jm5PaDrCc74","standard","1","48","LP","30","483.224","513.233","513.999","30.775","0.766","3","135",""
"49","R_1n75Jm5PaDrCc74","standard","1","49","LP","8.51632916846187","515.002","523.519","524.509","9.507","0.99","3","138",""
"50","R_1n75Jm5PaDrCc74","standard","1","50","LP","0.264713485566566","525.513","525.785","526.768","1.255","0.983","3","141",""
"51","R_1n75Jm5PaDrCc74","standard","1","51","LP","3.49090909090909","527.779","531.274","532.07","4.291","0.796","3","144",""
"52","R_1n75Jm5PaDrCc74","standard","1","52","LP","0.661783713916415","533.075","533.738","534.57","1.495","0.832","3","147",""
"53","R_1n75Jm5PaDrCc74","standard","1","53","LP","13.0392072382594","535.578","548.619","549.389","13.811","0.77","3","150",""
"54","R_1n75Jm5PaDrCc74","standard","1","54","LP","2.15079707022835","550.394","552.546","553.359","2.965","0.813","3","153",""
"55","R_1n75Jm5PaDrCc74","standard","1","55","LP","13.0392072382594","554.363","567.41","568.309","13.946","0.899","3","156",""
"56","R_1n75Jm5PaDrCc74","standard","1","56","LP","0.264713485566566","569.315","569.586","570.369","1.054","0.783","3","159",""
"57","R_1n75Jm5PaDrCc74","standard","1","57","LP","5.5010771219302","571.379","576.882","577.628","6.249","0.746","3","162",""
