"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1nMWsb12I7KlQSV","standard","1","1","HP","10","0.002","10.006","10.372","10.37","0.366","3","3",""
"2","R_1nMWsb12I7KlQSV","standard","1","2","HP","18","11.373","29.375","29.66","18.287","0.285","3","6",""
"3","R_1nMWsb12I7KlQSV","standard","1","3","HP","18","30.662","48.663","48.939","18.277","0.276","3","9",""
"4","R_1nMWsb12I7KlQSV","standard","1","4","HP","20","49.94","69.942","70.286","20.346","0.344","3","12",""
"5","R_1nMWsb12I7KlQSV","standard","1","5","HP","20","71.287","91.288","91.564","20.277","0.276","3","15",""
"6","R_1nMWsb12I7KlQSV","standard","1","6","HP","4","92.565","96.566","97.023","4.458","0.457","3","18",""
"7","R_1nMWsb12I7KlQSV","standard","1","7","HP","10","98.024","108.025","108.357","10.333","0.332","3","21",""
"8","R_1nMWsb12I7KlQSV","standard","1","8","HP","6","109.358","115.359","115.682","6.324","0.323","3","24",""
"9","R_1nMWsb12I7KlQSV","standard","1","9","HP","10","116.683","126.684","126.972","10.289","0.288","3","27",""
"10","R_1nMWsb12I7KlQSV","standard","1","10","HP","12","127.973","139.975","140.318","12.345","0.343","3","30",""
"11","R_1nMWsb12I7KlQSV","standard","1","11","HP","16","141.319","157.32","157.686","16.367","0.366","3","33",""
"12","R_1nMWsb12I7KlQSV","standard","1","12","HP","18","158.687","176.688","177.037","18.35","0.349","3","36",""
"13","R_1nMWsb12I7KlQSV","standard","1","13","HP","6","178.039","184.04","184.396","6.357","0.356","3","39",""
"14","R_1nMWsb12I7KlQSV","standard","1","14","HP","18","185.397","203.399","203.675","18.278","0.276","3","42",""
"15","R_1nMWsb12I7KlQSV","standard","1","15","HP","2","204.676","206.678","207.007","2.331","0.329","3","45",""
"16","R_1nMWsb12I7KlQSV","standard","1","16","HP","8","208.008","216.01","216.415","8.407","0.405","3","48",""
"17","R_1nMWsb12I7KlQSV","standard","1","17","HP","2","217.415","219.416","219.743","2.328","0.327","3","51",""
"18","R_1nMWsb12I7KlQSV","standard","1","18","HP","18","220.744","238.745","239.089","18.345","0.344","3","54",""
"19","R_1nMWsb12I7KlQSV","standard","1","19","HP","20","240.09","260.091","260.453","20.363","0.362","3","57",""
"20","R_1nMWsb12I7KlQSV","standard","1","20","HP","20","261.454","281.456","281.835","20.381","0.379","3","60",""
"21","R_1nMWsb12I7KlQSV","standard","1","21","HP","18","282.836","300.837","301.177","18.341","0.34","3","63",""
"22","R_1nMWsb12I7KlQSV","standard","1","22","HP","6","302.178","308.179","308.517","6.339","0.338","3","66",""
"23","R_1nMWsb12I7KlQSV","standard","1","23","HP","16","309.517","325.518","325.827","16.31","0.309","3","69",""
"24","R_1nMWsb12I7KlQSV","standard","1","24","HP","16","326.827","342.828","343.239","16.412","0.411","3","72",""
"25","R_1nMWsb12I7KlQSV","standard","1","25","HP","16","344.24","360.241","360.588","16.348","0.347","3","75",""
"26","R_1nMWsb12I7KlQSV","standard","1","26","HP","10","361.59","371.59","372.015","10.425","0.425","3","78",""
"27","R_1nMWsb12I7KlQSV","standard","1","27","HP","12","373.016","385.017","385.381","12.365","0.364","3","81",""
"28","R_1nMWsb12I7KlQSV","standard","1","28","HP","20","386.382","406.383","406.777","20.395","0.394","3","84",""
"29","R_1nMWsb12I7KlQSV","standard","1","29","HP","4","407.778","411.779","412.135","4.357","0.356","3","87",""
"30","R_1nMWsb12I7KlQSV","standard","1","30","HP","14","413.136","427.137","427.484","14.348","0.347","3","90",""
"31","R_1nMWsb12I7KlQSV","standard","1","31","HP","10","428.485","438.486","438.887","10.402","0.401","3","93",""
"32","R_1nMWsb12I7KlQSV","standard","1","32","HP","12","439.888","451.889","452.308","12.42","0.419","3","96",""
"33","R_1nMWsb12I7KlQSV","standard","1","33","HP","20","453.309","473.31","473.617","20.308","0.307","3","99",""
"34","R_1nMWsb12I7KlQSV","standard","1","34","HP","10","474.619","484.619","484.942","10.323","0.323","3","102",""
"35","R_1nMWsb12I7KlQSV","standard","1","35","HP","10","485.943","495.944","496.34","10.397","0.396","3","105",""
"36","R_1nMWsb12I7KlQSV","standard","1","36","HP","14","497.341","511.342","511.703","14.362","0.361","3","108",""
"37","R_1nMWsb12I7KlQSV","standard","1","37","HP","20","512.706","532.706","533.013","20.307","0.307","3","111",""
"38","R_1nMWsb12I7KlQSV","standard","1","38","HP","18","534.016","552.017","552.369","18.353","0.352","3","114",""
"39","R_1nMWsb12I7KlQSV","standard","1","39","HP","2","553.37","555.371","555.822","2.452","0.451","3","117",""
"40","R_1nMWsb12I7KlQSV","standard","1","40","HP","6","556.823","562.824","563.21","6.387","0.386","3","120",""
"41","R_1nMWsb12I7KlQSV","standard","1","41","HP","12","564.211","576.211","576.542","12.331","0.331","3","123",""
"42","R_1nMWsb12I7KlQSV","standard","1","42","HP","4","577.543","581.543","581.869","4.326","0.326","3","126",""
"43","R_1nMWsb12I7KlQSV","standard","1","43","HP","8","582.87","590.871","591.309","8.439","0.438","3","129",""
"44","R_1nMWsb12I7KlQSV","standard","1","44","HP","8","592.31","600.311","600.675","8.365","0.364","3","132",""
"45","R_1nMWsb12I7KlQSV","standard","1","45","HP","12","601.676","613.677","614.175","12.499","0.498","3","135",""
"46","R_1nMWsb12I7KlQSV","standard","1","46","HP","18","615.176","633.178","633.545","18.369","0.367","3","138",""
"47","R_1nMWsb12I7KlQSV","standard","1","47","HP","6","634.546","640.547","640.961","6.415","0.414","3","141",""
"48","R_1nMWsb12I7KlQSV","standard","1","48","HP","8","641.962","649.964","650.44","8.478","0.476","3","144",""
"49","R_1nMWsb12I7KlQSV","standard","1","49","HP","12","651.441","663.442","663.843","12.402","0.401","3","147",""
"50","R_1nMWsb12I7KlQSV","standard","1","50","HP","20","664.844","684.846","685.198","20.354","0.352","3","150",""
"51","R_1nMWsb12I7KlQSV","standard","1","51","HP","16","686.199","702.2","702.569","16.37","0.369","3","153",""
"52","R_1nMWsb12I7KlQSV","standard","1","52","HP","14","703.571","717.572","717.912","14.341","0.34","3","156",""
"53","R_1nMWsb12I7KlQSV","standard","1","53","HP","4","718.913","722.914","723.393","4.48","0.479","3","159",""
"54","R_1nMWsb12I7KlQSV","standard","1","54","HP","16","724.394","740.395","740.762","16.368","0.367","3","162",""
"55","R_1nMWsb12I7KlQSV","standard","1","55","HP","16","741.763","757.769","758.35","16.587","0.581","3","162","13947"
"56","R_1nMWsb12I7KlQSV","standard","1","56","HP","12","759.351","771.352","771.624","12.273","0.272","3","165",""
"57","R_1nMWsb12I7KlQSV","standard","1","57","HP","4","772.625","776.626","777.026","4.401","0.4","3","168",""
"58","R_1nMWsb12I7KlQSV","standard","1","58","HP","16","778.027","794.028","794.412","16.385","0.384","3","171",""
"59","R_1nMWsb12I7KlQSV","standard","1","59","HP","8","795.412","803.413","803.782","8.37","0.369","3","174",""
"60","R_1nMWsb12I7KlQSV","standard","1","60","HP","16","804.784","820.784","821.194","16.41","0.41","3","177",""
"61","R_1nMWsb12I7KlQSV","standard","1","61","HP","20","822.195","842.196","NA","21.004","NA","0","177",""
"62","R_1nMWsb12I7KlQSV","standard","1","62","HP","14","844.2","858.201","858.539","14.339","0.338","3","180",""
"63","R_1nMWsb12I7KlQSV","standard","1","63","HP","6","859.54","865.541","865.847","6.307","0.306","3","183",""
"64","R_1nMWsb12I7KlQSV","standard","1","64","HP","20","866.848","886.849","887.138","20.29","0.289","3","186",""
"65","R_1nMWsb12I7KlQSV","standard","1","65","HP","4","888.139","892.14","892.454","4.315","0.314","3","189",""
"66","R_1nMWsb12I7KlQSV","standard","1","66","HP","4","893.455","897.456","897.797","4.342","0.341","3","192",""
"67","R_1nMWsb12I7KlQSV","standard","2","1","LP","0.661783713916415","0","0.662","1.544","1.544","0.882","3","195",NA
"68","R_1nMWsb12I7KlQSV","standard","2","2","LP","3.49090909090909","2.544","6.036","6.423","3.879","0.387","3","198",NA
"69","R_1nMWsb12I7KlQSV","standard","2","3","LP","19.8235243429556","7.424","27.247","27.58","20.156","0.333","3","201",NA
