"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1nTLL6t2FEgJfL7","standard","1","1","HP","2","0.002","2.003","2.777","2.775","0.774","3","3",""
"2","R_1nTLL6t2FEgJfL7","standard","1","2","HP","8","3.801","11.812","12.627","8.826","0.815","3","6",""
"3","R_1nTLL6t2FEgJfL7","standard","1","3","HP","6","13.635","19.642","20.431","6.796","0.789","3","9",""
"4","R_1nTLL6t2FEgJfL7","standard","1","4","HP","12","21.433","33.435","34.182","12.749","0.747","3","12",""
"5","R_1nTLL6t2FEgJfL7","standard","1","5","HP","10","35.199","45.213","45.965","10.766","0.752","3","15",""
"6","R_1nTLL6t2FEgJfL7","standard","1","6","HP","4","46.979","50.998","51.825","4.846","0.827","3","18",""
"7","R_1nTLL6t2FEgJfL7","standard","1","7","HP","20","52.827","72.846","73.766","20.939","0.92","3","21",""
"8","R_1nTLL6t2FEgJfL7","standard","1","8","HP","10","74.779","84.792","85.574","10.795","0.782","3","24",""
"9","R_1nTLL6t2FEgJfL7","standard","1","9","HP","10","86.58","96.592","97.347","10.767","0.755","3","27",""
"10","R_1nTLL6t2FEgJfL7","standard","1","10","HP","10","98.363","108.379","109.321","10.958","0.942","3","30",""
"11","R_1nTLL6t2FEgJfL7","standard","1","11","HP","8","110.323","118.328","119.054","8.731","0.726","3","33",""
"12","R_1nTLL6t2FEgJfL7","standard","1","12","HP","16","120.059","136.076","136.894","16.835","0.818","3","36",""
"13","R_1nTLL6t2FEgJfL7","standard","1","13","HP","20","137.907","157.914","158.692","20.785","0.778","3","39",""
"14","R_1nTLL6t2FEgJfL7","standard","1","14","HP","12","159.707","171.709","172.387","12.68","0.678","3","42",""
"15","R_1nTLL6t2FEgJfL7","standard","1","15","HP","18","173.394","191.403","192.139","18.745","0.736","3","45",""
"16","R_1nTLL6t2FEgJfL7","standard","1","16","HP","18","193.14","211.142","211.961","18.821","0.819","3","48",""
"17","R_1nTLL6t2FEgJfL7","standard","1","17","HP","6","212.969","218.991","219.729","6.76","0.738","3","51",""
"18","R_1nTLL6t2FEgJfL7","standard","1","18","HP","2","220.732","222.74","223.47","2.738","0.73","3","54",""
"19","R_1nTLL6t2FEgJfL7","standard","1","19","HP","20","224.485","244.492","245.327","20.842","0.835","3","57",""
"20","R_1nTLL6t2FEgJfL7","standard","1","20","HP","4","246.331","250.339","251.163","4.832","0.824","3","60",""
"21","R_1nTLL6t2FEgJfL7","standard","1","21","HP","12","252.17","264.189","265.101","12.931","0.912","3","63",""
"22","R_1nTLL6t2FEgJfL7","standard","1","22","HP","4","266.106","270.121","270.856","4.75","0.735","3","66",""
"23","R_1nTLL6t2FEgJfL7","standard","1","23","HP","20","271.871","291.902","292.687","20.816","0.785","3","69",""
"24","R_1nTLL6t2FEgJfL7","standard","1","24","HP","12","293.7","305.717","306.449","12.749","0.732","3","72",""
"25","R_1nTLL6t2FEgJfL7","standard","1","25","HP","6","307.451","313.47","314.166","6.715","0.696","3","75",""
"26","R_1nTLL6t2FEgJfL7","standard","1","26","HP","2","315.171","317.187","317.961","2.79","0.774","3","78",""
"27","R_1nTLL6t2FEgJfL7","standard","1","27","HP","20","318.963","338.97","339.714","20.751","0.744","3","81",""
"28","R_1nTLL6t2FEgJfL7","standard","1","28","HP","12","340.715","352.719","353.499","12.784","0.78","3","84",""
"29","R_1nTLL6t2FEgJfL7","standard","1","29","HP","4","354.517","358.52","359.261","4.744","0.741","3","87",""
"30","R_1nTLL6t2FEgJfL7","standard","1","30","HP","16","360.267","376.275","377.083","16.816","0.808","3","90",""
"31","R_1nTLL6t2FEgJfL7","standard","1","31","HP","2","378.085","380.1","380.834","2.749","0.734","3","93",""
"32","R_1nTLL6t2FEgJfL7","standard","1","32","HP","10","381.835","391.836","392.609","10.774","0.773","3","96",""
"33","R_1nTLL6t2FEgJfL7","standard","1","33","HP","4","393.612","397.618","398.386","4.774","0.768","3","99",""
"34","R_1nTLL6t2FEgJfL7","standard","1","34","HP","10","399.388","409.395","410.084","10.696","0.689","3","102",""
"35","R_1nTLL6t2FEgJfL7","standard","1","35","HP","18","411.095","429.114","429.816","18.721","0.702","3","105",""
"36","R_1nTLL6t2FEgJfL7","standard","1","36","HP","20","430.817","450.82","451.612","20.795","0.792","3","108",""
"37","R_1nTLL6t2FEgJfL7","standard","1","37","HP","12","452.613","464.613","465.401","12.788","0.788","3","111",""
"38","R_1nTLL6t2FEgJfL7","standard","1","38","HP","18","466.422","484.427","485.133","18.711","0.706","3","114",""
"39","R_1nTLL6t2FEgJfL7","standard","1","39","HP","10","486.14","496.147","496.892","10.752","0.745","3","117",""
"40","R_1nTLL6t2FEgJfL7","standard","1","40","HP","4","497.91","501.913","502.735","4.825","0.822","3","120",""
"41","R_1nTLL6t2FEgJfL7","standard","1","41","HP","6","503.735","509.74","510.541","6.806","0.801","3","123",""
"42","R_1nTLL6t2FEgJfL7","standard","1","42","HP","4","511.547","515.554","516.327","4.78","0.773","3","126",""
"43","R_1nTLL6t2FEgJfL7","standard","1","43","HP","18","517.33","535.331","NA","19.01","NA","0","126",""
"44","R_1nTLL6t2FEgJfL7","standard","1","44","HP","6","537.361","543.379","544.148","6.787","0.769","3","126","100"
"45","R_1nTLL6t2FEgJfL7","standard","1","45","HP","2","545.154","547.155","548.02","2.866","0.865","3","129",""
"46","R_1nTLL6t2FEgJfL7","standard","1","46","HP","14","549.031","563.036","563.927","14.896","0.891","3","132",""
"47","R_1nTLL6t2FEgJfL7","standard","1","47","HP","4","564.931","568.932","569.779","4.848","0.847","3","135",""
"48","R_1nTLL6t2FEgJfL7","standard","1","48","HP","16","570.793","586.808","587.654","16.861","0.846","3","138",""
"49","R_1nTLL6t2FEgJfL7","standard","1","49","HP","16","588.659","604.675","605.419","16.76","0.744","3","141",""
"50","R_1nTLL6t2FEgJfL7","standard","1","50","HP","6","606.419","612.419","613.165","6.746","0.746","3","144",""
"51","R_1nTLL6t2FEgJfL7","standard","1","51","HP","14","614.171","628.19","628.991","14.82","0.801","3","147",""
"52","R_1nTLL6t2FEgJfL7","standard","1","52","HP","2","630.005","632.008","632.766","2.761","0.758","3","150",""
"53","R_1nTLL6t2FEgJfL7","standard","1","53","HP","6","633.771","639.791","640.621","6.85","0.83","3","153",""
"54","R_1nTLL6t2FEgJfL7","standard","1","54","HP","16","641.625","657.627","NA","17.01","NA","0","153",""
"55","R_1nTLL6t2FEgJfL7","standard","1","55","HP","14","659.642","673.643","674.539","14.897","0.896","3","156",""
"56","R_1nTLL6t2FEgJfL7","standard","1","56","HP","14","675.542","689.547","690.296","14.754","0.749","3","159",""
"57","R_1nTLL6t2FEgJfL7","standard","1","57","HP","4","691.312","695.315","696.057","4.745","0.742","3","162",""
"58","R_1nTLL6t2FEgJfL7","standard","1","58","HP","20","697.071","717.086","NA","21.033","NA","0","162",""
"59","R_1nTLL6t2FEgJfL7","standard","1","59","HP","8","719.129","727.164","727.926","8.797","0.762","3","165",""
"60","R_1nTLL6t2FEgJfL7","standard","1","60","HP","4","728.931","732.939","733.684","4.753","0.745","3","168",""
"61","R_1nTLL6t2FEgJfL7","standard","1","61","HP","2","734.701","736.72","737.587","2.886","0.867","3","171",""
"62","R_1nTLL6t2FEgJfL7","standard","1","62","HP","6","738.602","744.605","745.333","6.731","0.728","3","174",""
"63","R_1nTLL6t2FEgJfL7","standard","1","63","HP","8","746.338","754.347","755.047","8.709","0.7","3","177",""
"64","R_1nTLL6t2FEgJfL7","standard","1","64","HP","10","756.051","766.059","766.896","10.845","0.837","3","180",""
"65","R_1nTLL6t2FEgJfL7","standard","1","65","HP","20","767.907","787.918","788.699","20.792","0.781","3","183",""
"66","R_1nTLL6t2FEgJfL7","standard","1","66","HP","4","789.718","793.721","794.459","4.741","0.738","3","186",""
