"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_1qaOiqnwJsd5iXo","standard","1","1","HP","14","0.004","14.016","14.631","14.627","0.615","3","3",""
"2","R_1qaOiqnwJsd5iXo","standard","1","2","HP","12","15.632","27.641","28.346","12.714","0.705","3","6",""
"3","R_1qaOiqnwJsd5iXo","standard","1","3","HP","6","29.358","35.361","35.99","6.632","0.629","3","9",""
"4","R_1qaOiqnwJsd5iXo","standard","1","4","HP","10","36.998","47.021","47.654","10.656","0.633","3","12",""
"5","R_1qaOiqnwJsd5iXo","standard","1","5","HP","12","48.656","60.664","61.398","12.742","0.734","3","15",""
"6","R_1qaOiqnwJsd5iXo","standard","1","6","HP","10","62.415","72.417","73.066","10.651","0.649","3","18",""
"7","R_1qaOiqnwJsd5iXo","standard","1","7","HP","14","74.081","88.099","88.866","14.785","0.767","3","21",""
"8","R_1qaOiqnwJsd5iXo","standard","1","8","HP","4","89.874","93.881","94.536","4.662","0.655","3","24",""
"9","R_1qaOiqnwJsd5iXo","standard","1","9","HP","8","95.538","103.545","104.213","8.675","0.668","3","27",""
"10","R_1qaOiqnwJsd5iXo","standard","1","10","HP","18","105.217","123.226","123.833","18.616","0.607","3","30",""
"11","R_1qaOiqnwJsd5iXo","standard","1","11","HP","12","124.842","136.851","137.565","12.723","0.714","3","33",""
"12","R_1qaOiqnwJsd5iXo","standard","1","12","HP","18","138.57","156.58","157.34","18.77","0.76","3","36",""
"13","R_1qaOiqnwJsd5iXo","standard","1","13","HP","16","158.355","174.362","175.125","16.77","0.763","3","39",""
"14","R_1qaOiqnwJsd5iXo","standard","1","14","HP","4","176.147","180.148","180.788","4.641","0.64","3","42",""
"15","R_1qaOiqnwJsd5iXo","standard","1","15","HP","2","181.796","183.804","184.483","2.687","0.679","3","45",""
"16","R_1qaOiqnwJsd5iXo","standard","1","16","HP","14","185.495","199.498","200.327","14.832","0.829","3","48",""
"17","R_1qaOiqnwJsd5iXo","standard","1","17","HP","20","201.329","221.331","222.089","20.76","0.758","3","51",""
"18","R_1qaOiqnwJsd5iXo","standard","1","18","HP","6","223.093","229.108","229.907","6.814","0.799","3","54",""
"19","R_1qaOiqnwJsd5iXo","standard","1","19","HP","14","230.916","244.923","245.624","14.708","0.701","3","57",""
"20","R_1qaOiqnwJsd5iXo","standard","1","20","HP","16","246.638","262.644","263.375","16.737","0.731","3","60",""
"21","R_1qaOiqnwJsd5iXo","standard","1","21","HP","12","264.393","276.408","277.238","12.845","0.83","3","63",""
"22","R_1qaOiqnwJsd5iXo","standard","1","22","HP","14","278.24","292.252","292.959","14.719","0.707","3","66",""
"23","R_1qaOiqnwJsd5iXo","standard","1","23","HP","6","293.971","299.991","300.678","6.707","0.687","3","69",""
"24","R_1qaOiqnwJsd5iXo","standard","1","24","HP","8","301.697","309.722","310.41","8.713","0.688","3","72",""
"25","R_1qaOiqnwJsd5iXo","standard","1","25","HP","16","311.412","327.414","328.155","16.743","0.741","3","75",""
"26","R_1qaOiqnwJsd5iXo","standard","1","26","HP","6","329.161","335.163","335.914","6.753","0.751","3","78",""
"27","R_1qaOiqnwJsd5iXo","standard","1","27","HP","12","336.932","348.94","NA","13.011","NA","0","78",""
"28","R_1qaOiqnwJsd5iXo","standard","1","28","HP","4","350.947","354.956","355.606","4.659","0.65","3","81",""
"29","R_1qaOiqnwJsd5iXo","standard","1","29","HP","8","356.622","364.624","365.288","8.666","0.664","3","84",""
"30","R_1qaOiqnwJsd5iXo","standard","1","30","HP","4","366.32","370.323","370.974","4.654","0.651","3","87",""
"31","R_1qaOiqnwJsd5iXo","standard","1","31","HP","8","372.01","380.026","380.682","8.672","0.656","3","90",""
"32","R_1qaOiqnwJsd5iXo","standard","1","32","HP","12","381.691","393.713","394.331","12.64","0.618","3","93",""
"33","R_1qaOiqnwJsd5iXo","standard","1","33","HP","8","395.333","403.338","404.028","8.695","0.69","3","96",""
"34","R_1qaOiqnwJsd5iXo","standard","1","34","HP","18","405.028","423.036","423.672","18.644","0.636","3","99",""
"35","R_1qaOiqnwJsd5iXo","standard","1","35","HP","6","424.676","430.684","431.325","6.649","0.641","3","102",""
"36","R_1qaOiqnwJsd5iXo","standard","1","36","HP","8","432.333","440.339","441.065","8.732","0.726","3","105",""
"37","R_1qaOiqnwJsd5iXo","standard","1","37","HP","8","442.068","450.087","450.76","8.692","0.673","3","108",""
"38","R_1qaOiqnwJsd5iXo","standard","1","38","HP","12","451.765","463.788","464.445","12.68","0.657","3","111",""
"39","R_1qaOiqnwJsd5iXo","standard","1","39","HP","6","465.452","471.46","472.237","6.785","0.777","3","114",""
"40","R_1qaOiqnwJsd5iXo","standard","1","40","HP","16","473.245","489.252","489.902","16.657","0.65","3","117",""
"41","R_1qaOiqnwJsd5iXo","standard","1","41","HP","8","490.932","498.932","499.563","8.631","0.631","3","120",""
"42","R_1qaOiqnwJsd5iXo","standard","1","42","HP","2","500.597","502.605","503.239","2.642","0.634","3","123",""
