"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_21gG1tW9TlSErH8","standard","1","1","HP","4","0.001","4.01","4.398","4.397","0.388","3","3",""
"2","R_21gG1tW9TlSErH8","standard","1","2","HP","4","5.409","9.421","9.799","4.39","0.378","3","6",""
"3","R_21gG1tW9TlSErH8","standard","1","3","HP","2","10.803","12.812","13.391","2.588","0.579","3","9",""
"4","R_21gG1tW9TlSErH8","standard","1","4","HP","20","14.4","34.403","34.794","20.394","0.391","3","12",""
"5","R_21gG1tW9TlSErH8","standard","1","5","HP","10","35.803","45.803","46.275","10.472","0.472","3","15",""
"6","R_21gG1tW9TlSErH8","standard","1","6","HP","6","47.295","53.3","53.78","6.485","0.48","3","18",""
"7","R_21gG1tW9TlSErH8","standard","1","7","HP","8","54.798","62.804","63.254","8.456","0.45","3","21",""
"8","R_21gG1tW9TlSErH8","standard","1","8","HP","12","64.26","76.268","76.951","12.691","0.683","3","24",""
"9","R_21gG1tW9TlSErH8","standard","1","9","HP","18","77.956","95.965","96.642","18.686","0.677","3","27",""
"10","R_21gG1tW9TlSErH8","standard","1","10","HP","2","97.647","99.664","100.394","2.747","0.73","3","30",""
"11","R_21gG1tW9TlSErH8","standard","1","11","HP","8","101.396","109.413","109.843","8.447","0.43","3","33",""
"12","R_21gG1tW9TlSErH8","standard","1","12","HP","10","110.859","120.86","121.277","10.418","0.417","3","36",""
"13","R_21gG1tW9TlSErH8","standard","1","13","HP","14","122.292","136.307","136.902","14.61","0.595","3","39",""
"14","R_21gG1tW9TlSErH8","standard","1","14","HP","16","137.918","153.926","154.368","16.45","0.442","3","42",""
"15","R_21gG1tW9TlSErH8","standard","1","15","HP","6","155.372","161.38","162.281","6.909","0.901","3","45",""
"16","R_21gG1tW9TlSErH8","standard","1","16","HP","4","163.29","167.293","167.826","4.536","0.533","3","48",""
"17","R_21gG1tW9TlSErH8","standard","1","17","HP","8","168.838","176.84","177.323","8.485","0.483","3","51",""
"18","R_21gG1tW9TlSErH8","standard","1","18","HP","8","178.337","186.34","186.748","8.411","0.408","3","54",""
"19","R_21gG1tW9TlSErH8","standard","1","19","HP","10","187.767","197.772","198.197","10.43","0.425","3","57",""
"20","R_21gG1tW9TlSErH8","standard","1","20","HP","6","199.204","205.204","205.718","6.514","0.514","3","60",""
"21","R_21gG1tW9TlSErH8","standard","1","21","HP","2","206.729","208.732","209.263","2.534","0.531","3","63",""
"22","R_21gG1tW9TlSErH8","standard","1","22","HP","16","210.279","226.284","NA","17.014","NA","0","63",""
"23","R_21gG1tW9TlSErH8","standard","1","23","HP","16","228.303","244.309","244.739","16.436","0.43","3","66",""
"24","R_21gG1tW9TlSErH8","standard","1","24","HP","8","245.741","253.759","254.22","8.479","0.461","3","69",""
"25","R_21gG1tW9TlSErH8","standard","1","25","HP","20","255.22","275.221","275.75","20.53","0.529","3","72",""
"26","R_21gG1tW9TlSErH8","standard","1","26","HP","4","276.757","280.764","281.191","4.434","0.427","3","75",""
"27","R_21gG1tW9TlSErH8","standard","1","27","HP","8","282.196","290.204","291.032","8.836","0.828","3","78",""
"28","R_21gG1tW9TlSErH8","standard","1","28","HP","20","292.044","312.051","312.467","20.423","0.416","3","81",""
