"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_25X92ADcKK2z4QC","standard","1","1","LP","1.25738905644119","0.005","1.263","1.978","1.973","0.715","3","3",""
"2","R_25X92ADcKK2z4QC","standard","1","2","LP","5.5010771219302","2.983","8.493","9.109","6.126","0.616","3","6",""
"3","R_25X92ADcKK2z4QC","standard","1","3","LP","3.49090909090909","10.128","13.624","14.277","4.149","0.653","3","9",""
"4","R_25X92ADcKK2z4QC","standard","1","4","LP","3.49090909090909","15.292","18.792","19.475","4.183","0.683","3","12",""
"5","R_25X92ADcKK2z4QC","standard","1","5","LP","19.8235243429556","20.492","40.325","41.011","20.519","0.686","3","15",""
"6","R_25X92ADcKK2z4QC","standard","1","6","LP","19.8235243429556","42.015","61.839","62.506","20.491","0.667","3","18",""
"7","R_25X92ADcKK2z4QC","standard","1","7","LP","1.25738905644119","63.528","64.791","65.576","2.048","0.785","3","21",""
"8","R_25X92ADcKK2z4QC","standard","1","8","LP","2.15079707022835","66.592","68.752","69.482","2.89","0.73","3","24",""
"9","R_25X92ADcKK2z4QC","standard","1","9","LP","19.8235243429556","70.49","90.322","91.037","20.547","0.715","3","27",""
"10","R_25X92ADcKK2z4QC","standard","1","10","LP","0.661783713916415","92.04","92.705","NA","1.684","NA","0","27",""
"11","R_25X92ADcKK2z4QC","standard","1","11","LP","1.25738905644119","94.726","95.991","96.857","2.131","0.866","3","30",""
"12","R_25X92ADcKK2z4QC","standard","1","12","LP","3.49090909090909","97.864","101.361","102.059","4.195","0.698","3","33",""
"13","R_25X92ADcKK2z4QC","standard","1","13","LP","13.0392072382594","103.073","116.123","116.762","13.689","0.639","3","36",""
"14","R_25X92ADcKK2z4QC","standard","1","14","LP","8.51632916846187","117.768","126.29","126.991","9.223","0.701","3","39",""
"15","R_25X92ADcKK2z4QC","standard","1","15","LP","30","128.005","158.021","158.672","30.667","0.651","3","42",""
"16","R_25X92ADcKK2z4QC","standard","1","16","LP","13.0392072382594","159.688","172.729","173.389","13.701","0.66","3","45",""
"17","R_25X92ADcKK2z4QC","standard","1","17","LP","1.25738905644119","174.421","175.688","176.367","1.946","0.679","3","48",""
"18","R_25X92ADcKK2z4QC","standard","1","18","LP","0.661783713916415","177.37","178.034","178.798","1.428","0.764","3","51",""
"19","R_25X92ADcKK2z4QC","standard","1","19","LP","13.0392072382594","179.804","192.849","193.528","13.724","0.679","3","54",""
"20","R_25X92ADcKK2z4QC","standard","1","20","LP","0.264713485566566","194.53","194.804","195.473","0.943","0.669","3","57",""
"21","R_25X92ADcKK2z4QC","standard","1","21","LP","3.49090909090909","196.503","200.004","200.808","4.305","0.804","3","60",""
"22","R_25X92ADcKK2z4QC","standard","1","22","LP","19.8235243429556","201.82","221.648","222.359","20.539","0.711","3","63",""
"23","R_25X92ADcKK2z4QC","standard","1","23","LP","1.25738905644119","223.362","224.62","225.335","1.973","0.715","3","66",""
"24","R_25X92ADcKK2z4QC","standard","1","24","LP","3.49090909090909","226.337","229.833","230.57","4.233","0.737","3","69",""
"25","R_25X92ADcKK2z4QC","standard","1","25","LP","3.49090909090909","231.576","235.086","235.8","4.224","0.714","3","72",""
"26","R_25X92ADcKK2z4QC","standard","1","26","LP","13.0392072382594","236.817","249.864","250.501","13.684","0.637","3","75",""
"27","R_25X92ADcKK2z4QC","standard","1","27","LP","8.51632916846187","251.517","260.035","260.729","9.212","0.694","3","78",""
"28","R_25X92ADcKK2z4QC","standard","1","28","LP","19.8235243429556","261.734","281.561","282.451","20.717","0.89","3","81",""
"29","R_25X92ADcKK2z4QC","standard","1","29","LP","0.661783713916415","283.458","284.122","NA","1.672","NA","0","81",""
"30","R_25X92ADcKK2z4QC","standard","1","30","LP","5.5010771219302","286.138","291.642","292.455","6.317","0.813","3","84",""
"31","R_25X92ADcKK2z4QC","standard","1","31","LP","30","293.458","323.465","324.083","30.625","0.618","3","87",""
"32","R_25X92ADcKK2z4QC","standard","1","32","LP","19.8235243429556","325.098","344.93","345.696","20.598","0.766","3","90",""
"33","R_25X92ADcKK2z4QC","standard","1","33","LP","30","346.712","376.715","377.357","30.645","0.642","3","93",""
"34","R_25X92ADcKK2z4QC","standard","1","34","LP","19.8235243429556","378.415","398.243","398.95","20.535","0.707","3","96",""
"35","R_25X92ADcKK2z4QC","standard","1","35","LP","3.49090909090909","399.953","403.45","404.167","4.214","0.717","3","99",""
"36","R_25X92ADcKK2z4QC","standard","1","36","LP","8.51632916846187","405.17","413.758","414.519","9.349","0.761","3","102",""
"37","R_25X92ADcKK2z4QC","standard","1","37","LP","3.49090909090909","415.523","419.013","419.969","4.446","0.956","3","105",""
"38","R_25X92ADcKK2z4QC","standard","1","38","LP","19.8235243429556","420.971","440.812","441.51","20.539","0.698","3","108",""
"39","R_25X92ADcKK2z4QC","standard","1","39","LP","13.0392072382594","442.53","455.571","456.254","13.724","0.683","3","111",""
"40","R_25X92ADcKK2z4QC","standard","1","40","LP","0.264713485566566","457.259","457.528","458.298","1.039","0.77","3","114",""
"41","R_25X92ADcKK2z4QC","standard","1","41","LP","30","459.31","489.313","490.01","30.7","0.697","3","114","11870"
"42","R_25X92ADcKK2z4QC","standard","1","42","LP","8.51632916846187","491.03","499.555","500.31","9.28","0.755","3","117",""
"43","R_25X92ADcKK2z4QC","standard","1","43","LP","30","501.329","531.331","532.022","30.693","0.691","3","120",""
"44","R_25X92ADcKK2z4QC","standard","1","44","LP","3.49090909090909","533.028","536.524","537.308","4.28","0.784","3","123",""
"45","R_25X92ADcKK2z4QC","standard","1","45","LP","5.5010771219302","538.326","543.835","544.761","6.435","0.926","3","126",""
"46","R_25X92ADcKK2z4QC","standard","1","46","LP","3.49090909090909","545.763","549.258","550.06","4.297","0.802","3","129",""
"47","R_25X92ADcKK2z4QC","standard","1","47","LP","8.51632916846187","551.075","559.609","560.324","9.249","0.715","3","132",""
"48","R_25X92ADcKK2z4QC","standard","1","48","LP","8.51632916846187","561.326","569.851","570.489","9.163","0.638","3","135",""
"49","R_25X92ADcKK2z4QC","standard","1","49","LP","19.8235243429556","571.506","591.331","592.053","20.547","0.722","3","138",""
"50","R_25X92ADcKK2z4QC","standard","1","50","LP","2.15079707022835","593.058","595.222","595.94","2.882","0.718","3","141",""
"51","R_25X92ADcKK2z4QC","standard","1","51","LP","5.5010771219302","596.941","602.442","603.168","6.227","0.726","3","144",""
"52","R_25X92ADcKK2z4QC","standard","1","52","LP","1.25738905644119","604.189","605.451","606.149","1.96","0.698","3","147",""
"53","R_25X92ADcKK2z4QC","standard","1","53","LP","13.0392072382594","607.157","620.205","620.93","13.773","0.725","3","150",""
