"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_272LzGG1LoOL3K6","standard","1","1","HP","8","0.001","8.012","8.726","8.725","0.714","3","3",""
"2","R_272LzGG1LoOL3K6","standard","1","2","HP","18","9.737","27.743","28.211","18.474","0.468","3","6",""
"3","R_272LzGG1LoOL3K6","standard","1","3","HP","8","29.213","37.226","37.767","8.554","0.541","3","9",""
"4","R_272LzGG1LoOL3K6","standard","1","4","HP","4","38.776","42.792","43.747","4.971","0.955","3","12",""
"5","R_272LzGG1LoOL3K6","standard","1","5","HP","18","44.752","62.767","63.147","18.395","0.38","3","15",""
"6","R_272LzGG1LoOL3K6","standard","1","6","HP","14","64.151","78.17","78.662","14.511","0.492","3","18",""
"7","R_272LzGG1LoOL3K6","standard","1","7","HP","20","79.677","99.691","100.053","20.376","0.362","3","21",""
"8","R_272LzGG1LoOL3K6","standard","1","8","HP","18","101.066","119.07","119.493","18.427","0.423","3","24",""
"9","R_272LzGG1LoOL3K6","standard","1","9","HP","16","120.512","136.514","137.083","16.571","0.569","3","27",""
"10","R_272LzGG1LoOL3K6","standard","1","10","HP","10","138.087","148.102","148.647","10.56","0.545","3","30",""
"11","R_272LzGG1LoOL3K6","standard","1","11","HP","18","149.668","167.672","168.263","18.595","0.591","3","33",""
"12","R_272LzGG1LoOL3K6","standard","1","12","HP","4","169.28","173.295","173.983","4.703","0.688","3","36",""
"13","R_272LzGG1LoOL3K6","standard","1","13","HP","12","174.992","186.998","187.536","12.544","0.538","3","39",""
"14","R_272LzGG1LoOL3K6","standard","1","14","HP","8","188.545","196.554","197.098","8.553","0.544","3","42",""
"15","R_272LzGG1LoOL3K6","standard","1","15","HP","18","198.102","216.119","216.576","18.474","0.457","3","45",""
"16","R_272LzGG1LoOL3K6","standard","1","16","HP","6","217.584","223.595","224.081","6.497","0.486","3","48",""
"17","R_272LzGG1LoOL3K6","standard","1","17","HP","14","225.095","239.098","239.658","14.563","0.56","3","51",""
"18","R_272LzGG1LoOL3K6","standard","1","18","HP","14","240.669","254.681","255.332","14.663","0.651","3","54",""
"19","R_272LzGG1LoOL3K6","standard","1","19","HP","8","256.336","264.345","264.93","8.594","0.585","3","57",""
"20","R_272LzGG1LoOL3K6","standard","1","20","HP","16","265.936","281.944","282.367","16.431","0.423","3","60",""
"21","R_272LzGG1LoOL3K6","standard","1","21","HP","8","283.377","291.387","291.911","8.534","0.524","3","63",""
"22","R_272LzGG1LoOL3K6","standard","1","22","HP","18","292.912","310.917","311.518","18.606","0.601","3","66",""
"23","R_272LzGG1LoOL3K6","standard","1","23","HP","18","312.53","330.539","331.093","18.563","0.554","3","69",""
"24","R_272LzGG1LoOL3K6","standard","1","24","HP","14","332.106","346.123","346.607","14.501","0.484","3","72",""
"25","R_272LzGG1LoOL3K6","standard","1","25","HP","14","347.608","361.61","362.142","14.534","0.532","3","75",""
"26","R_272LzGG1LoOL3K6","standard","1","26","HP","2","363.159","365.163","365.864","2.705","0.701","3","78",""
