"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_28ZGm4MlskSk3tH","standard","1","1","HP","20","0","20.002","20.432","20.432","0.43","3","3",""
"2","R_28ZGm4MlskSk3tH","standard","1","2","HP","16","21.434","37.434","37.809","16.375","0.375","3","6",""
"3","R_28ZGm4MlskSk3tH","standard","1","3","HP","20","38.809","58.81","59.259","20.45","0.449","3","9",""
"4","R_28ZGm4MlskSk3tH","standard","1","4","HP","12","60.26","72.262","NA","13.003","NA","0","9",""
"5","R_28ZGm4MlskSk3tH","standard","1","5","HP","8","74.264","82.265","82.966","8.702","0.701","3","12",""
"6","R_28ZGm4MlskSk3tH","standard","1","6","HP","2","83.968","85.969","NA","3.002","NA","0","12",""
"7","R_28ZGm4MlskSk3tH","standard","1","7","HP","4","87.972","91.973","NA","5.002","NA","0","12",""
"8","R_28ZGm4MlskSk3tH","standard","1","8","HP","10","93.975","103.976","104.584","10.609","0.608","3","15",""
"9","R_28ZGm4MlskSk3tH","standard","1","9","HP","6","105.585","111.586","112.169","6.584","0.583","3","18",""
"10","R_28ZGm4MlskSk3tH","standard","1","10","HP","16","113.17","129.171","129.643","16.473","0.472","3","21",""
"11","R_28ZGm4MlskSk3tH","standard","1","11","HP","20","130.644","150.646","151.177","20.533","0.531","3","24",""
"12","R_28ZGm4MlskSk3tH","standard","1","12","HP","14","152.178","166.179","166.713","14.535","0.534","3","27",""
"13","R_28ZGm4MlskSk3tH","standard","1","13","HP","18","167.714","185.716","186.196","18.482","0.48","3","30",""
"14","R_28ZGm4MlskSk3tH","standard","1","14","HP","18","187.198","205.198","205.571","18.373","0.373","3","33",""
"15","R_28ZGm4MlskSk3tH","standard","1","15","HP","20","206.572","226.573","226.868","20.296","0.295","3","36",""
"16","R_28ZGm4MlskSk3tH","standard","1","16","HP","2","227.868","229.87","NA","3.004","NA","0","36",""
"17","R_28ZGm4MlskSk3tH","standard","1","17","HP","10","231.873","241.874","242.46","10.587","0.586","3","39",""
"18","R_28ZGm4MlskSk3tH","standard","1","18","HP","4","243.462","247.463","NA","5.003","NA","0","39",""
"19","R_28ZGm4MlskSk3tH","standard","1","19","HP","14","249.465","263.467","263.905","14.44","0.438","3","42",""
"20","R_28ZGm4MlskSk3tH","standard","1","20","HP","18","264.907","282.907","283.26","18.353","0.353","3","45",""
"21","R_28ZGm4MlskSk3tH","standard","1","21","HP","8","284.262","292.264","292.664","8.402","0.4","3","48",""
"22","R_28ZGm4MlskSk3tH","standard","1","22","HP","18","293.666","311.668","312.087","18.421","0.419","3","51",""
"23","R_28ZGm4MlskSk3tH","standard","1","23","HP","12","313.089","325.089","325.532","12.443","0.443","3","54",""
"24","R_28ZGm4MlskSk3tH","standard","1","24","HP","4","326.534","330.535","NA","5.002","NA","0","54",""
"25","R_28ZGm4MlskSk3tH","standard","1","25","HP","8","332.536","340.537","341.128","8.592","0.591","3","57",""
"26","R_28ZGm4MlskSk3tH","standard","1","26","HP","8","342.13","350.131","350.693","8.563","0.562","3","60",""
"27","R_28ZGm4MlskSk3tH","standard","1","27","HP","6","351.694","357.696","358.058","6.364","0.362","3","63",""
"28","R_28ZGm4MlskSk3tH","standard","1","28","HP","4","359.059","363.061","NA","5.004","NA","0","63",""
"29","R_28ZGm4MlskSk3tH","standard","1","29","HP","20","365.064","385.066","385.515","20.451","0.449","3","66",""
"30","R_28ZGm4MlskSk3tH","standard","1","30","HP","6","386.517","392.518","NA","7.003","NA","0","66",""
"31","R_28ZGm4MlskSk3tH","standard","1","31","HP","8","394.521","402.522","402.937","8.416","0.415","3","69",""
"32","R_28ZGm4MlskSk3tH","standard","1","32","HP","20","403.939","423.94","424.297","20.358","0.357","3","72",""
"33","R_28ZGm4MlskSk3tH","standard","1","33","HP","6","425.299","431.3","NA","7.003","NA","0","72",""
"34","R_28ZGm4MlskSk3tH","standard","1","34","HP","2","433.303","435.305","NA","3.003","NA","0","72",""
"35","R_28ZGm4MlskSk3tH","standard","1","35","HP","18","437.308","455.309","455.685","18.377","0.376","3","75",""
"36","R_28ZGm4MlskSk3tH","standard","1","36","HP","14","456.686","470.687","471.028","14.342","0.341","3","78",""
"37","R_28ZGm4MlskSk3tH","standard","1","37","HP","2","472.029","474.03","NA","3.003","NA","0","78",""
"38","R_28ZGm4MlskSk3tH","standard","1","38","HP","16","476.034","492.035","492.485","16.451","0.45","3","81",""
"39","R_28ZGm4MlskSk3tH","standard","1","39","HP","16","493.487","509.488","510.154","16.667","0.666","3","84",""
"40","R_28ZGm4MlskSk3tH","standard","1","40","HP","12","511.155","523.157","NA","13.003","NA","0","84",""
"41","R_28ZGm4MlskSk3tH","standard","1","41","HP","10","525.159","535.161","535.652","10.493","0.491","3","87",""
"42","R_28ZGm4MlskSk3tH","standard","1","42","HP","20","536.652","556.654","557.198","20.546","0.544","3","90",""
"43","R_28ZGm4MlskSk3tH","standard","1","43","HP","10","558.2","568.201","568.576","10.376","0.375","3","93",""
"44","R_28ZGm4MlskSk3tH","standard","1","44","HP","18","569.578","587.579","588.314","18.736","0.735","3","96",""
"45","R_28ZGm4MlskSk3tH","standard","1","45","HP","6","589.314","595.316","595.817","6.503","0.501","3","99",""
"46","R_28ZGm4MlskSk3tH","standard","1","46","HP","8","596.818","604.82","605.303","8.485","0.483","3","102",""
"47","R_28ZGm4MlskSk3tH","standard","1","47","HP","8","606.304","614.306","614.824","8.52","0.518","3","105",""
"48","R_28ZGm4MlskSk3tH","standard","1","48","HP","8","615.826","623.826","624.188","8.362","0.362","3","108",""
"49","R_28ZGm4MlskSk3tH","standard","1","49","HP","14","625.189","639.194","639.574","14.385","0.38","3","108","8278"
"50","R_28ZGm4MlskSk3tH","standard","1","50","HP","16","640.575","656.575","656.959","16.384","0.384","3","111",""
"51","R_28ZGm4MlskSk3tH","standard","1","51","HP","16","657.96","673.96","674.289","16.329","0.329","3","114",""
"52","R_28ZGm4MlskSk3tH","standard","1","52","HP","6","675.29","681.291","NA","7.003","NA","0","114",""
"53","R_28ZGm4MlskSk3tH","standard","1","53","HP","6","683.294","689.295","689.672","6.378","0.377","3","117",""
"54","R_28ZGm4MlskSk3tH","standard","1","54","HP","14","690.673","704.674","705.05","14.377","0.376","3","120",""
"55","R_28ZGm4MlskSk3tH","standard","1","55","HP","8","706.051","714.052","714.657","8.606","0.605","3","123",""
"56","R_28ZGm4MlskSk3tH","standard","1","56","HP","12","715.658","727.66","728.147","12.489","0.487","3","126",""
"57","R_28ZGm4MlskSk3tH","standard","1","57","HP","12","729.148","741.149","741.564","12.416","0.415","3","129",""
