"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_290u6xxbzmNV0Hm","standard","1","1","HP","14","0.001","14.006","14.313","14.312","0.307","3","3",""
"2","R_290u6xxbzmNV0Hm","standard","1","2","HP","12","15.314","27.324","27.588","12.274","0.264","3","6",""
"3","R_290u6xxbzmNV0Hm","standard","1","3","HP","10","28.59","38.597","38.927","10.337","0.33","3","9",""
"4","R_290u6xxbzmNV0Hm","standard","1","4","HP","4","39.934","43.942","44.281","4.347","0.339","3","12",""
"5","R_290u6xxbzmNV0Hm","standard","1","5","HP","6","45.288","51.301","51.635","6.347","0.334","3","15",""
"6","R_290u6xxbzmNV0Hm","standard","1","6","HP","14","52.638","66.648","66.992","14.354","0.344","3","18",""
"7","R_290u6xxbzmNV0Hm","standard","1","7","HP","8","67.998","76.007","76.36","8.362","0.353","3","21",""
"8","R_290u6xxbzmNV0Hm","standard","1","8","HP","12","77.366","89.382","89.704","12.338","0.322","3","24",""
"9","R_290u6xxbzmNV0Hm","standard","1","9","HP","6","90.709","96.718","97.042","6.333","0.324","3","27",""
"10","R_290u6xxbzmNV0Hm","standard","1","10","HP","4","98.057","102.062","102.406","4.349","0.344","3","30",""
"11","R_290u6xxbzmNV0Hm","standard","1","11","HP","12","103.406","115.41","115.705","12.299","0.295","3","33",""
"12","R_290u6xxbzmNV0Hm","standard","1","12","HP","18","116.707","134.713","135.057","18.35","0.344","3","36",""
"13","R_290u6xxbzmNV0Hm","standard","1","13","HP","2","136.072","138.078","138.475","2.403","0.397","3","39",""
"14","R_290u6xxbzmNV0Hm","standard","1","14","HP","4","139.478","143.488","143.817","4.339","0.329","3","42",""
"15","R_290u6xxbzmNV0Hm","standard","1","15","HP","20","144.819","164.837","165.16","20.341","0.323","3","45",""
"16","R_290u6xxbzmNV0Hm","standard","1","16","HP","14","166.171","180.179","180.472","14.301","0.293","3","48",""
"17","R_290u6xxbzmNV0Hm","standard","1","17","HP","6","181.49","187.502","187.909","6.419","0.407","3","51",""
"18","R_290u6xxbzmNV0Hm","standard","1","18","HP","8","188.921","196.926","197.248","8.327","0.322","3","54",""
"19","R_290u6xxbzmNV0Hm","standard","1","19","HP","18","198.254","216.262","216.627","18.373","0.365","3","57",""
"20","R_290u6xxbzmNV0Hm","standard","1","20","HP","12","217.631","229.64","230.036","12.405","0.396","3","60",""
"21","R_290u6xxbzmNV0Hm","standard","1","21","HP","8","231.039","239.05","239.503","8.464","0.453","3","63",""
"22","R_290u6xxbzmNV0Hm","standard","1","22","HP","2","240.503","242.51","243.098","2.595","0.588","3","66",""
"23","R_290u6xxbzmNV0Hm","standard","1","23","HP","10","244.103","254.11","NA","11.014","NA","0","66",""
"24","R_290u6xxbzmNV0Hm","standard","1","24","HP","10","256.124","266.126","266.432","10.308","0.306","3","69",""
"25","R_290u6xxbzmNV0Hm","standard","1","25","HP","16","267.439","283.446","283.815","16.376","0.369","3","72",""
"26","R_290u6xxbzmNV0Hm","standard","1","26","HP","16","284.815","300.816","301.174","16.359","0.358","3","75",""
"27","R_290u6xxbzmNV0Hm","standard","1","27","HP","6","302.183","308.202","309.043","6.86","0.841","3","78",""
"28","R_290u6xxbzmNV0Hm","standard","1","28","HP","20","310.056","330.062","330.381","20.325","0.319","3","81",""
"29","R_290u6xxbzmNV0Hm","standard","1","29","HP","10","331.383","341.39","341.76","10.377","0.37","3","84",""
"30","R_290u6xxbzmNV0Hm","standard","1","30","HP","10","342.774","352.782","353.137","10.363","0.355","3","87",""
"31","R_290u6xxbzmNV0Hm","standard","1","31","HP","4","354.142","358.155","358.502","4.36","0.347","3","90",""
"32","R_290u6xxbzmNV0Hm","standard","1","32","HP","16","359.502","375.517","375.835","16.333","0.318","3","93",""
"33","R_290u6xxbzmNV0Hm","standard","1","33","HP","6","376.846","382.854","383.203","6.357","0.349","3","96",""
"34","R_290u6xxbzmNV0Hm","standard","1","34","HP","4","384.22","388.231","388.593","4.373","0.362","3","99",""
"35","R_290u6xxbzmNV0Hm","standard","1","35","HP","18","389.607","407.608","407.937","18.33","0.329","3","102",""
"36","R_290u6xxbzmNV0Hm","standard","1","36","HP","4","408.951","412.961","413.381","4.43","0.42","3","105",""
