"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2AXqaPHK2YhcM9O","standard","1","1","LP","0.661783713916415","0.001","0.669","1.352","1.351","0.683","3","3",""
"2","R_2AXqaPHK2YhcM9O","standard","1","2","LP","2.15079707022835","2.361","4.522","4.783","2.422","0.261","3","6",""
"3","R_2AXqaPHK2YhcM9O","standard","1","3","LP","2.15079707022835","5.797","7.954","8.219","2.422","0.265","3","9",""
"4","R_2AXqaPHK2YhcM9O","standard","1","4","LP","5.5010771219302","9.225","14.735","15.022","5.797","0.287","3","12",""
"5","R_2AXqaPHK2YhcM9O","standard","1","5","LP","8.51632916846187","16.027","24.554","24.835","8.808","0.281","3","15",""
"6","R_2AXqaPHK2YhcM9O","standard","1","6","LP","5.5010771219302","25.851","31.359","31.771","5.92","0.412","3","18",""
"7","R_2AXqaPHK2YhcM9O","standard","1","7","LP","19.8235243429556","32.789","52.617","53.346","20.557","0.729","3","18","1977"
"8","R_2AXqaPHK2YhcM9O","standard","1","8","LP","8.51632916846187","54.359","62.882","63.413","9.054","0.531","3","21",""
"9","R_2AXqaPHK2YhcM9O","standard","1","9","LP","0.661783713916415","64.422","65.087","NA","1.682","NA","0","21",""
"10","R_2AXqaPHK2YhcM9O","standard","1","10","LP","1.25738905644119","67.107","68.368","68.702","1.595","0.334","3","24",""
"11","R_2AXqaPHK2YhcM9O","standard","1","11","LP","2.15079707022835","69.721","71.886","72.179","2.458","0.293","3","27",""
"12","R_2AXqaPHK2YhcM9O","standard","1","12","LP","0.661783713916415","73.185","73.848","74.22","1.035","0.372","3","30",""
"13","R_2AXqaPHK2YhcM9O","standard","1","13","LP","0.264713485566566","75.231","75.505","75.866","0.635","0.361","3","33",""
"14","R_2AXqaPHK2YhcM9O","standard","1","14","LP","0.661783713916415","76.879","77.548","77.866","0.987","0.318","3","36",""
"15","R_2AXqaPHK2YhcM9O","standard","1","15","LP","0.264713485566566","78.873","79.146","79.514","0.641","0.368","3","39",""
