"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2D8h2RTudkW1Iul","standard","1","1","LP","2.15079707022835","0.001","2.159","2.522","2.521","0.363","3","3",""
"2","R_2D8h2RTudkW1Iul","standard","1","2","LP","5.5010771219302","3.533","9.044","9.365","5.832","0.321","3","6",""
"3","R_2D8h2RTudkW1Iul","standard","1","3","LP","3.49090909090909","10.378","13.885","14.353","3.975","0.468","3","9",""
"4","R_2D8h2RTudkW1Iul","standard","1","4","LP","8.51632916846187","15.359","23.879","24.185","8.826","0.306","3","12",""
"5","R_2D8h2RTudkW1Iul","standard","1","5","LP","8.51632916846187","25.198","33.716","34.043","8.845","0.327","3","15",""
"6","R_2D8h2RTudkW1Iul","standard","1","6","LP","8.51632916846187","35.055","43.584","43.912","8.857","0.328","3","18",""
"7","R_2D8h2RTudkW1Iul","standard","1","7","LP","13.0392072382594","44.923","57.971","58.296","13.373","0.325","3","21",""
"8","R_2D8h2RTudkW1Iul","standard","1","8","LP","2.15079707022835","59.312","61.481","NA","3.177","NA","0","21",""
"9","R_2D8h2RTudkW1Iul","standard","1","9","LP","5.5010771219302","63.496","69.014","69.194","5.698","0.18","3","24",""
"10","R_2D8h2RTudkW1Iul","standard","1","10","LP","0.264713485566566","70.207","70.49","71.094","0.887","0.604","3","27",""
"11","R_2D8h2RTudkW1Iul","standard","1","11","LP","19.8235243429556","72.109","91.937","92.253","20.144","0.316","3","27","4518"
"12","R_2D8h2RTudkW1Iul","standard","1","12","LP","5.5010771219302","93.264","98.773","99.092","5.828","0.319","3","30",""
"13","R_2D8h2RTudkW1Iul","standard","1","13","LP","30","100.096","130.103","130.523","30.427","0.42","3","33",""
"14","R_2D8h2RTudkW1Iul","standard","1","14","LP","30","131.528","161.535","161.871","30.343","0.336","3","36",""
"15","R_2D8h2RTudkW1Iul","standard","1","15","LP","2.15079707022835","162.877","165.031","165.617","2.74","0.586","3","39",""
"16","R_2D8h2RTudkW1Iul","standard","1","16","LP","30","166.623","196.635","196.971","30.348","0.336","3","42",""
"17","R_2D8h2RTudkW1Iul","standard","1","17","LP","8.51632916846187","197.975","206.496","206.831","8.856","0.335","3","45",""
"18","R_2D8h2RTudkW1Iul","standard","1","18","LP","1.25738905644119","207.838","209.103","209.74","1.902","0.637","3","48",""
"19","R_2D8h2RTudkW1Iul","standard","1","19","LP","1.25738905644119","210.742","212","212.336","1.594","0.336","3","51",""
"20","R_2D8h2RTudkW1Iul","standard","1","20","LP","3.49090909090909","213.343","216.848","217.183","3.84","0.335","3","54",""
