"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2EsE9rF0VgWVJm3","standard","1","1","HP","18","0.002","18.01","18.647","18.645","0.637","3","3",""
"2","R_2EsE9rF0VgWVJm3","standard","1","2","HP","6","19.653","25.663","NA","7.027","NA","0","3",""
"3","R_2EsE9rF0VgWVJm3","standard","1","3","HP","16","27.694","43.707","44.34","16.646","0.633","3","6",""
"4","R_2EsE9rF0VgWVJm3","standard","1","4","HP","8","45.343","53.35","53.953","8.61","0.603","3","9",""
"5","R_2EsE9rF0VgWVJm3","standard","1","5","HP","8","54.959","62.976","63.69","8.731","0.714","3","12",""
"6","R_2EsE9rF0VgWVJm3","standard","1","6","HP","8","64.695","72.708","73.379","8.684","0.671","3","15",""
"7","R_2EsE9rF0VgWVJm3","standard","1","7","HP","14","74.392","88.408","89.029","14.637","0.621","3","18",""
"8","R_2EsE9rF0VgWVJm3","standard","1","8","HP","8","90.031","98.039","98.71","8.679","0.671","3","21",""
"9","R_2EsE9rF0VgWVJm3","standard","1","9","HP","8","99.725","107.727","108.375","8.65","0.648","3","24",""
"10","R_2EsE9rF0VgWVJm3","standard","1","10","HP","18","109.405","127.413","128.069","18.664","0.656","3","27",""
"11","R_2EsE9rF0VgWVJm3","standard","1","11","HP","20","129.085","149.105","149.793","20.708","0.688","3","30",""
"12","R_2EsE9rF0VgWVJm3","standard","1","12","HP","4","150.804","154.823","155.56","4.756","0.737","3","33",""
"13","R_2EsE9rF0VgWVJm3","standard","1","13","HP","8","156.573","164.589","165.288","8.715","0.699","3","36",""
"14","R_2EsE9rF0VgWVJm3","standard","1","14","HP","10","166.303","176.31","177","10.697","0.69","3","39",""
"15","R_2EsE9rF0VgWVJm3","standard","1","15","HP","4","178.008","182.033","182.788","4.78","0.755","3","42",""
"16","R_2EsE9rF0VgWVJm3","standard","1","16","HP","6","183.803","189.82","190.575","6.772","0.755","3","45",""
"17","R_2EsE9rF0VgWVJm3","standard","1","17","HP","4","191.582","195.582","196.239","4.657","0.657","3","48",""
"18","R_2EsE9rF0VgWVJm3","standard","1","18","HP","18","197.248","215.255","215.845","18.597","0.59","3","51",""
