"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2TRXp0UXE85ZYio","standard","1","1","LP","13.0392072382594","0","13.043","13.305","13.305","0.262","3","3",""
"2","R_2TRXp0UXE85ZYio","standard","1","2","LP","13.0392072382594","14.308","27.356","27.634","13.326","0.278","3","6",""
"3","R_2TRXp0UXE85ZYio","standard","1","3","LP","2.15079707022835","28.643","30.794","31.134","2.491","0.34","3","9",""
"4","R_2TRXp0UXE85ZYio","standard","1","4","LP","1.25738905644119","32.139","33.403","33.748","1.609","0.345","3","12",""
"5","R_2TRXp0UXE85ZYio","standard","1","5","LP","2.15079707022835","34.754","36.908","37.195","2.441","0.287","3","15",""
"6","R_2TRXp0UXE85ZYio","standard","1","6","LP","0.661783713916415","38.202","38.866","39.229","1.027","0.363","3","18",""
"7","R_2TRXp0UXE85ZYio","standard","1","7","LP","0.264713485566566","40.234","40.507","40.918","0.684","0.411","3","21",""
"8","R_2TRXp0UXE85ZYio","standard","1","8","LP","30","41.922","71.925","72.215","30.293","0.29","3","24",""
"9","R_2TRXp0UXE85ZYio","standard","1","9","LP","0.264713485566566","73.22","73.49","74.036","0.816","0.546","3","27",""
"10","R_2TRXp0UXE85ZYio","standard","1","10","LP","8.51632916846187","75.042","83.563","83.942","8.9","0.379","3","30",""
"11","R_2TRXp0UXE85ZYio","standard","1","11","LP","0.661783713916415","84.946","85.608","86.201","1.255","0.593","3","33",""
"12","R_2TRXp0UXE85ZYio","standard","1","12","LP","1.25738905644119","87.203","88.466","88.839","1.636","0.373","3","36",""
"13","R_2TRXp0UXE85ZYio","standard","1","13","LP","5.5010771219302","89.842","95.346","95.73","5.888","0.384","3","39",""
"14","R_2TRXp0UXE85ZYio","standard","1","14","LP","2.15079707022835","96.738","98.89","99.232","2.494","0.342","3","42",""
"15","R_2TRXp0UXE85ZYio","standard","1","15","LP","5.5010771219302","100.234","105.738","106.105","5.871","0.367","3","45",""
"16","R_2TRXp0UXE85ZYio","standard","1","16","LP","0.264713485566566","107.118","107.386","107.704","0.586","0.318","3","48",""
"17","R_2TRXp0UXE85ZYio","standard","1","17","LP","1.25738905644119","108.706","109.971","110.269","1.563","0.298","3","51",""
"18","R_2TRXp0UXE85ZYio","standard","1","18","LP","2.15079707022835","111.279","113.435","113.746","2.467","0.311","3","54",""
"19","R_2TRXp0UXE85ZYio","standard","1","19","LP","1.25738905644119","114.767","116.026","116.329","1.562","0.303","3","57",""
"20","R_2TRXp0UXE85ZYio","standard","1","20","LP","5.5010771219302","117.33","122.834","123.142","5.812","0.308","3","60",""
"21","R_2TRXp0UXE85ZYio","standard","1","21","LP","19.8235243429556","124.146","143.971","144.322","20.176","0.351","3","63",""
"22","R_2TRXp0UXE85ZYio","standard","1","22","LP","13.0392072382594","145.324","158.37","158.749","13.425","0.379","3","66",""
"23","R_2TRXp0UXE85ZYio","standard","1","23","LP","19.8235243429556","159.754","179.579","179.995","20.241","0.416","3","69",""
"24","R_2TRXp0UXE85ZYio","standard","1","24","LP","8.51632916846187","181.002","189.527","NA","9.528","NA","0","69",""
"25","R_2TRXp0UXE85ZYio","standard","1","25","LP","5.5010771219302","191.538","197.053","197.843","6.305","0.79","3","72",""
"26","R_2TRXp0UXE85ZYio","standard","1","26","LP","3.49090909090909","198.851","202.346","202.599","3.748","0.253","3","75",""
"27","R_2TRXp0UXE85ZYio","standard","1","27","LP","0.264713485566566","203.602","203.874","204.208","0.606","0.334","3","78",""
"28","R_2TRXp0UXE85ZYio","standard","1","28","LP","0.661783713916415","205.222","205.892","206.22","0.998","0.328","3","81",""
"29","R_2TRXp0UXE85ZYio","standard","1","29","LP","30","207.221","237.226","237.497","30.276","0.271","3","81","378"
"30","R_2TRXp0UXE85ZYio","standard","1","30","LP","3.49090909090909","238.498","241.995","242.296","3.798","0.301","3","84",""
"31","R_2TRXp0UXE85ZYio","standard","1","31","LP","2.15079707022835","243.307","245.458","245.803","2.496","0.345","3","87",""
"32","R_2TRXp0UXE85ZYio","standard","1","32","LP","30","246.807","276.807","277.097","30.29","0.29","3","90",""
"33","R_2TRXp0UXE85ZYio","standard","1","33","LP","0.661783713916415","278.113","278.782","279.26","1.147","0.478","3","93",""
"34","R_2TRXp0UXE85ZYio","standard","1","34","LP","19.8235243429556","280.266","300.09","300.516","20.25","0.426","3","96",""
"35","R_2TRXp0UXE85ZYio","standard","1","35","LP","8.51632916846187","301.525","310.043","NA","9.526","NA","0","96",""
"36","R_2TRXp0UXE85ZYio","standard","1","36","LP","1.25738905644119","312.058","313.32","313.633","1.575","0.313","3","99",""
"37","R_2TRXp0UXE85ZYio","standard","1","37","LP","2.15079707022835","314.65","316.803","317.49","2.84","0.687","3","102",""
"38","R_2TRXp0UXE85ZYio","standard","1","38","LP","0.264713485566566","318.5","318.771","319.116","0.616","0.345","3","105",""
"39","R_2TRXp0UXE85ZYio","standard","1","39","LP","5.5010771219302","320.137","325.643","NA","6.513","NA","0","105",""
"40","R_2TRXp0UXE85ZYio","standard","1","40","LP","8.51632916846187","327.671","336.194","336.549","8.878","0.355","3","108",""
"41","R_2TRXp0UXE85ZYio","standard","1","41","LP","8.51632916846187","337.554","346.074","346.365","8.811","0.291","3","111",""
"42","R_2TRXp0UXE85ZYio","standard","1","42","LP","3.49090909090909","347.371","350.866","351.155","3.784","0.289","3","114",""
"43","R_2TRXp0UXE85ZYio","standard","1","43","LP","30","352.162","382.17","382.449","30.287","0.279","3","117",""
"44","R_2TRXp0UXE85ZYio","standard","1","44","LP","3.49090909090909","383.45","386.951","387.342","3.892","0.391","3","120",""
"45","R_2TRXp0UXE85ZYio","standard","1","45","LP","8.51632916846187","388.356","396.874","397.217","8.861","0.343","3","123",""
"46","R_2TRXp0UXE85ZYio","standard","1","46","LP","19.8235243429556","398.218","418.042","418.457","20.239","0.415","3","126",""
