"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2VIpISI9qaeWAPm","standard","1","1","HP","20","0.001","20.004","20.472","20.471","0.468","3","3",""
"2","R_2VIpISI9qaeWAPm","standard","1","2","HP","18","21.487","39.506","39.799","18.312","0.293","3","6",""
"3","R_2VIpISI9qaeWAPm","standard","1","3","HP","16","40.805","56.807","57.168","16.363","0.361","3","9",""
"4","R_2VIpISI9qaeWAPm","standard","1","4","HP","16","58.175","74.191","74.607","16.432","0.416","3","12",""
"5","R_2VIpISI9qaeWAPm","standard","1","5","HP","16","75.608","91.608","91.937","16.329","0.329","3","15",""
"6","R_2VIpISI9qaeWAPm","standard","1","6","HP","10","92.943","102.952","103.52","10.577","0.568","3","18",""
"7","R_2VIpISI9qaeWAPm","standard","1","7","HP","20","104.521","124.525","125.152","20.631","0.627","3","21",""
"8","R_2VIpISI9qaeWAPm","standard","1","8","HP","2","126.159","128.178","128.871","2.712","0.693","3","24",""
"9","R_2VIpISI9qaeWAPm","standard","1","9","HP","6","129.88","135.887","136.359","6.479","0.472","3","27",""
"10","R_2VIpISI9qaeWAPm","standard","1","10","HP","14","137.369","151.385","152.247","14.878","0.862","3","30",""
"11","R_2VIpISI9qaeWAPm","standard","1","11","HP","6","153.252","159.273","159.663","6.411","0.39","3","33",""
"12","R_2VIpISI9qaeWAPm","standard","1","12","HP","18","160.68","178.696","179.144","18.464","0.448","3","36",""
"13","R_2VIpISI9qaeWAPm","standard","1","13","HP","12","180.147","192.171","192.566","12.419","0.395","3","39",""
"14","R_2VIpISI9qaeWAPm","standard","1","14","HP","2","193.577","195.581","196.166","2.589","0.585","3","42",""
"15","R_2VIpISI9qaeWAPm","standard","1","15","HP","14","197.182","211.191","211.552","14.37","0.361","3","45",""
"16","R_2VIpISI9qaeWAPm","standard","1","16","HP","20","212.565","232.582","233.095","20.53","0.513","3","48",""
"17","R_2VIpISI9qaeWAPm","standard","1","17","HP","8","234.101","242.11","242.552","8.451","0.442","3","51",""
"18","R_2VIpISI9qaeWAPm","standard","1","18","HP","16","243.562","259.579","259.903","16.341","0.324","3","54",""
"19","R_2VIpISI9qaeWAPm","standard","1","19","HP","20","260.914","280.919","281.28","20.366","0.361","3","57",""
"20","R_2VIpISI9qaeWAPm","standard","1","20","HP","6","282.286","288.307","288.808","6.522","0.501","3","60",""
"21","R_2VIpISI9qaeWAPm","standard","1","21","HP","18","289.809","307.81","308.311","18.502","0.501","3","63",""
"22","R_2VIpISI9qaeWAPm","standard","1","22","HP","16","309.312","325.313","325.809","16.497","0.496","3","66",""
"23","R_2VIpISI9qaeWAPm","standard","1","23","HP","10","326.811","336.821","337.336","10.525","0.515","3","69",""
"24","R_2VIpISI9qaeWAPm","standard","1","24","HP","16","338.34","354.355","354.776","16.436","0.421","3","72",""
"25","R_2VIpISI9qaeWAPm","standard","1","25","HP","10","355.777","365.785","366.167","10.39","0.382","3","75",""
"26","R_2VIpISI9qaeWAPm","standard","1","26","HP","4","367.171","371.191","371.888","4.717","0.697","3","78",""
"27","R_2VIpISI9qaeWAPm","standard","1","27","HP","14","372.893","386.905","387.303","14.41","0.398","3","81",""
"28","R_2VIpISI9qaeWAPm","standard","1","28","HP","6","388.324","394.345","394.696","6.372","0.351","3","84",""
"29","R_2VIpISI9qaeWAPm","standard","1","29","HP","20","395.701","415.72","416.232","20.531","0.512","3","87",""
"30","R_2VIpISI9qaeWAPm","standard","1","30","HP","16","417.237","433.238","433.864","16.627","0.626","3","90",""
"31","R_2VIpISI9qaeWAPm","standard","1","31","HP","14","434.872","448.881","449.359","14.487","0.478","3","93",""
"32","R_2VIpISI9qaeWAPm","standard","1","32","HP","10","450.372","460.381","460.792","10.42","0.411","3","96",""
"33","R_2VIpISI9qaeWAPm","standard","1","33","HP","12","461.8","473.81","474.304","12.504","0.494","3","99",""
"34","R_2VIpISI9qaeWAPm","standard","1","34","HP","8","475.313","483.32","483.791","8.478","0.471","3","102",""
"35","R_2VIpISI9qaeWAPm","standard","1","35","HP","18","484.803","502.808","503.192","18.389","0.384","3","105",""
"36","R_2VIpISI9qaeWAPm","standard","1","36","HP","10","504.207","514.218","515.096","10.889","0.878","3","108",""
"37","R_2VIpISI9qaeWAPm","standard","1","37","HP","14","516.103","530.117","530.456","14.353","0.339","3","111",""
