"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2WU3os1c16bwZF8","standard","1","1","LP","2.15079707022835","0.004","2.155","NA","3.162","NA","0","0",""
"2","R_2WU3os1c16bwZF8","standard","1","2","LP","19.8235243429556","4.17","24.016","24.869","20.699","0.853","3","3","c(""618"", ""628"", ""638"", ""5690"", ""7700"", ""8217"", ""8456"")"
"3","R_2WU3os1c16bwZF8","standard","1","3","LP","30","25.885","56.347","NA","32.449","NA","0","0","c(""123"", ""983"")"
"4","R_2WU3os1c16bwZF8","standard","1","4","LP","5.5010771219302","59.357","65.378","NA","9.634","NA","0","0",""
"5","R_2WU3os1c16bwZF8","standard","1","5","LP","2.15079707022835","70.543","73.331","NA","3.819","NA","0","0",""
"6","R_2WU3os1c16bwZF8","standard","1","6","LP","5.5010771219302","76.333","82.343","NA","8.042","NA","0","0",""
"7","R_2WU3os1c16bwZF8","standard","1","7","LP","13.0392072382594","86.347","100.906","NA","16.008","NA","0","0",""
"8","R_2WU3os1c16bwZF8","standard","1","8","LP","5.5010771219302","103.363","109.511","NA","7.973","NA","0","0",""
"9","R_2WU3os1c16bwZF8","standard","1","9","LP","2.15079707022835","112.396","115.429","NA","4.972","NA","0","0",""
"10","R_2WU3os1c16bwZF8","standard","1","10","LP","1.25738905644119","118.379","120.332","NA","2.957","NA","0","0",""
"11","R_2WU3os1c16bwZF8","standard","1","11","LP","19.8235243429556","122.355","142.461","NA","22.016","NA","0","0",""
"12","R_2WU3os1c16bwZF8","standard","1","12","LP","3.49090909090909","146.33","149.822","NA","4.505","NA","0","0",""
"13","R_2WU3os1c16bwZF8","standard","1","13","LP","8.51632916846187","151.867","160.395","NA","9.542","NA","0","0","c(""458"", ""1271"", ""1497"", ""1669"", ""1854"")"
"14","R_2WU3os1c16bwZF8","standard","1","14","LP","13.0392072382594","162.412","175.478","NA","14.089","NA","0","0",""
"15","R_2WU3os1c16bwZF8","standard","1","15","LP","5.5010771219302","177.519","183.343","NA","7.826","NA","0","0",""
"16","R_2WU3os1c16bwZF8","standard","1","16","LP","30","187.339","218.339","NA","32.002","NA","0","0",""
"17","R_2WU3os1c16bwZF8","standard","1","17","LP","3.49090909090909","220.344","224.358","NA","5.988","NA","0","0",""
"18","R_2WU3os1c16bwZF8","standard","1","18","LP","19.8235243429556","227.347","247.331","NA","20.985","NA","0","0",""
"19","R_2WU3os1c16bwZF8","standard","1","19","LP","19.8235243429556","249.347","269.354","NA","21.992","NA","0","0",""
