"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2X4BjwjhMBWVOf1","standard","1","1","HP","4","0","4.008","4.354","4.354","0.346","3","3",""
"2","R_2X4BjwjhMBWVOf1","standard","1","2","HP","16","5.358","21.366","21.65","16.292","0.284","3","6",""
"3","R_2X4BjwjhMBWVOf1","standard","1","3","HP","6","22.654","28.662","29.09","6.436","0.428","3","9",""
"4","R_2X4BjwjhMBWVOf1","standard","1","4","HP","18","30.094","48.102","48.458","18.364","0.356","3","12",""
"5","R_2X4BjwjhMBWVOf1","standard","1","5","HP","8","49.462","57.47","57.826","8.364","0.356","3","15",""
"6","R_2X4BjwjhMBWVOf1","standard","1","6","HP","6","58.83","64.838","65.17","6.34","0.332","3","18",""
"7","R_2X4BjwjhMBWVOf1","standard","1","7","HP","2","66.174","68.182","68.53","2.356","0.348","3","21",""
"8","R_2X4BjwjhMBWVOf1","standard","1","8","HP","12","69.534","81.542","81.882","12.348","0.34","3","24",""
"9","R_2X4BjwjhMBWVOf1","standard","1","9","HP","2","82.886","84.894","85.275","2.389","0.381","3","27",""
"10","R_2X4BjwjhMBWVOf1","standard","1","10","HP","10","86.278","96.286","96.691","10.413","0.405","3","30",""
"11","R_2X4BjwjhMBWVOf1","standard","1","11","HP","2","97.694","99.702","100.234","2.54","0.532","3","33",""
"12","R_2X4BjwjhMBWVOf1","standard","1","12","HP","10","101.238","111.246","111.579","10.341","0.333","3","36",""
"13","R_2X4BjwjhMBWVOf1","standard","1","13","HP","4","112.582","116.59","116.922","4.34","0.332","3","39",""
"14","R_2X4BjwjhMBWVOf1","standard","1","14","HP","20","117.926","137.934","138.299","20.373","0.365","3","39","6637"
"15","R_2X4BjwjhMBWVOf1","standard","1","15","HP","10","139.302","149.306","149.691","10.389","0.385","3","42",""
"16","R_2X4BjwjhMBWVOf1","standard","1","16","HP","16","150.694","166.702","167.107","16.413","0.405","3","45",""
"17","R_2X4BjwjhMBWVOf1","standard","1","17","HP","4","168.11","172.118","172.483","4.373","0.365","3","48",""
"18","R_2X4BjwjhMBWVOf1","standard","1","18","HP","16","173.486","189.494","189.915","16.429","0.421","3","51",""
"19","R_2X4BjwjhMBWVOf1","standard","1","19","HP","2","190.918","192.926","193.419","2.501","0.493","3","54",""
"20","R_2X4BjwjhMBWVOf1","standard","1","20","HP","6","194.422","200.43","200.851","6.429","0.421","3","57",""
"21","R_2X4BjwjhMBWVOf1","standard","1","21","HP","2","201.854","203.862","204.211","2.357","0.349","3","60",""
"22","R_2X4BjwjhMBWVOf1","standard","1","22","HP","2","205.213","207.214","207.659","2.446","0.445","3","63",""
