"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2YG0MYgSFmGgAy5","standard","1","1","HP","6","0.001","6.008","6.323","6.322","0.315","3","3",""
"2","R_2YG0MYgSFmGgAy5","standard","1","2","HP","2","7.325","9.341","9.643","2.318","0.302","3","6",""
"3","R_2YG0MYgSFmGgAy5","standard","1","3","HP","20","10.648","30.656","30.916","20.268","0.26","3","9",""
"4","R_2YG0MYgSFmGgAy5","standard","1","4","HP","16","31.916","47.92","48.43","16.514","0.51","3","12",""
"5","R_2YG0MYgSFmGgAy5","standard","1","5","HP","20","49.433","69.44","69.823","20.39","0.383","3","15",""
"6","R_2YG0MYgSFmGgAy5","standard","1","6","HP","2","70.832","72.843","73.322","2.49","0.479","3","18",""
"7","R_2YG0MYgSFmGgAy5","standard","1","7","HP","8","74.328","82.336","82.671","8.343","0.335","3","21",""
"8","R_2YG0MYgSFmGgAy5","standard","1","8","HP","12","83.672","95.694","96.164","12.492","0.47","3","24",""
"9","R_2YG0MYgSFmGgAy5","standard","1","9","HP","4","97.18","101.186","101.527","4.347","0.341","3","27",""
"10","R_2YG0MYgSFmGgAy5","standard","1","10","HP","10","102.533","112.549","112.839","10.306","0.29","3","30",""
"11","R_2YG0MYgSFmGgAy5","standard","1","11","HP","8","113.853","121.87","122.18","8.327","0.31","3","33",""
"12","R_2YG0MYgSFmGgAy5","standard","1","12","HP","12","123.187","135.196","135.455","12.268","0.259","3","36",""
"13","R_2YG0MYgSFmGgAy5","standard","1","13","HP","2","136.457","138.464","138.886","2.429","0.422","3","39",""
"14","R_2YG0MYgSFmGgAy5","standard","1","14","HP","4","139.892","143.896","144.155","4.263","0.259","3","42",""
"15","R_2YG0MYgSFmGgAy5","standard","1","15","HP","6","145.172","151.176","151.537","6.365","0.361","3","45",""
"16","R_2YG0MYgSFmGgAy5","standard","1","16","HP","16","152.544","168.553","168.831","16.287","0.278","3","48",""
"17","R_2YG0MYgSFmGgAy5","standard","1","17","HP","12","169.841","181.857","182.167","12.326","0.31","3","51",""
"18","R_2YG0MYgSFmGgAy5","standard","1","18","HP","10","183.172","193.178","193.533","10.361","0.355","3","54",""
"19","R_2YG0MYgSFmGgAy5","standard","1","19","HP","18","194.551","212.564","212.872","18.321","0.308","3","57",""
"20","R_2YG0MYgSFmGgAy5","standard","1","20","HP","6","213.88","219.893","220.306","6.426","0.413","3","60",""
