"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2YWAJepH7yQ0iut","standard","1","1","HP","20","0.002","20.022","20.572","20.57","0.55","3","3",""
"2","R_2YWAJepH7yQ0iut","standard","1","2","HP","10","21.577","31.592","32.066","10.489","0.474","3","6",""
"3","R_2YWAJepH7yQ0iut","standard","1","3","HP","14","33.072","47.079","47.587","14.515","0.508","3","9",""
"4","R_2YWAJepH7yQ0iut","standard","1","4","HP","20","48.592","68.607","69.231","20.639","0.624","3","12",""
"5","R_2YWAJepH7yQ0iut","standard","1","5","HP","20","70.238","90.241","90.794","20.556","0.553","3","15",""
"6","R_2YWAJepH7yQ0iut","standard","1","6","HP","14","91.801","105.821","106.306","14.505","0.485","3","18",""
"7","R_2YWAJepH7yQ0iut","standard","1","7","HP","18","107.313","125.326","125.867","18.554","0.541","3","21",""
"8","R_2YWAJepH7yQ0iut","standard","1","8","HP","12","126.874","138.882","139.519","12.645","0.637","3","24",""
"9","R_2YWAJepH7yQ0iut","standard","1","9","HP","4","140.522","144.523","145.08","4.558","0.557","3","27",""
"10","R_2YWAJepH7yQ0iut","standard","1","10","HP","16","146.082","162.089","162.606","16.524","0.517","3","30",""
"11","R_2YWAJepH7yQ0iut","standard","1","11","HP","8","163.61","171.617","172.174","8.564","0.557","3","33",""
"12","R_2YWAJepH7yQ0iut","standard","1","12","HP","6","173.178","179.185","179.843","6.665","0.658","3","36",""
"13","R_2YWAJepH7yQ0iut","standard","1","13","HP","4","180.851","184.857","185.487","4.636","0.63","3","39",""
"14","R_2YWAJepH7yQ0iut","standard","1","14","HP","16","186.535","202.538","203.03","16.495","0.492","3","42",""
"15","R_2YWAJepH7yQ0iut","standard","1","15","HP","20","204.034","224.039","224.449","20.415","0.41","3","45",""
"16","R_2YWAJepH7yQ0iut","standard","1","16","HP","12","225.454","237.458","238.051","12.597","0.593","3","48",""
"17","R_2YWAJepH7yQ0iut","standard","1","17","HP","20","239.058","259.079","259.606","20.548","0.527","3","51",""
"18","R_2YWAJepH7yQ0iut","standard","1","18","HP","4","260.629","264.63","265.202","4.573","0.572","3","54",""
"19","R_2YWAJepH7yQ0iut","standard","1","19","HP","14","266.212","280.219","280.636","14.424","0.417","3","57",""
"20","R_2YWAJepH7yQ0iut","standard","1","20","HP","20","281.643","301.65","302.102","20.459","0.452","3","60",""
"21","R_2YWAJepH7yQ0iut","standard","1","21","HP","16","303.108","319.11","319.603","16.495","0.493","3","63",""
"22","R_2YWAJepH7yQ0iut","standard","1","22","HP","10","320.605","330.624","331.174","10.569","0.55","3","66",""
"23","R_2YWAJepH7yQ0iut","standard","1","23","HP","2","332.181","334.188","NA","3.034","NA","0","66",""
"24","R_2YWAJepH7yQ0iut","standard","1","24","HP","2","336.228","338.235","338.906","2.678","0.671","3","66","531"
"25","R_2YWAJepH7yQ0iut","standard","1","25","HP","6","339.909","345.917","NA","7.014","NA","0","66",""
"26","R_2YWAJepH7yQ0iut","standard","1","26","HP","14","347.925","361.932","362.567","14.642","0.635","3","69",""
"27","R_2YWAJepH7yQ0iut","standard","1","27","HP","14","363.574","377.581","378.067","14.493","0.486","3","72",""
"28","R_2YWAJepH7yQ0iut","standard","1","28","HP","4","379.085","383.093","383.624","4.539","0.531","3","75",""
"29","R_2YWAJepH7yQ0iut","standard","1","29","HP","18","384.631","402.638","403.125","18.494","0.487","3","78",""
"30","R_2YWAJepH7yQ0iut","standard","1","30","HP","14","404.127","418.134","418.897","14.77","0.763","3","81",""
"31","R_2YWAJepH7yQ0iut","standard","1","31","HP","6","419.902","425.945","426.494","6.592","0.549","3","84",""
"32","R_2YWAJepH7yQ0iut","standard","1","32","HP","14","427.503","441.511","NA","15.024","NA","0","84",""
"33","R_2YWAJepH7yQ0iut","standard","1","33","HP","12","443.535","455.543","456.041","12.506","0.498","3","87",""
"34","R_2YWAJepH7yQ0iut","standard","1","34","HP","6","457.047","463.077","NA","7.033","NA","0","87",""
"35","R_2YWAJepH7yQ0iut","standard","1","35","HP","4","465.087","469.094","469.647","4.56","0.553","3","90",""
"36","R_2YWAJepH7yQ0iut","standard","1","36","HP","18","470.655","488.658","489.453","18.798","0.795","3","93",""
"37","R_2YWAJepH7yQ0iut","standard","1","37","HP","8","490.455","498.464","NA","9.012","NA","0","93",""
"38","R_2YWAJepH7yQ0iut","standard","1","38","HP","14","500.468","514.471","514.941","14.473","0.47","3","96",""
"39","R_2YWAJepH7yQ0iut","standard","1","39","HP","6","515.944","521.952","NA","7.016","NA","0","96",""
"40","R_2YWAJepH7yQ0iut","standard","1","40","HP","14","523.968","537.976","NA","15.013","NA","0","96",""
"41","R_2YWAJepH7yQ0iut","standard","1","41","HP","10","539.983","549.992","NA","11.017","NA","0","96",""
"42","R_2YWAJepH7yQ0iut","standard","1","42","HP","14","552.008","566.015","566.742","14.734","0.727","3","99",""
"43","R_2YWAJepH7yQ0iut","standard","1","43","HP","4","567.743","571.751","572.642","4.899","0.891","3","102",""
"44","R_2YWAJepH7yQ0iut","standard","1","44","HP","6","573.644","579.646","580.25","6.606","0.604","3","105",""
"45","R_2YWAJepH7yQ0iut","standard","1","45","HP","8","581.255","589.26","589.994","8.739","0.734","3","108",""
"46","R_2YWAJepH7yQ0iut","standard","1","46","HP","4","590.999","595.014","595.683","4.684","0.669","3","111",""
"47","R_2YWAJepH7yQ0iut","standard","1","47","HP","8","596.686","604.695","605.141","8.455","0.446","3","114",""
"48","R_2YWAJepH7yQ0iut","standard","1","48","HP","2","606.144","608.15","608.894","2.75","0.744","3","117",""
"49","R_2YWAJepH7yQ0iut","standard","1","49","HP","16","609.904","625.913","626.394","16.49","0.481","3","120",""
"50","R_2YWAJepH7yQ0iut","standard","1","50","HP","6","627.402","633.415","633.86","6.458","0.445","3","123",""
"51","R_2YWAJepH7yQ0iut","standard","1","51","HP","18","634.884","652.926","653.339","18.455","0.413","3","126",""
"52","R_2YWAJepH7yQ0iut","standard","1","52","HP","12","654.346","666.372","666.83","12.484","0.458","3","129",""
"53","R_2YWAJepH7yQ0iut","standard","1","53","HP","14","667.836","681.839","682.336","14.5","0.497","3","132",""
"54","R_2YWAJepH7yQ0iut","standard","1","54","HP","18","683.338","701.343","701.916","18.578","0.573","3","135",""
"55","R_2YWAJepH7yQ0iut","standard","1","55","HP","18","702.919","720.923","721.455","18.536","0.532","3","138",""
"56","R_2YWAJepH7yQ0iut","standard","1","56","HP","16","722.465","738.476","738.98","16.515","0.504","3","141",""
"57","R_2YWAJepH7yQ0iut","standard","1","57","HP","2","739.988","741.997","NA","3.018","NA","0","141",""
"58","R_2YWAJepH7yQ0iut","standard","1","58","HP","2","744.024","746.029","NA","3.013","NA","0","141",""
"59","R_2YWAJepH7yQ0iut","standard","1","59","HP","10","748.04","758.044","NA","11.014","NA","0","141",""
"60","R_2YWAJepH7yQ0iut","standard","1","60","HP","20","760.06","780.064","780.825","20.765","0.761","3","144",""
"61","R_2YWAJepH7yQ0iut","standard","1","61","HP","8","781.832","789.837","790.335","8.503","0.498","3","147",""
"62","R_2YWAJepH7yQ0iut","standard","1","62","HP","10","791.341","801.343","NA","11.01","NA","0","144","7942"
"63","R_2YWAJepH7yQ0iut","standard","1","63","HP","6","803.357","809.362","809.982","6.625","0.62","3","147",""
"64","R_2YWAJepH7yQ0iut","standard","1","64","HP","10","810.988","820.997","821.498","10.51","0.501","3","150",""
"65","R_2YWAJepH7yQ0iut","standard","1","65","HP","12","822.502","834.509","835.05","12.548","0.541","3","153",""
"66","R_2YWAJepH7yQ0iut","standard","1","66","HP","8","836.052","844.06","844.503","8.451","0.443","3","156",""
"67","R_2YWAJepH7yQ0iut","standard","1","67","HP","10","845.509","855.516","856.05","10.541","0.534","3","159",""
"68","R_2YWAJepH7yQ0iut","standard","1","68","HP","4","857.055","861.063","861.547","4.492","0.484","3","162",""
"69","R_2YWAJepH7yQ0iut","standard","1","69","HP","12","862.55","874.558","874.975","12.425","0.417","3","165",""
"70","R_2YWAJepH7yQ0iut","standard","1","70","HP","8","875.982","884.002","884.404","8.422","0.402","3","168",""
"71","R_2YWAJepH7yQ0iut","standard","1","71","HP","10","885.406","895.415","895.989","10.583","0.574","3","171",""
"72","R_2YWAJepH7yQ0iut","standard","2","1","LP","5.5010771219302","0","5.504","6.426","6.426","0.922","3","174",NA
"73","R_2YWAJepH7yQ0iut","standard","2","2","LP","30","7.431","NaN","29.043","21.612","NaN","0","174",NA
"74","R_2YWAJepH7yQ0iut","standard","2","3","LP","30","30.049","NaN","49.239","19.19","NaN","0","174",NA
"75","R_2YWAJepH7yQ0iut","standard","2","4","LP","19.8235243429556","50.24","NaN","57.883","7.643","NaN","0","174",NA
"76","R_2YWAJepH7yQ0iut","standard","2","5","LP","2.15079707022835","58.888","61.067",NA,"3.186",NA,"0","174",NA
"77","R_2YWAJepH7yQ0iut","standard","2","6","LP","13.0392072382594","63.081","76.13","76.835","13.754","0.705","3","177",NA
"78","R_2YWAJepH7yQ0iut","standard","2","7","LP","1.25738905644119","77.841","79.105",NA,"2.274",NA,"0","177",NA
"79","R_2YWAJepH7yQ0iut","standard","2","8","LP","5.5010771219302","81.132","86.639","87.274","6.142","0.635","3","180",NA
"80","R_2YWAJepH7yQ0iut","standard","2","9","LP","5.5010771219302","88.294","93.801","94.522","6.228","0.721","3","183",NA
"81","R_2YWAJepH7yQ0iut","standard","2","10","LP","19.8235243429556","95.524","115.354","115.883","20.359","0.529","3","186",NA
"82","R_2YWAJepH7yQ0iut","standard","2","11","LP","5.5010771219302","116.889","122.394","123.063","6.174","0.669","3","189",NA
"83","R_2YWAJepH7yQ0iut","standard","2","12","LP","0.661783713916415","124.065","124.729",NA,"1.672",NA,"0","189",NA
"84","R_2YWAJepH7yQ0iut","standard","2","13","LP","3.49090909090909","126.745","130.241","131.239","4.494","0.998","3","192",NA
"85","R_2YWAJepH7yQ0iut","standard","2","14","LP","0.661783713916415","132.241","132.906","133.462","1.221","0.556","3","195",NA
"86","R_2YWAJepH7yQ0iut","standard","2","15","LP","1.25738905644119","134.466","135.731","136.36","1.894","0.629","3","198",NA
"87","R_2YWAJepH7yQ0iut","standard","2","16","LP","8.51632916846187","137.363","145.883","146.365","9.002","0.482","3","201",NA
"88","R_2YWAJepH7yQ0iut","standard","2","17","LP","0.661783713916415","147.371","148.035","148.636","1.265","0.601","3","204",NA
"89","R_2YWAJepH7yQ0iut","standard","2","18","LP","5.5010771219302","149.637","155.147","155.753","6.116","0.606","3","207",NA
"90","R_2YWAJepH7yQ0iut","standard","2","19","LP","19.8235243429556","156.772","176.608","177.214","20.442","0.606","3","210",NA
"91","R_2YWAJepH7yQ0iut","standard","2","20","LP","13.0392072382594","178.225","191.266","192.013","13.788","0.747","3","213",NA
"92","R_2YWAJepH7yQ0iut","standard","2","21","LP","5.5010771219302","193.019","198.523","199.115","6.096","0.592","3","216",NA
"93","R_2YWAJepH7yQ0iut","standard","2","22","LP","19.8235243429556","200.123","NaN","218.294","18.171","NaN","0","216",NA
"94","R_2YWAJepH7yQ0iut","standard","2","23","LP","3.49090909090909","219.326","222.819","223.31","3.984","0.491","3","219",NA
"95","R_2YWAJepH7yQ0iut","standard","2","24","LP","1.25738905644119","224.315","225.579","226.006","1.691","0.427","3","222",NA
