"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2YXOR3vkRUL7HFc","standard","1","1","LP","30","0.001","30.005","30.249","30.248","0.244","3","3",""
"2","R_2YXOR3vkRUL7HFc","standard","1","2","LP","8.51632916846187","31.252","39.78","40.009","8.757","0.229","3","6",""
"3","R_2YXOR3vkRUL7HFc","standard","1","3","LP","0.264713485566566","41.009","41.285","41.625","0.616","0.34","3","9",""
"4","R_2YXOR3vkRUL7HFc","standard","1","4","LP","2.15079707022835","42.626","44.779","45.025","2.399","0.246","3","12",""
"5","R_2YXOR3vkRUL7HFc","standard","1","5","LP","13.0392072382594","46.026","59.068","59.29","13.264","0.222","3","15",""
"6","R_2YXOR3vkRUL7HFc","standard","1","6","LP","2.15079707022835","60.292","62.444","62.722","2.43","0.278","3","18",""
"7","R_2YXOR3vkRUL7HFc","standard","1","7","LP","5.5010771219302","63.724","69.227","69.467","5.743","0.24","3","21",""
"8","R_2YXOR3vkRUL7HFc","standard","1","8","LP","19.8235243429556","70.476","90.308","90.548","20.072","0.24","3","24",""
"9","R_2YXOR3vkRUL7HFc","standard","1","9","LP","2.15079707022835","91.556","93.712","93.956","2.4","0.244","3","27",""
"10","R_2YXOR3vkRUL7HFc","standard","1","10","LP","19.8235243429556","94.97","114.796","115.021","20.051","0.225","3","30",""
"11","R_2YXOR3vkRUL7HFc","standard","1","11","LP","2.15079707022835","116.028","118.18","118.453","2.425","0.273","3","33",""
"12","R_2YXOR3vkRUL7HFc","standard","1","12","LP","0.264713485566566","119.46","119.728","120.269","0.809","0.541","3","36",""
"13","R_2YXOR3vkRUL7HFc","standard","1","13","LP","5.5010771219302","121.276","126.78","127.037","5.761","0.257","3","39",""
"14","R_2YXOR3vkRUL7HFc","standard","1","14","LP","30","128.044","158.052","158.279","30.235","0.227","3","42",""
"15","R_2YXOR3vkRUL7HFc","standard","1","15","LP","8.51632916846187","159.283","167.803","168.127","8.844","0.324","3","45",""
"16","R_2YXOR3vkRUL7HFc","standard","1","16","LP","0.661783713916415","169.129","169.795","170.263","1.134","0.468","3","48",""
"17","R_2YXOR3vkRUL7HFc","standard","1","17","LP","0.264713485566566","171.267","171.539","171.743","0.476","0.204","3","51",""
"18","R_2YXOR3vkRUL7HFc","standard","1","18","LP","13.0392072382594","172.745","185.787","186.032","13.287","0.245","3","54",""
"19","R_2YXOR3vkRUL7HFc","standard","1","19","LP","8.51632916846187","187.035","195.555","195.824","8.789","0.269","3","57",""
