"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2aPK9Ep3JgWZGNo","standard","1","1","LP","0.661783713916415","0.002","0.667","1.086","1.084","0.419","3","3",""
"2","R_2aPK9Ep3JgWZGNo","standard","1","2","LP","0.264713485566566","2.09","2.37","2.672","0.582","0.302","3","6",""
"3","R_2aPK9Ep3JgWZGNo","standard","1","3","LP","2.15079707022835","3.679","5.84","6.069","2.39","0.229","3","9",""
"4","R_2aPK9Ep3JgWZGNo","standard","1","4","LP","0.264713485566566","7.08","7.354","7.613","0.533","0.259","3","12",""
"5","R_2aPK9Ep3JgWZGNo","standard","1","5","LP","5.5010771219302","8.627","14.13","14.39","5.763","0.26","3","15",""
"6","R_2aPK9Ep3JgWZGNo","standard","1","6","LP","5.5010771219302","15.396","20.906","21.21","5.814","0.304","3","18",""
"7","R_2aPK9Ep3JgWZGNo","standard","1","7","LP","1.25738905644119","22.212","23.474","23.776","1.564","0.302","3","21",""
"8","R_2aPK9Ep3JgWZGNo","standard","1","8","LP","0.661783713916415","24.778","25.442","25.768","0.99","0.326","3","24",""
"9","R_2aPK9Ep3JgWZGNo","standard","1","9","LP","19.8235243429556","26.77","46.602","46.882","20.112","0.28","3","27",""
"10","R_2aPK9Ep3JgWZGNo","standard","1","10","LP","8.51632916846187","47.901","56.429","56.688","8.787","0.259","3","30",""
"11","R_2aPK9Ep3JgWZGNo","standard","1","11","LP","8.51632916846187","57.69","66.215","66.492","8.802","0.277","3","33",""
"12","R_2aPK9Ep3JgWZGNo","standard","1","12","LP","13.0392072382594","67.498","80.555","80.806","13.308","0.251","3","36",""
"13","R_2aPK9Ep3JgWZGNo","standard","1","13","LP","0.264713485566566","81.825","82.098","82.409","0.584","0.311","3","39",""
"14","R_2aPK9Ep3JgWZGNo","standard","1","14","LP","5.5010771219302","83.413","88.914","89.197","5.784","0.283","3","42",""
"15","R_2aPK9Ep3JgWZGNo","standard","1","15","LP","13.0392072382594","90.215","103.263","103.594","13.379","0.331","3","45",""
"16","R_2aPK9Ep3JgWZGNo","standard","1","16","LP","1.25738905644119","104.601","105.866","106.125","1.524","0.259","3","48",""
"17","R_2aPK9Ep3JgWZGNo","standard","1","17","LP","8.51632916846187","107.132","115.657","115.915","8.783","0.258","3","51",""
"18","R_2aPK9Ep3JgWZGNo","standard","1","18","LP","3.49090909090909","116.918","120.417","120.683","3.765","0.266","3","54",""
"19","R_2aPK9Ep3JgWZGNo","standard","1","19","LP","0.264713485566566","121.689","121.971","122.253","0.564","0.282","3","57",""
"20","R_2aPK9Ep3JgWZGNo","standard","1","20","LP","0.264713485566566","123.258","123.531","123.789","0.531","0.258","3","60",""
"21","R_2aPK9Ep3JgWZGNo","standard","1","21","LP","8.51632916846187","124.834","133.366","133.619","8.785","0.253","3","63",""
"22","R_2aPK9Ep3JgWZGNo","standard","1","22","LP","8.51632916846187","134.62","143.141","143.385","8.765","0.244","3","66",""
"23","R_2aPK9Ep3JgWZGNo","standard","1","23","LP","2.15079707022835","144.394","146.546","146.785","2.391","0.239","3","69",""
"24","R_2aPK9Ep3JgWZGNo","standard","1","24","LP","13.0392072382594","147.796","160.841","161.095","13.299","0.254","3","72",""
"25","R_2aPK9Ep3JgWZGNo","standard","1","25","LP","13.0392072382594","162.098","175.15","175.423","13.325","0.273","3","75",""
"26","R_2aPK9Ep3JgWZGNo","standard","1","26","LP","13.0392072382594","176.431","189.476","189.731","13.3","0.255","3","78",""
