"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2bOb5uPFdQIMvEI","standard","1","1","LP","13.0392072382594","0.002","13.051","13.542","13.54","0.491","3","3",""
"2","R_2bOb5uPFdQIMvEI","standard","1","2","LP","30","14.552","44.585","45.067","30.515","0.482","3","6",""
"3","R_2bOb5uPFdQIMvEI","standard","1","3","LP","2.15079707022835","46.084","48.25","49.108","3.024","0.858","3","9",""
"4","R_2bOb5uPFdQIMvEI","standard","1","4","LP","2.15079707022835","50.118","52.282","52.727","2.609","0.445","3","12",""
"5","R_2bOb5uPFdQIMvEI","standard","1","5","LP","2.15079707022835","53.73","55.882","56.298","2.568","0.416","3","15",""
"6","R_2bOb5uPFdQIMvEI","standard","1","6","LP","13.0392072382594","57.321","70.365","70.875","13.554","0.51","3","18",""
"7","R_2bOb5uPFdQIMvEI","standard","1","7","LP","0.661783713916415","71.882","72.549","73.101","1.219","0.552","3","21",""
"8","R_2bOb5uPFdQIMvEI","standard","1","8","LP","8.51632916846187","74.118","82.649","83.248","9.13","0.599","3","24",""
"9","R_2bOb5uPFdQIMvEI","standard","1","9","LP","2.15079707022835","84.253","86.416","86.95","2.697","0.534","3","27",""
"10","R_2bOb5uPFdQIMvEI","standard","1","10","LP","2.15079707022835","87.954","90.114","90.722","2.768","0.608","3","30",""
"11","R_2bOb5uPFdQIMvEI","standard","1","11","LP","0.661783713916415","91.733","92.413","92.942","1.209","0.529","3","33",""
"12","R_2bOb5uPFdQIMvEI","standard","1","12","LP","13.0392072382594","93.948","106.999","107.41","13.462","0.411","3","36",""
"13","R_2bOb5uPFdQIMvEI","standard","1","13","LP","1.25738905644119","108.415","109.678","110.139","1.724","0.461","3","39",""
"14","R_2bOb5uPFdQIMvEI","standard","1","14","LP","1.25738905644119","111.145","112.414","112.968","1.823","0.554","3","42",""
"15","R_2bOb5uPFdQIMvEI","standard","1","15","LP","19.8235243429556","113.979","133.813","134.264","20.285","0.451","3","45",""
"16","R_2bOb5uPFdQIMvEI","standard","1","16","LP","3.49090909090909","135.281","138.778","139.258","3.977","0.48","3","48",""
"17","R_2bOb5uPFdQIMvEI","standard","1","17","LP","5.5010771219302","140.266","145.776","146.233","5.967","0.457","3","51",""
"18","R_2bOb5uPFdQIMvEI","standard","1","18","LP","8.51632916846187","147.247","155.781","156.198","8.951","0.417","3","54",""
"19","R_2bOb5uPFdQIMvEI","standard","1","19","LP","0.264713485566566","157.213","157.481","158.027","0.814","0.546","3","57",""
"20","R_2bOb5uPFdQIMvEI","standard","1","20","LP","5.5010771219302","159.031","164.546","165.031","6","0.485","3","60",""
"21","R_2bOb5uPFdQIMvEI","standard","1","21","LP","3.49090909090909","166.047","169.547","170.117","4.07","0.57","3","63",""
"22","R_2bOb5uPFdQIMvEI","standard","1","22","LP","2.15079707022835","171.122","173.28","173.795","2.673","0.515","3","66",""
"23","R_2bOb5uPFdQIMvEI","standard","1","23","LP","1.25738905644119","174.814","176.076","176.478","1.664","0.402","3","69",""
"24","R_2bOb5uPFdQIMvEI","standard","1","24","LP","19.8235243429556","177.48","197.311","197.765","20.285","0.454","3","72",""
"25","R_2bOb5uPFdQIMvEI","standard","1","25","LP","0.264713485566566","198.77","199.044","199.595","0.825","0.551","3","75",""
"26","R_2bOb5uPFdQIMvEI","standard","1","26","LP","30","200.611","230.627","231.014","30.403","0.387","3","78",""
"27","R_2bOb5uPFdQIMvEI","standard","1","27","LP","1.25738905644119","232.016","233.293","233.792","1.776","0.499","3","81",""
"28","R_2bOb5uPFdQIMvEI","standard","1","28","LP","19.8235243429556","234.81","254.644","255.19","20.38","0.546","3","84",""
"29","R_2bOb5uPFdQIMvEI","standard","1","29","LP","30","256.207","286.224","286.572","30.365","0.348","3","87",""
"30","R_2bOb5uPFdQIMvEI","standard","1","30","LP","13.0392072382594","287.593","300.644","301.38","13.787","0.736","3","90",""
"31","R_2bOb5uPFdQIMvEI","standard","1","31","LP","8.51632916846187","302.391","310.908","311.508","9.117","0.6","3","93",""
"32","R_2bOb5uPFdQIMvEI","standard","1","32","LP","2.15079707022835","312.512","314.672","315.206","2.694","0.534","3","96",""
"33","R_2bOb5uPFdQIMvEI","standard","1","33","LP","19.8235243429556","316.223","336.056","336.48","20.257","0.424","3","99",""
"34","R_2bOb5uPFdQIMvEI","standard","1","34","LP","8.51632916846187","337.491","346.021","346.524","9.033","0.503","3","102",""
"35","R_2bOb5uPFdQIMvEI","standard","1","35","LP","19.8235243429556","347.527","367.357","367.806","20.279","0.449","3","105",""
"36","R_2bOb5uPFdQIMvEI","standard","1","36","LP","30","368.823","398.825","399.212","30.389","0.387","3","108",""
"37","R_2bOb5uPFdQIMvEI","standard","1","37","LP","0.661783713916415","400.224","400.904","401.573","1.349","0.669","3","111",""
"38","R_2bOb5uPFdQIMvEI","standard","1","38","LP","0.661783713916415","402.587","403.252","403.645","1.058","0.393","3","114",""
"39","R_2bOb5uPFdQIMvEI","standard","1","39","LP","5.5010771219302","404.654","410.169","410.616","5.962","0.447","3","117",""
"40","R_2bOb5uPFdQIMvEI","standard","1","40","LP","2.15079707022835","411.625","413.785","414.504","2.879","0.719","3","114","c(""377"", ""654"")"
