"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2cp7thA27h2vish","standard","1","1","HP","16","0.003","16.022","16.892","16.889","0.87","3","3","c(""10629"", ""11583"", ""12171"", ""12499"", ""13157"", ""13353"")"
"2","R_2cp7thA27h2vish","standard","1","2","HP","14","17.894","31.906","NA","15.033","NA","0","0","c(""7568"", ""8068"", ""13682"")"
"3","R_2cp7thA27h2vish","standard","1","3","HP","20","33.92","53.925","54.663","20.743","0.738","3","3","c(""4059"", ""6291"", ""8161"", ""12959"", ""14209"", ""14545"", ""15420"", ""16122"", ""16909"")"
"4","R_2cp7thA27h2vish","standard","1","4","HP","16","55.67","71.678","72.287","16.617","0.609","3","6",""
"5","R_2cp7thA27h2vish","standard","1","5","HP","8","73.294","81.329","81.945","8.651","0.616","3","9",""
"6","R_2cp7thA27h2vish","standard","1","6","HP","4","82.955","86.958","NA","5.012","NA","0","9",""
"7","R_2cp7thA27h2vish","standard","1","7","HP","12","89.01","101.043","101.637","12.627","0.594","3","12",""
"8","R_2cp7thA27h2vish","standard","1","8","HP","20","102.637","122.647","123.218","20.581","0.571","3","15",""
"9","R_2cp7thA27h2vish","standard","1","9","HP","16","124.22","140.222","140.841","16.621","0.619","3","18",""
"10","R_2cp7thA27h2vish","standard","1","10","HP","8","141.851","149.862","150.449","8.598","0.587","3","21",""
"11","R_2cp7thA27h2vish","standard","1","11","HP","2","151.458","153.462","154.395","2.937","0.933","3","24",""
"12","R_2cp7thA27h2vish","standard","1","12","HP","16","155.4","171.407","172.038","16.638","0.631","3","27",""
"13","R_2cp7thA27h2vish","standard","1","13","HP","8","173.048","181.055","181.722","8.674","0.667","3","30",""
"14","R_2cp7thA27h2vish","standard","1","14","HP","8","182.727","190.729","191.422","8.695","0.693","3","33",""
"15","R_2cp7thA27h2vish","standard","1","15","HP","10","192.423","202.429","203.329","10.906","0.9","3","36",""
"16","R_2cp7thA27h2vish","standard","1","16","HP","20","204.33","224.335","224.928","20.598","0.593","3","39",""
"17","R_2cp7thA27h2vish","standard","1","17","HP","8","225.93","233.934","NA","9.027","NA","0","39",""
"18","R_2cp7thA27h2vish","standard","1","18","HP","4","235.959","239.966","240.728","4.769","0.762","3","39","3251"
"19","R_2cp7thA27h2vish","standard","1","19","HP","2","241.79","243.79","244.437","2.647","0.647","3","42",""
"20","R_2cp7thA27h2vish","standard","1","20","HP","20","245.452","265.454","266.06","20.608","0.606","3","45",""
"21","R_2cp7thA27h2vish","standard","1","21","HP","12","267.063","279.074","279.701","12.638","0.627","3","48",""
"22","R_2cp7thA27h2vish","standard","1","22","HP","18","280.702","298.742","299.381","18.679","0.639","3","51",""
"23","R_2cp7thA27h2vish","standard","1","23","HP","2","300.384","302.392","303.282","2.898","0.89","3","51","1679"
"24","R_2cp7thA27h2vish","standard","1","24","HP","14","304.304","318.31","318.989","14.685","0.679","3","54",""
"25","R_2cp7thA27h2vish","standard","1","25","HP","14","319.991","333.998","334.656","14.665","0.658","3","57",""
"26","R_2cp7thA27h2vish","standard","1","26","HP","16","335.664","351.67","352.259","16.595","0.589","3","60",""
"27","R_2cp7thA27h2vish","standard","1","27","HP","2","353.262","355.271","355.948","2.686","0.677","3","63",""
"28","R_2cp7thA27h2vish","standard","1","28","HP","2","356.951","358.959","359.665","2.714","0.706","3","66",""
"29","R_2cp7thA27h2vish","standard","1","29","HP","4","360.671","364.678","365.297","4.626","0.619","3","69",""
"30","R_2cp7thA27h2vish","standard","1","30","HP","18","366.302","384.311","384.998","18.696","0.687","3","72",""
"31","R_2cp7thA27h2vish","standard","1","31","HP","20","386.007","406.049","406.616","20.609","0.567","3","75",""
"32","R_2cp7thA27h2vish","standard","1","32","HP","6","407.622","413.63","414.264","6.642","0.634","3","78",""
"33","R_2cp7thA27h2vish","standard","1","33","HP","8","415.27","423.271","423.921","8.651","0.65","3","81",""
"34","R_2cp7thA27h2vish","standard","1","34","HP","6","424.922","430.928","431.518","6.596","0.59","3","84",""
"35","R_2cp7thA27h2vish","standard","1","35","HP","10","432.52","442.521","443.134","10.614","0.613","3","87",""
"36","R_2cp7thA27h2vish","standard","1","36","HP","12","444.135","456.144","456.754","12.619","0.61","3","90",""
