"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2gCrqr1LTFBdK7f","standard","1","1","LP","30","0.001","30.008","30.334","30.333","0.326","3","3",""
"2","R_2gCrqr1LTFBdK7f","standard","1","2","LP","30","31.336","61.344","61.613","30.277","0.269","3","6",""
"3","R_2gCrqr1LTFBdK7f","standard","1","3","LP","8.51632916846187","62.616","71.135","71.492","8.876","0.357","3","9",""
"4","R_2gCrqr1LTFBdK7f","standard","1","4","LP","19.8235243429556","72.496","92.319","92.581","20.085","0.262","3","12",""
"5","R_2gCrqr1LTFBdK7f","standard","1","5","LP","0.264713485566566","93.584","93.855","94.5","0.916","0.645","3","15",""
"6","R_2gCrqr1LTFBdK7f","standard","1","6","LP","19.8235243429556","95.504","115.335","115.628","20.124","0.293","3","18",""
"7","R_2gCrqr1LTFBdK7f","standard","1","7","LP","3.49090909090909","116.632","120.126","120.428","3.796","0.302","3","21",""
"8","R_2gCrqr1LTFBdK7f","standard","1","8","LP","19.8235243429556","121.431","141.256","141.533","20.102","0.277","3","24",""
"9","R_2gCrqr1LTFBdK7f","standard","1","9","LP","1.25738905644119","142.537","143.8","144.084","1.547","0.284","3","27",""
"10","R_2gCrqr1LTFBdK7f","standard","1","10","LP","0.264713485566566","145.089","145.361","145.724","0.635","0.363","3","30",""
"11","R_2gCrqr1LTFBdK7f","standard","1","11","LP","19.8235243429556","146.729","166.561","166.868","20.139","0.307","3","33",""
"12","R_2gCrqr1LTFBdK7f","standard","1","12","LP","8.51632916846187","167.873","176.393","176.795","8.922","0.402","3","33","6963"
"13","R_2gCrqr1LTFBdK7f","standard","1","13","LP","2.15079707022835","177.8","179.952","180.42","2.62","0.468","3","36",""
"14","R_2gCrqr1LTFBdK7f","standard","1","14","LP","13.0392072382594","181.424","194.474","194.797","13.373","0.323","3","39",""
"15","R_2gCrqr1LTFBdK7f","standard","1","15","LP","1.25738905644119","195.802","197.066","197.444","1.642","0.378","3","42",""
"16","R_2gCrqr1LTFBdK7f","standard","1","16","LP","2.15079707022835","198.449","200.601","200.9","2.451","0.299","3","45",""
"17","R_2gCrqr1LTFBdK7f","standard","1","17","LP","13.0392072382594","201.905","214.954","215.308","13.403","0.354","3","48",""
"18","R_2gCrqr1LTFBdK7f","standard","1","18","LP","19.8235243429556","216.314","236.146","236.436","20.122","0.29","3","51",""
"19","R_2gCrqr1LTFBdK7f","standard","1","19","LP","1.25738905644119","237.442","238.706","239.211","1.769","0.505","3","54",""
"20","R_2gCrqr1LTFBdK7f","standard","1","20","LP","30","240.212","270.218","270.515","30.303","0.297","3","57",""
"21","R_2gCrqr1LTFBdK7f","standard","1","21","LP","5.5010771219302","271.522","277.024","277.331","5.809","0.307","3","60",""
"22","R_2gCrqr1LTFBdK7f","standard","1","22","LP","19.8235243429556","278.338","298.17","298.491","20.153","0.321","3","63",""
"23","R_2gCrqr1LTFBdK7f","standard","1","23","LP","5.5010771219302","299.498","305.002","305.37","5.872","0.368","3","66",""
"24","R_2gCrqr1LTFBdK7f","standard","1","24","LP","8.51632916846187","306.377","314.899","315.212","8.835","0.313","3","69",""
"25","R_2gCrqr1LTFBdK7f","standard","1","25","LP","0.264713485566566","316.213","316.483","316.947","0.734","0.464","3","72",""
"26","R_2gCrqr1LTFBdK7f","standard","1","26","LP","30","317.955","347.963","348.267","30.312","0.304","3","75",""
"27","R_2gCrqr1LTFBdK7f","standard","1","27","LP","3.49090909090909","349.275","352.771","353.202","3.927","0.431","3","78",""
"28","R_2gCrqr1LTFBdK7f","standard","1","28","LP","13.0392072382594","354.211","367.251","367.571","13.36","0.32","3","81",""
"29","R_2gCrqr1LTFBdK7f","standard","1","29","LP","2.15079707022835","368.58","370.731","371.09","2.51","0.359","3","84",""
"30","R_2gCrqr1LTFBdK7f","standard","1","30","LP","0.661783713916415","372.091","372.755","373.195","1.104","0.44","3","87",""
