"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2rYlWIJcQkXYMFJ","standard","1","1","LP","0.661783713916415","0","0.667","1.148","1.148","0.481","3","3",""
"2","R_2rYlWIJcQkXYMFJ","standard","1","2","LP","30","2.158","32.162","32.49","30.332","0.328","3","3","14261"
"3","R_2rYlWIJcQkXYMFJ","standard","1","3","LP","30","33.5","63.509","63.825","30.325","0.316","3","6",""
"4","R_2rYlWIJcQkXYMFJ","standard","1","4","LP","3.49090909090909","64.831","68.332","68.721","3.89","0.389","3","9",""
"5","R_2rYlWIJcQkXYMFJ","standard","1","5","LP","0.264713485566566","69.73","69.995","70.473","0.743","0.478","3","12",""
"6","R_2rYlWIJcQkXYMFJ","standard","1","6","LP","5.5010771219302","71.477","76.982","77.296","5.819","0.314","3","15",""
"7","R_2rYlWIJcQkXYMFJ","standard","1","7","LP","8.51632916846187","78.309","86.837","87.184","8.875","0.347","3","18",""
"8","R_2rYlWIJcQkXYMFJ","standard","1","8","LP","5.5010771219302","88.195","93.703","94.079","5.884","0.376","3","21",""
"9","R_2rYlWIJcQkXYMFJ","standard","1","9","LP","5.5010771219302","95.09","100.594","100.942","5.852","0.348","3","24",""
"10","R_2rYlWIJcQkXYMFJ","standard","1","10","LP","13.0392072382594","101.946","114.991","115.366","13.42","0.375","3","27",""
"11","R_2rYlWIJcQkXYMFJ","standard","1","11","LP","2.15079707022835","116.371","118.538","118.893","2.522","0.355","3","30",""
"12","R_2rYlWIJcQkXYMFJ","standard","1","12","LP","3.49090909090909","119.908","123.411","123.741","3.833","0.33","3","33",""
"13","R_2rYlWIJcQkXYMFJ","standard","1","13","LP","1.25738905644119","124.752","126.009","126.381","1.629","0.372","3","36",""
"14","R_2rYlWIJcQkXYMFJ","standard","1","14","LP","1.25738905644119","127.395","128.654","129.021","1.626","0.367","3","39",""
"15","R_2rYlWIJcQkXYMFJ","standard","1","15","LP","8.51632916846187","130.024","138.552","138.877","8.853","0.325","3","42",""
"16","R_2rYlWIJcQkXYMFJ","standard","1","16","LP","1.25738905644119","139.878","141.136","141.5","1.622","0.364","3","45",""
"17","R_2rYlWIJcQkXYMFJ","standard","1","17","LP","8.51632916846187","142.505","151.028","151.419","8.914","0.391","3","48",""
"18","R_2rYlWIJcQkXYMFJ","standard","1","18","LP","2.15079707022835","152.429","154.589","154.988","2.559","0.399","3","51",""
"19","R_2rYlWIJcQkXYMFJ","standard","1","19","LP","0.661783713916415","155.988","156.66","157.187","1.199","0.527","3","54",""
"20","R_2rYlWIJcQkXYMFJ","standard","1","20","LP","13.0392072382594","158.198","171.239","171.555","13.357","0.316","3","57",""
"21","R_2rYlWIJcQkXYMFJ","standard","1","21","LP","0.661783713916415","172.565","173.232","173.626","1.061","0.394","3","60",""
"22","R_2rYlWIJcQkXYMFJ","standard","1","22","LP","19.8235243429556","174.632","194.47","194.817","20.185","0.347","3","63",""
"23","R_2rYlWIJcQkXYMFJ","standard","1","23","LP","5.5010771219302","195.823","201.327","201.69","5.867","0.363","3","66",""
"24","R_2rYlWIJcQkXYMFJ","standard","1","24","LP","0.264713485566566","202.701","202.966","203.385","0.684","0.419","3","69",""
"25","R_2rYlWIJcQkXYMFJ","standard","1","25","LP","3.49090909090909","204.386","207.888","208.288","3.902","0.4","3","72",""
"26","R_2rYlWIJcQkXYMFJ","standard","1","26","LP","0.264713485566566","209.291","209.555","209.937","0.646","0.382","3","75",""
"27","R_2rYlWIJcQkXYMFJ","standard","1","27","LP","0.264713485566566","210.946","211.21","211.545","0.599","0.335","3","78",""
