"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2sQPdsOWhQAKyDt","standard","1","1","LP","2.15079707022835","0.001","2.171","2.571","2.57","0.4","3","3",""
"2","R_2sQPdsOWhQAKyDt","standard","1","2","LP","2.15079707022835","3.585","5.74","6.107","2.522","0.367","3","6",""
"3","R_2sQPdsOWhQAKyDt","standard","1","3","LP","19.8235243429556","7.116","26.941","27.34","20.224","0.399","3","9",""
"4","R_2sQPdsOWhQAKyDt","standard","1","4","LP","5.5010771219302","28.346","33.853","34.731","6.385","0.878","3","12",""
"5","R_2sQPdsOWhQAKyDt","standard","1","5","LP","0.661783713916415","35.733","36.399","NA","1.682","NA","0","12",""
"6","R_2sQPdsOWhQAKyDt","standard","1","6","LP","2.15079707022835","38.419","40.573","40.955","2.536","0.382","3","15",""
"7","R_2sQPdsOWhQAKyDt","standard","1","7","LP","30","41.957","71.981","72.315","30.358","0.334","3","18",""
"8","R_2sQPdsOWhQAKyDt","standard","1","8","LP","0.661783713916415","73.316","73.996","74.379","1.063","0.383","3","21",""
"9","R_2sQPdsOWhQAKyDt","standard","1","9","LP","19.8235243429556","75.394","95.221","95.595","20.201","0.374","3","24",""
"10","R_2sQPdsOWhQAKyDt","standard","1","10","LP","13.0392072382594","96.62","109.668","110.011","13.391","0.343","3","27",""
"11","R_2sQPdsOWhQAKyDt","standard","1","11","LP","19.8235243429556","111.015","130.845","131.202","20.187","0.357","3","30",""
"12","R_2sQPdsOWhQAKyDt","standard","1","12","LP","3.49090909090909","132.217","135.721","136.266","4.049","0.545","3","33",""
"13","R_2sQPdsOWhQAKyDt","standard","1","13","LP","0.264713485566566","137.275","137.541","138.178","0.903","0.637","3","36",""
"14","R_2sQPdsOWhQAKyDt","standard","1","14","LP","8.51632916846187","139.19","147.72","148.09","8.9","0.37","3","39",""
"15","R_2sQPdsOWhQAKyDt","standard","1","15","LP","2.15079707022835","149.102","151.26","151.586","2.484","0.326","3","42",""
"16","R_2sQPdsOWhQAKyDt","standard","1","16","LP","19.8235243429556","152.607","172.437","172.866","20.259","0.429","3","45",""
"17","R_2sQPdsOWhQAKyDt","standard","1","17","LP","8.51632916846187","173.878","182.408","182.809","8.931","0.401","3","48",""
"18","R_2sQPdsOWhQAKyDt","standard","1","18","LP","0.264713485566566","183.813","184.091","184.65","0.837","0.559","3","51",""
"19","R_2sQPdsOWhQAKyDt","standard","1","19","LP","8.51632916846187","185.653","194.188","194.601","8.948","0.413","3","54",""
"20","R_2sQPdsOWhQAKyDt","standard","1","20","LP","5.5010771219302","195.619","201.121","201.642","6.023","0.521","3","57",""
"21","R_2sQPdsOWhQAKyDt","standard","1","21","LP","30","202.648","232.659","233.001","30.353","0.342","3","60",""
"22","R_2sQPdsOWhQAKyDt","standard","1","22","LP","3.49090909090909","234.007","237.506","238.129","4.122","0.623","3","63",""
"23","R_2sQPdsOWhQAKyDt","standard","1","23","LP","8.51632916846187","239.133","247.665","248.041","8.908","0.376","3","66",""
"24","R_2sQPdsOWhQAKyDt","standard","1","24","LP","0.264713485566566","249.044","249.319","249.785","0.741","0.466","3","69",""
"25","R_2sQPdsOWhQAKyDt","standard","1","25","LP","8.51632916846187","250.801","259.319","259.729","8.928","0.41","3","72",""
"26","R_2sQPdsOWhQAKyDt","standard","1","26","LP","5.5010771219302","260.733","266.237","266.68","5.947","0.443","3","75",""
"27","R_2sQPdsOWhQAKyDt","standard","1","27","LP","8.51632916846187","267.695","276.216","276.736","9.041","0.52","3","78",""
"28","R_2sQPdsOWhQAKyDt","standard","1","28","LP","1.25738905644119","277.742","279.007","279.439","1.697","0.432","3","81",""
"29","R_2sQPdsOWhQAKyDt","standard","1","29","LP","30","280.459","310.466","310.896","30.437","0.43","3","84",""
"30","R_2sQPdsOWhQAKyDt","standard","1","30","LP","13.0392072382594","311.912","324.957","325.368","13.456","0.411","3","87",""
"31","R_2sQPdsOWhQAKyDt","standard","1","31","LP","19.8235243429556","326.384","346.218","346.632","20.248","0.414","3","90",""
"32","R_2sQPdsOWhQAKyDt","standard","1","32","LP","13.0392072382594","347.638","360.696","361.216","13.578","0.52","3","93",""
"33","R_2sQPdsOWhQAKyDt","standard","1","33","LP","1.25738905644119","362.218","363.48","363.879","1.661","0.399","3","96",""
"34","R_2sQPdsOWhQAKyDt","standard","1","34","LP","5.5010771219302","364.896","370.41","370.839","5.943","0.429","3","99",""
"35","R_2sQPdsOWhQAKyDt","standard","1","35","LP","5.5010771219302","371.845","377.349","377.751","5.906","0.402","3","102",""
"36","R_2sQPdsOWhQAKyDt","standard","1","36","LP","0.264713485566566","378.754","379.021","379.575","0.821","0.554","3","105",""
"37","R_2sQPdsOWhQAKyDt","standard","1","37","LP","1.25738905644119","380.591","381.852","382.246","1.655","0.394","3","108",""
"38","R_2sQPdsOWhQAKyDt","standard","1","38","LP","5.5010771219302","383.274","388.788","389.263","5.989","0.475","3","111",""
"39","R_2sQPdsOWhQAKyDt","standard","1","39","LP","3.49090909090909","390.266","393.77","394.366","4.1","0.596","3","114",""
"40","R_2sQPdsOWhQAKyDt","standard","1","40","LP","8.51632916846187","395.385","403.91","404.303","8.918","0.393","3","117",""
