"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2sZuv7hfguWqmQi","standard","1","1","HP","20","0.001","20.004","20.396","20.395","0.392","3","3",""
"2","R_2sZuv7hfguWqmQi","standard","1","2","HP","20","21.403","41.408","41.757","20.354","0.349","3","6",""
"3","R_2sZuv7hfguWqmQi","standard","1","3","HP","10","42.762","52.77","53.1","10.338","0.33","3","9",""
"4","R_2sZuv7hfguWqmQi","standard","1","4","HP","10","54.107","64.111","64.52","10.413","0.409","3","12",""
"5","R_2sZuv7hfguWqmQi","standard","1","5","HP","20","65.53","85.537","85.842","20.312","0.305","3","15",""
"6","R_2sZuv7hfguWqmQi","standard","1","6","HP","20","86.85","106.856","107.162","20.312","0.306","3","18",""
"7","R_2sZuv7hfguWqmQi","standard","1","7","HP","8","108.169","116.177","116.557","8.388","0.38","3","21",""
"8","R_2sZuv7hfguWqmQi","standard","1","8","HP","14","117.561","131.568","131.961","14.4","0.393","3","24",""
"9","R_2sZuv7hfguWqmQi","standard","1","9","HP","10","132.969","142.976","143.799","10.83","0.823","3","27",""
"10","R_2sZuv7hfguWqmQi","standard","1","10","HP","20","144.805","164.806","165.275","20.47","0.469","3","30",""
"11","R_2sZuv7hfguWqmQi","standard","1","11","HP","10","166.279","176.287","176.668","10.389","0.381","3","33",""
"12","R_2sZuv7hfguWqmQi","standard","1","12","HP","12","177.67","189.679","190.002","12.332","0.323","3","36",""
"13","R_2sZuv7hfguWqmQi","standard","1","13","HP","16","191.004","207.005","207.324","16.32","0.319","3","39",""
"14","R_2sZuv7hfguWqmQi","standard","1","14","HP","18","208.326","226.334","226.632","18.306","0.298","3","42",""
"15","R_2sZuv7hfguWqmQi","standard","1","15","HP","18","227.638","245.645","245.932","18.294","0.287","3","45",""
"16","R_2sZuv7hfguWqmQi","standard","1","16","HP","4","246.941","250.952","251.286","4.345","0.334","3","48",""
"17","R_2sZuv7hfguWqmQi","standard","1","17","HP","2","252.294","254.302","254.665","2.371","0.363","3","51",""
"18","R_2sZuv7hfguWqmQi","standard","1","18","HP","2","255.671","257.678","257.988","2.317","0.31","3","54",""
"19","R_2sZuv7hfguWqmQi","standard","1","19","HP","18","258.99","276.999","277.318","18.328","0.319","3","57",""
"20","R_2sZuv7hfguWqmQi","standard","1","20","HP","12","278.323","290.326","290.636","12.313","0.31","3","60",""
"21","R_2sZuv7hfguWqmQi","standard","1","21","HP","18","291.638","309.646","309.997","18.359","0.351","3","63",""
"22","R_2sZuv7hfguWqmQi","standard","1","22","HP","20","310.999","331.004","331.385","20.386","0.381","3","66",""
"23","R_2sZuv7hfguWqmQi","standard","1","23","HP","6","332.39","338.402","338.768","6.378","0.366","3","69",""
"24","R_2sZuv7hfguWqmQi","standard","1","24","HP","14","339.773","353.782","354.262","14.489","0.48","3","72",""
"25","R_2sZuv7hfguWqmQi","standard","1","25","HP","4","355.268","359.277","359.638","4.37","0.361","3","75",""
"26","R_2sZuv7hfguWqmQi","standard","1","26","HP","4","360.646","364.654","365.063","4.417","0.409","3","78",""
