"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2t9Jit0HtKQtJBk","standard","1","1","LP","19.8235243429556","0.002","19.827","20.217","20.215","0.39","3","3",""
"2","R_2t9Jit0HtKQtJBk","standard","1","2","LP","1.25738905644119","21.218","22.481","NA","2.267","NA","0","3",""
"3","R_2t9Jit0HtKQtJBk","standard","1","3","LP","0.661783713916415","24.49","25.156","25.531","1.041","0.375","3","6",""
"4","R_2t9Jit0HtKQtJBk","standard","1","4","LP","1.25738905644119","26.536","27.797","28.144","1.608","0.347","3","9",""
"5","R_2t9Jit0HtKQtJBk","standard","1","5","LP","3.49090909090909","29.145","32.639","33.042","3.897","0.403","3","12",""
"6","R_2t9Jit0HtKQtJBk","standard","1","6","LP","5.5010771219302","34.043","39.55","39.938","5.895","0.388","3","15",""
"7","R_2t9Jit0HtKQtJBk","standard","1","7","LP","0.264713485566566","40.943","41.208","41.634","0.691","0.426","3","18",""
"8","R_2t9Jit0HtKQtJBk","standard","1","8","LP","19.8235243429556","42.636","62.465","62.819","20.183","0.354","3","18","606"
"9","R_2t9Jit0HtKQtJBk","standard","1","9","LP","19.8235243429556","63.823","83.648","84.019","20.196","0.371","3","21",""
"10","R_2t9Jit0HtKQtJBk","standard","1","10","LP","1.25738905644119","85.02","86.278","86.809","1.789","0.531","3","24",""
"11","R_2t9Jit0HtKQtJBk","standard","1","11","LP","5.5010771219302","87.81","93.313","93.657","5.847","0.344","3","27",""
"12","R_2t9Jit0HtKQtJBk","standard","1","12","LP","3.49090909090909","94.658","98.152","98.529","3.871","0.377","3","30",""
"13","R_2t9Jit0HtKQtJBk","standard","1","13","LP","3.49090909090909","99.533","103.025","103.465","3.932","0.44","3","33",""
"14","R_2t9Jit0HtKQtJBk","standard","1","14","LP","30","104.466","134.467","134.834","30.368","0.367","3","33","7751"
"15","R_2t9Jit0HtKQtJBk","standard","1","15","LP","5.5010771219302","135.835","141.337","141.792","5.957","0.455","3","36",""
