"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2tfoXkAYLopiIUX","standard","1","1","LP","30","0","30.014","30.332","30.332","0.318","3","3",""
"2","R_2tfoXkAYLopiIUX","standard","1","2","LP","13.0392072382594","31.34","44.384","44.765","13.425","0.381","3","6",""
"3","R_2tfoXkAYLopiIUX","standard","1","3","LP","30","45.767","75.775","76.105","30.338","0.33","3","9",""
"4","R_2tfoXkAYLopiIUX","standard","1","4","LP","19.8235243429556","77.108","96.934","97.362","20.254","0.428","3","12",""
"5","R_2tfoXkAYLopiIUX","standard","1","5","LP","0.661783713916415","98.367","99.031","99.959","1.592","0.928","3","15",""
"6","R_2tfoXkAYLopiIUX","standard","1","6","LP","30","100.967","130.975","131.296","30.329","0.321","3","18",""
"7","R_2tfoXkAYLopiIUX","standard","1","7","LP","13.0392072382594","132.306","145.35","145.771","13.465","0.421","3","21",""
"8","R_2tfoXkAYLopiIUX","standard","1","8","LP","0.264713485566566","146.775","147.045","147.576","0.801","0.531","3","24",""
"9","R_2tfoXkAYLopiIUX","standard","1","9","LP","8.51632916846187","148.584","157.103","157.467","8.883","0.364","3","27",""
"10","R_2tfoXkAYLopiIUX","standard","1","10","LP","19.8235243429556","158.481","178.308","178.629","20.148","0.321","3","30",""
"11","R_2tfoXkAYLopiIUX","standard","1","11","LP","30","179.64","209.644","209.98","30.34","0.336","3","33",""
"12","R_2tfoXkAYLopiIUX","standard","1","12","LP","5.5010771219302","210.989","216.503","216.903","5.914","0.4","3","36",""
"13","R_2tfoXkAYLopiIUX","standard","1","13","LP","0.264713485566566","217.907","218.183","218.629","0.722","0.446","3","39",""
"14","R_2tfoXkAYLopiIUX","standard","1","14","LP","1.25738905644119","219.634","220.9","221.279","1.645","0.379","3","42",""
"15","R_2tfoXkAYLopiIUX","standard","1","15","LP","13.0392072382594","222.283","235.332","235.663","13.38","0.331","3","45",""
