"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2tlfygPA1JAVJ4g","standard","1","1","LP","0.661783713916415","0.001","0.669","1.211","1.21","0.542","3","3",""
"2","R_2tlfygPA1JAVJ4g","standard","1","2","LP","8.51632916846187","2.213","10.732","11.15","8.937","0.418","3","6",""
"3","R_2tlfygPA1JAVJ4g","standard","1","3","LP","30","12.157","42.165","42.525","30.368","0.36","3","9",""
"4","R_2tlfygPA1JAVJ4g","standard","1","4","LP","3.49090909090909","43.534","47.029","47.563","4.029","0.534","3","12",""
"5","R_2tlfygPA1JAVJ4g","standard","1","5","LP","1.25738905644119","48.564","49.828","50.187","1.623","0.359","3","15",""
"6","R_2tlfygPA1JAVJ4g","standard","1","6","LP","30","51.189","81.197","81.581","30.392","0.384","3","18",""
"7","R_2tlfygPA1JAVJ4g","standard","1","7","LP","1.25738905644119","82.59","83.853","84.539","1.949","0.686","3","21",""
"8","R_2tlfygPA1JAVJ4g","standard","1","8","LP","13.0392072382594","85.542","98.581","98.94","13.398","0.359","3","24",""
"9","R_2tlfygPA1JAVJ4g","standard","1","9","LP","19.8235243429556","99.949","119.773","120.092","20.143","0.319","3","27",""
"10","R_2tlfygPA1JAVJ4g","standard","1","10","LP","3.49090909090909","121.101","124.598","125.29","4.189","0.692","3","30",""
"11","R_2tlfygPA1JAVJ4g","standard","1","11","LP","3.49090909090909","126.293","129.789","130.124","3.831","0.335","3","33",""
"12","R_2tlfygPA1JAVJ4g","standard","1","12","LP","30","131.125","161.134","161.435","30.31","0.301","3","36",""
"13","R_2tlfygPA1JAVJ4g","standard","1","13","LP","2.15079707022835","162.438","164.589","165.258","2.82","0.669","3","39",""
"14","R_2tlfygPA1JAVJ4g","standard","1","14","LP","2.15079707022835","166.261","168.413","169.034","2.773","0.621","3","42",""
"15","R_2tlfygPA1JAVJ4g","standard","1","15","LP","0.264713485566566","170.035","170.301","170.714","0.679","0.413","3","45",""
"16","R_2tlfygPA1JAVJ4g","standard","1","16","LP","0.264713485566566","171.717","171.989","172.348","0.631","0.359","3","48",""
"17","R_2tlfygPA1JAVJ4g","standard","1","17","LP","5.5010771219302","173.35","178.854","179.258","5.908","0.404","3","51",""
"18","R_2tlfygPA1JAVJ4g","standard","1","18","LP","5.5010771219302","180.262","185.765","186.188","5.926","0.423","3","54",""
"19","R_2tlfygPA1JAVJ4g","standard","1","19","LP","1.25738905644119","187.189","188.453","188.778","1.589","0.325","3","57",""
"20","R_2tlfygPA1JAVJ4g","standard","1","20","LP","3.49090909090909","189.781","193.278","193.578","3.797","0.3","3","60",""
"21","R_2tlfygPA1JAVJ4g","standard","1","21","LP","5.5010771219302","194.582","200.086","200.524","5.942","0.438","3","63",""
"22","R_2tlfygPA1JAVJ4g","standard","1","22","LP","30","201.526","231.534","231.868","30.342","0.334","3","66",""
"23","R_2tlfygPA1JAVJ4g","standard","1","23","LP","30","232.87","262.878","263.244","30.374","0.366","3","69",""
"24","R_2tlfygPA1JAVJ4g","standard","1","24","LP","30","264.246","294.254","294.555","30.309","0.301","3","72",""
"25","R_2tlfygPA1JAVJ4g","standard","1","25","LP","1.25738905644119","295.558","296.822","297.177","1.619","0.355","3","75",""
