"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2txR6PdFt4OQP0Q","standard","1","1","LP","0.264713485566566","0.001","0.287","NA","1.299","NA","0","0",""
"2","R_2txR6PdFt4OQP0Q","standard","1","2","LP","0.661783713916415","2.306","2.969","3.363","1.057","0.394","3","3",""
"3","R_2txR6PdFt4OQP0Q","standard","1","3","LP","13.0392072382594","4.369","17.424","17.789","13.42","0.365","3","6",""
"4","R_2txR6PdFt4OQP0Q","standard","1","4","LP","3.49090909090909","18.809","22.314","22.739","3.93","0.425","3","9",""
"5","R_2txR6PdFt4OQP0Q","standard","1","5","LP","2.15079707022835","23.746","25.9","26.252","2.506","0.352","3","12",""
"6","R_2txR6PdFt4OQP0Q","standard","1","6","LP","0.661783713916415","27.265","27.934","28.435","1.17","0.501","3","15",""
"7","R_2txR6PdFt4OQP0Q","standard","1","7","LP","8.51632916846187","29.441","37.966","38.388","8.947","0.422","3","18",""
"8","R_2txR6PdFt4OQP0Q","standard","1","8","LP","19.8235243429556","39.4","59.236","59.597","20.197","0.361","3","21",""
"9","R_2txR6PdFt4OQP0Q","standard","1","9","LP","3.49090909090909","60.605","64.098","64.492","3.887","0.394","3","24",""
"10","R_2txR6PdFt4OQP0Q","standard","1","10","LP","13.0392072382594","65.51","78.561","78.909","13.399","0.348","3","27",""
"11","R_2txR6PdFt4OQP0Q","standard","1","11","LP","5.5010771219302","79.911","85.417","85.86","5.949","0.443","3","30",""
"12","R_2txR6PdFt4OQP0Q","standard","1","12","LP","19.8235243429556","86.887","106.723","107.061","20.174","0.338","3","33",""
"13","R_2txR6PdFt4OQP0Q","standard","1","13","LP","19.8235243429556","108.077","127.912","128.381","20.304","0.469","3","36",""
"14","R_2txR6PdFt4OQP0Q","standard","1","14","LP","13.0392072382594","129.398","142.441","142.867","13.469","0.426","3","39",""
"15","R_2txR6PdFt4OQP0Q","standard","1","15","LP","3.49090909090909","143.882","147.378","148.06","4.178","0.682","3","42",""
