"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2v7ceekgpfccsxP","standard","1","1","HP","12","0.005","12.018","12.377","12.372","0.359","3","3",""
"2","R_2v7ceekgpfccsxP","standard","1","2","HP","2","13.383","15.389","NA","3.017","NA","0","3",""
"3","R_2v7ceekgpfccsxP","standard","1","3","HP","18","17.404","35.418","35.735","18.331","0.317","3","6",""
"4","R_2v7ceekgpfccsxP","standard","1","4","HP","14","36.737","50.74","51.103","14.366","0.363","3","9",""
"5","R_2v7ceekgpfccsxP","standard","1","5","HP","18","52.116","70.118","70.481","18.365","0.363","3","12",""
"6","R_2v7ceekgpfccsxP","standard","1","6","HP","12","71.487","83.491","83.838","12.351","0.347","3","15",""
"7","R_2v7ceekgpfccsxP","standard","1","7","HP","2","84.841","86.844","NA","3.015","NA","0","15",""
"8","R_2v7ceekgpfccsxP","standard","1","8","HP","18","88.857","106.863","107.158","18.301","0.295","3","18",""
"9","R_2v7ceekgpfccsxP","standard","1","9","HP","16","108.161","124.165","124.528","16.367","0.363","3","21",""
"10","R_2v7ceekgpfccsxP","standard","1","10","HP","16","125.53","141.532","141.918","16.388","0.386","3","24",""
"11","R_2v7ceekgpfccsxP","standard","1","11","HP","10","142.924","152.927","153.265","10.341","0.338","3","27",""
"12","R_2v7ceekgpfccsxP","standard","1","12","HP","6","154.271","160.276","160.585","6.314","0.309","3","30",""
"13","R_2v7ceekgpfccsxP","standard","1","13","HP","14","161.589","175.594","175.898","14.309","0.304","3","33",""
"14","R_2v7ceekgpfccsxP","standard","1","14","HP","6","176.904","182.914","183.366","6.462","0.452","3","36",""
"15","R_2v7ceekgpfccsxP","standard","1","15","HP","16","184.37","200.374","200.689","16.319","0.315","3","39",""
"16","R_2v7ceekgpfccsxP","standard","1","16","HP","4","201.693","205.7","206.186","4.493","0.486","3","42",""
