"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2vZhfa2QS34pMxD","standard","1","1","HP","12","0.001","12.007","12.329","12.328","0.322","3","3",""
"2","R_2vZhfa2QS34pMxD","standard","1","2","HP","16","13.335","29.338","29.744","16.409","0.406","3","6",""
"3","R_2vZhfa2QS34pMxD","standard","1","3","HP","18","30.75","48.758","49.088","18.338","0.33","3","9",""
"4","R_2vZhfa2QS34pMxD","standard","1","4","HP","10","50.094","60.102","60.59","10.496","0.488","3","12",""
"5","R_2vZhfa2QS34pMxD","standard","1","5","HP","12","61.599","73.607","73.909","12.31","0.302","3","15",""
"6","R_2vZhfa2QS34pMxD","standard","1","6","HP","2","74.911","76.919","77.367","2.456","0.448","3","18",""
"7","R_2vZhfa2QS34pMxD","standard","1","7","HP","8","78.376","86.383","86.813","8.437","0.43","3","21",""
"8","R_2vZhfa2QS34pMxD","standard","1","8","HP","6","87.815","93.823","94.222","6.407","0.399","3","24",""
"9","R_2vZhfa2QS34pMxD","standard","1","9","HP","14","95.222","109.228","109.539","14.317","0.311","3","27",""
"10","R_2vZhfa2QS34pMxD","standard","1","10","HP","14","110.543","124.55","124.834","14.291","0.284","3","30",""
"11","R_2vZhfa2QS34pMxD","standard","1","11","HP","14","125.839","139.84","140.109","14.27","0.269","3","33",""
"12","R_2vZhfa2QS34pMxD","standard","1","12","HP","2","141.11","143.119","143.491","2.381","0.372","3","36",""
"13","R_2vZhfa2QS34pMxD","standard","1","13","HP","20","144.494","164.502","164.762","20.268","0.26","3","39",""
"14","R_2vZhfa2QS34pMxD","standard","1","14","HP","4","165.766","169.775","170.099","4.333","0.324","3","42",""
"15","R_2vZhfa2QS34pMxD","standard","1","15","HP","10","171.102","181.103","181.456","10.354","0.353","3","45",""
