"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2xQQEtay5DxyzIY","standard","1","1","HP","16","0.005","16.01","16.895","16.89","0.885","3","3",""
"2","R_2xQQEtay5DxyzIY","standard","1","2","HP","12","17.904","29.917","30.606","12.702","0.689","3","6",""
"3","R_2xQQEtay5DxyzIY","standard","1","3","HP","4","31.609","35.614","36.438","4.829","0.824","3","9",""
"4","R_2xQQEtay5DxyzIY","standard","1","4","HP","6","37.444","43.448","44.089","6.645","0.641","3","12",""
"5","R_2xQQEtay5DxyzIY","standard","1","5","HP","20","45.108","65.127","65.767","20.659","0.64","3","15",""
"6","R_2xQQEtay5DxyzIY","standard","1","6","HP","12","66.775","78.784","79.406","12.631","0.622","3","18",""
"7","R_2xQQEtay5DxyzIY","standard","1","7","HP","6","80.436","86.439","87.081","6.645","0.642","3","21",""
"8","R_2xQQEtay5DxyzIY","standard","1","8","HP","2","88.135","90.143","90.991","2.856","0.848","3","24",""
"9","R_2xQQEtay5DxyzIY","standard","1","9","HP","18","92","110.007","110.58","18.58","0.573","3","27",""
"10","R_2xQQEtay5DxyzIY","standard","1","10","HP","8","111.584","119.592","120.257","8.673","0.665","3","30",""
"11","R_2xQQEtay5DxyzIY","standard","1","11","HP","20","121.264","141.272","142.064","20.8","0.792","3","33",""
"12","R_2xQQEtay5DxyzIY","standard","1","12","HP","16","143.072","159.079","159.754","16.682","0.675","3","36",""
"13","R_2xQQEtay5DxyzIY","standard","1","13","HP","8","160.779","168.784","169.568","8.789","0.784","3","39",""
"14","R_2xQQEtay5DxyzIY","standard","1","14","HP","18","170.583","188.591","189.438","18.855","0.847","3","42",""
"15","R_2xQQEtay5DxyzIY","standard","1","15","HP","14","190.449","204.455","205.152","14.703","0.697","3","45",""
"16","R_2xQQEtay5DxyzIY","standard","1","16","HP","2","206.159","208.168","NA","3.018","NA","0","45",""
"17","R_2xQQEtay5DxyzIY","standard","1","17","HP","18","210.184","228.191","228.818","18.634","0.627","3","48",""
"18","R_2xQQEtay5DxyzIY","standard","1","18","HP","8","229.824","237.828","238.535","8.711","0.707","3","51",""
"19","R_2xQQEtay5DxyzIY","standard","1","19","HP","20","239.545","259.552","260.361","20.816","0.809","3","54",""
"20","R_2xQQEtay5DxyzIY","standard","1","20","HP","14","261.478","275.488","276.192","14.714","0.704","3","57",""
"21","R_2xQQEtay5DxyzIY","standard","1","21","HP","14","277.237","291.353","292.075","14.838","0.722","3","60",""
"22","R_2xQQEtay5DxyzIY","standard","1","22","HP","8","293.08","301.087","301.692","8.612","0.605","3","63",""
"23","R_2xQQEtay5DxyzIY","standard","1","23","HP","6","302.743","308.752","309.581","6.838","0.829","3","66",""
"24","R_2xQQEtay5DxyzIY","standard","1","24","HP","10","310.583","320.591","321.297","10.714","0.706","3","69",""
"25","R_2xQQEtay5DxyzIY","standard","1","25","HP","8","322.304","330.317","331.145","8.841","0.828","3","72",""
"26","R_2xQQEtay5DxyzIY","standard","1","26","HP","8","332.152","340.16","340.931","8.779","0.771","3","75",""
"27","R_2xQQEtay5DxyzIY","standard","1","27","HP","18","341.981","360.072","360.576","18.595","0.504","3","78",""
"28","R_2xQQEtay5DxyzIY","standard","1","28","HP","14","361.584","375.592","376.294","14.71","0.702","3","81",""
