"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2xz1vGgxLWEkTDm","standard","1","1","HP","14","0.002","14.007","14.701","14.699","0.694","3","3",""
"2","R_2xz1vGgxLWEkTDm","standard","1","2","HP","12","15.708","27.709","28.392","12.684","0.683","3","6",""
"3","R_2xz1vGgxLWEkTDm","standard","1","3","HP","20","29.395","49.407","50.176","20.781","0.769","3","9",""
"4","R_2xz1vGgxLWEkTDm","standard","1","4","HP","6","51.208","57.21","NA","7.007","NA","0","9",""
"5","R_2xz1vGgxLWEkTDm","standard","1","5","HP","6","59.219","65.232","66.216","6.997","0.984","3","12",""
"6","R_2xz1vGgxLWEkTDm","standard","1","6","HP","10","67.22","77.223","77.9","10.68","0.677","3","15",""
"7","R_2xz1vGgxLWEkTDm","standard","1","7","HP","12","78.907","90.922","91.611","12.704","0.689","3","18",""
"8","R_2xz1vGgxLWEkTDm","standard","1","8","HP","4","92.619","96.623","97.39","4.771","0.767","3","21",""
"9","R_2xz1vGgxLWEkTDm","standard","1","9","HP","14","98.405","112.414","113.161","14.756","0.747","3","24",""
"10","R_2xz1vGgxLWEkTDm","standard","1","10","HP","10","114.162","124.163","124.907","10.745","0.744","3","27",""
"11","R_2xz1vGgxLWEkTDm","standard","1","11","HP","10","125.916","135.95","136.59","10.674","0.64","3","30",""
"12","R_2xz1vGgxLWEkTDm","standard","1","12","HP","20","137.595","157.615","158.303","20.708","0.688","3","33",""
"13","R_2xz1vGgxLWEkTDm","standard","1","13","HP","4","159.308","163.308","164.294","4.986","0.986","3","36",""
"14","R_2xz1vGgxLWEkTDm","standard","1","14","HP","18","165.299","183.299","184.008","18.709","0.709","3","36","13931"
"15","R_2xz1vGgxLWEkTDm","standard","1","15","HP","14","185.017","199.023","199.79","14.773","0.767","3","39",""
"16","R_2xz1vGgxLWEkTDm","standard","1","16","HP","14","200.8","214.816","NA","15.02","NA","0","39",""
"17","R_2xz1vGgxLWEkTDm","standard","1","17","HP","18","216.827","234.835","235.489","18.662","0.654","3","42",""
"18","R_2xz1vGgxLWEkTDm","standard","1","18","HP","8","236.498","244.525","245.338","8.84","0.813","3","45",""
"19","R_2xz1vGgxLWEkTDm","standard","1","19","HP","6","246.339","252.34","253.058","6.719","0.718","3","48",""
"20","R_2xz1vGgxLWEkTDm","standard","1","20","HP","18","254.059","272.06","272.81","18.751","0.75","3","48","12175"
"21","R_2xz1vGgxLWEkTDm","standard","1","21","HP","4","273.813","277.816","278.731","4.918","0.915","3","51",""
"22","R_2xz1vGgxLWEkTDm","standard","1","22","HP","12","279.731","291.732","292.711","12.98","0.979","3","54",""
"23","R_2xz1vGgxLWEkTDm","standard","1","23","HP","10","293.715","303.716","304.466","10.751","0.75","3","57",""
"24","R_2xz1vGgxLWEkTDm","standard","1","24","HP","12","305.481","317.497","318.249","12.768","0.752","3","60",""
"25","R_2xz1vGgxLWEkTDm","standard","1","25","HP","18","319.25","337.25","337.95","18.7","0.7","3","63",""
"26","R_2xz1vGgxLWEkTDm","standard","1","26","HP","16","338.962","354.978","355.778","16.816","0.8","3","66",""
"27","R_2xz1vGgxLWEkTDm","standard","1","27","HP","8","356.808","364.812","365.621","8.813","0.809","3","69",""
"28","R_2xz1vGgxLWEkTDm","standard","1","28","HP","12","366.628","378.635","379.383","12.755","0.748","3","72",""
"29","R_2xz1vGgxLWEkTDm","standard","1","29","HP","6","380.388","386.409","387.189","6.801","0.78","3","75",""
"30","R_2xz1vGgxLWEkTDm","standard","1","30","HP","16","388.195","404.211","404.898","16.703","0.687","3","78",""
"31","R_2xz1vGgxLWEkTDm","standard","1","31","HP","10","405.909","415.91","416.748","10.839","0.838","3","81",""
"32","R_2xz1vGgxLWEkTDm","standard","1","32","HP","16","417.755","433.756","434.434","16.679","0.678","3","84",""
"33","R_2xz1vGgxLWEkTDm","standard","1","33","HP","4","435.435","439.436","440.309","4.874","0.873","3","87",""
"34","R_2xz1vGgxLWEkTDm","standard","1","34","HP","10","441.312","451.316","452.067","10.755","0.751","3","90",""
"35","R_2xz1vGgxLWEkTDm","standard","1","35","HP","8","453.067","461.068","461.83","8.763","0.762","3","93",""
"36","R_2xz1vGgxLWEkTDm","standard","1","36","HP","6","462.836","468.858","469.67","6.834","0.812","3","96",""
"37","R_2xz1vGgxLWEkTDm","standard","1","37","HP","6","470.676","476.738","477.57","6.894","0.832","3","99",""
"38","R_2xz1vGgxLWEkTDm","standard","1","38","HP","16","478.572","494.59","495.302","16.73","0.712","3","102",""
"39","R_2xz1vGgxLWEkTDm","standard","1","39","HP","10","496.308","506.309","507.044","10.736","0.735","3","105",""
"40","R_2xz1vGgxLWEkTDm","standard","1","40","HP","6","508.052","514.073","514.884","6.832","0.811","3","108",""
"41","R_2xz1vGgxLWEkTDm","standard","1","41","HP","14","515.892","529.907","530.67","14.778","0.763","3","108","5836"
"42","R_2xz1vGgxLWEkTDm","standard","1","42","HP","2","531.679","533.683","NA","3.009","NA","0","108",""
"43","R_2xz1vGgxLWEkTDm","standard","1","43","HP","8","535.691","543.691","544.522","8.831","0.831","3","108","51"
"44","R_2xz1vGgxLWEkTDm","standard","1","44","HP","14","545.523","559.53","560.305","14.782","0.775","3","108","8281"
"45","R_2xz1vGgxLWEkTDm","standard","1","45","HP","2","561.306","563.307","NA","3.021","NA","0","108",""
"46","R_2xz1vGgxLWEkTDm","standard","1","46","HP","2","565.331","567.334","568.137","2.806","0.803","3","111",""
"47","R_2xz1vGgxLWEkTDm","standard","1","47","HP","4","569.139","573.146","573.945","4.806","0.799","3","114",""
"48","R_2xz1vGgxLWEkTDm","standard","1","48","HP","12","574.946","586.946","587.698","12.752","0.752","3","117",""
"49","R_2xz1vGgxLWEkTDm","standard","1","49","HP","2","588.701","590.708","591.601","2.9","0.893","3","120",""
"50","R_2xz1vGgxLWEkTDm","standard","1","50","HP","18","592.617","610.619","611.366","18.749","0.747","3","123",""
"51","R_2xz1vGgxLWEkTDm","standard","1","51","HP","2","612.37","614.37","615.268","2.898","0.898","3","126",""
"52","R_2xz1vGgxLWEkTDm","standard","1","52","HP","2","616.289","618.291","NA","3.01","NA","0","126",""
"53","R_2xz1vGgxLWEkTDm","standard","1","53","HP","12","620.306","632.307","633.037","12.731","0.73","3","126","3398"
"54","R_2xz1vGgxLWEkTDm","standard","1","54","HP","4","634.042","638.046","NA","5.01","NA","0","126",""
"55","R_2xz1vGgxLWEkTDm","standard","1","55","HP","12","640.058","652.058","652.766","12.708","0.708","3","129",""
"56","R_2xz1vGgxLWEkTDm","standard","1","56","HP","8","653.783","661.799","662.529","8.746","0.73","3","132",""
"57","R_2xz1vGgxLWEkTDm","standard","1","57","HP","8","663.531","671.531","672.259","8.728","0.728","3","135",""
"58","R_2xz1vGgxLWEkTDm","standard","1","58","HP","12","673.267","685.283","686.276","13.009","0.993","3","138",""
"59","R_2xz1vGgxLWEkTDm","standard","1","59","HP","14","687.284","701.291","702.007","14.723","0.716","3","141",""
"60","R_2xz1vGgxLWEkTDm","standard","1","60","HP","20","703.011","723.011","723.775","20.764","0.764","3","144",""
"61","R_2xz1vGgxLWEkTDm","standard","1","61","HP","18","724.78","742.794","743.517","18.737","0.723","3","147",""
"62","R_2xz1vGgxLWEkTDm","standard","1","62","HP","10","744.524","754.531","755.306","10.782","0.775","3","150",""
"63","R_2xz1vGgxLWEkTDm","standard","1","63","HP","16","756.321","772.323","773.025","16.704","0.702","3","153",""
"64","R_2xz1vGgxLWEkTDm","standard","1","64","HP","14","774.026","788.028","788.831","14.805","0.803","3","156",""
"65","R_2xz1vGgxLWEkTDm","standard","1","65","HP","16","789.831","805.835","806.642","16.811","0.807","3","156","9213"
"66","R_2xz1vGgxLWEkTDm","standard","1","66","HP","12","807.651","819.66","820.446","12.795","0.786","3","159",""
"67","R_2xz1vGgxLWEkTDm","standard","1","67","HP","8","821.452","829.46","NA","9.019","NA","0","159",""
"68","R_2xz1vGgxLWEkTDm","standard","1","68","HP","18","831.477","849.484","850.219","18.742","0.735","3","162",""
"69","R_2xz1vGgxLWEkTDm","standard","1","69","HP","6","851.228","857.235","858.015","6.787","0.78","3","165",""
"70","R_2xz1vGgxLWEkTDm","standard","1","70","HP","20","859.019","879.019","879.811","20.792","0.792","3","165","9727"
"71","R_2xz1vGgxLWEkTDm","standard","1","71","HP","4","880.812","884.819","885.607","4.795","0.788","3","168",""
"72","R_2xz1vGgxLWEkTDm","standard","1","72","HP","4","886.628","890.636","891.451","4.823","0.815","3","171",""
"73","R_2xz1vGgxLWEkTDm","standard","2","1","LP","0.264713485566566","0","0.269",NA,"1.278",NA,"0","171",NA
"74","R_2xz1vGgxLWEkTDm","standard","2","2","LP","0.661783713916415","2.299","2.979","3.669","1.37","0.69","3","174",NA
"75","R_2xz1vGgxLWEkTDm","standard","2","3","LP","8.51632916846187","4.669","13.197","13.955","9.286","0.758","3","177",NA
"76","R_2xz1vGgxLWEkTDm","standard","2","4","LP","0.264713485566566","14.957","15.221",NA,"1.264",NA,"0","177",NA
"77","R_2xz1vGgxLWEkTDm","standard","2","5","LP","19.8235243429556","17.222","37.045","37.819","20.597","0.774","3","180",NA
"78","R_2xz1vGgxLWEkTDm","standard","2","6","LP","30","38.822","68.83","69.528","30.706","0.698","3","183",NA
"79","R_2xz1vGgxLWEkTDm","standard","2","7","LP","1.25738905644119","70.53","71.789","72.506","1.976","0.717","3","186",NA
"80","R_2xz1vGgxLWEkTDm","standard","2","8","LP","0.264713485566566","73.51","73.795","74.579","1.069","0.784","3","189",NA
"81","R_2xz1vGgxLWEkTDm","standard","2","9","LP","2.15079707022835","75.594","77.75","78.471","2.877","0.721","3","192",NA
"82","R_2xz1vGgxLWEkTDm","standard","2","10","LP","8.51632916846187","79.478","88.012","88.696","9.218","0.684","3","195",NA
"83","R_2xz1vGgxLWEkTDm","standard","2","11","LP","13.0392072382594","89.712","102.757","103.471","13.759","0.714","3","198",NA
"84","R_2xz1vGgxLWEkTDm","standard","2","12","LP","30","104.477","134.48","135.262","30.785","0.782","3","201",NA
"85","R_2xz1vGgxLWEkTDm","standard","2","13","LP","2.15079707022835","136.278","138.428","139.159","2.881","0.731","3","204",NA
"86","R_2xz1vGgxLWEkTDm","standard","2","14","LP","8.51632916846187","140.167","148.694","149.461","9.294","0.767","3","207",NA
"87","R_2xz1vGgxLWEkTDm","standard","2","15","LP","5.5010771219302","150.471","155.975","156.762","6.291","0.787","3","210",NA
"88","R_2xz1vGgxLWEkTDm","standard","2","16","LP","3.49090909090909","157.775","161.277","162.077","4.302","0.8","3","213",NA
"89","R_2xz1vGgxLWEkTDm","standard","2","17","LP","19.8235243429556","163.079","182.901","183.611","20.532","0.71","3","216",NA
"90","R_2xz1vGgxLWEkTDm","standard","2","18","LP","5.5010771219302","184.611","NaN","186.879","2.268","NaN","0","216",NA
"91","R_2xz1vGgxLWEkTDm","standard","2","19","LP","8.51632916846187","187.901","196.422","197.239","9.338","0.817","3","219",NA
"92","R_2xz1vGgxLWEkTDm","standard","2","20","LP","30","198.246","228.253","229.051","30.805","0.798","3","222",NA
"93","R_2xz1vGgxLWEkTDm","standard","2","21","LP","0.264713485566566","230.053","230.318","231.266","1.213","0.948","3","225",NA
"94","R_2xz1vGgxLWEkTDm","standard","2","22","LP","1.25738905644119","232.27","233.533","234.258","1.988","0.725","3","228",NA
"95","R_2xz1vGgxLWEkTDm","standard","2","23","LP","0.661783713916415","235.273","235.941","236.691","1.418","0.75","3","231",NA
"96","R_2xz1vGgxLWEkTDm","standard","2","24","LP","8.51632916846187","237.693","246.215","247.039","9.346","0.824","3","234",NA
"97","R_2xz1vGgxLWEkTDm","standard","2","25","LP","13.0392072382594","248.041","NaN","252.107","4.066","NaN","0","234",NA
"98","R_2xz1vGgxLWEkTDm","standard","2","26","LP","8.51632916846187","253.108","261.625","262.472","9.364","0.847","3","237",NA
"99","R_2xz1vGgxLWEkTDm","standard","2","27","LP","1.25738905644119","263.48","264.743","265.643","2.163","0.9","3","240",NA
"100","R_2xz1vGgxLWEkTDm","standard","2","28","LP","1.25738905644119","266.646","267.907","268.696","2.05","0.789","3","243",NA
"101","R_2xz1vGgxLWEkTDm","standard","2","29","LP","8.51632916846187","269.706","278.223","279.039","9.333","0.816","3","246",NA
"102","R_2xz1vGgxLWEkTDm","standard","2","30","LP","0.661783713916415","280.047","280.711","281.488","1.441","0.777","3","249",NA
"103","R_2xz1vGgxLWEkTDm","standard","2","31","LP","2.15079707022835","282.506","284.662","285.399","2.893","0.737","3","252",NA
"104","R_2xz1vGgxLWEkTDm","standard","2","32","LP","0.661783713916415","286.407","287.07","287.987","1.58","0.917","3","255",NA
"105","R_2xz1vGgxLWEkTDm","standard","2","33","LP","5.5010771219302","289.007","294.512","295.28","6.273","0.768","3","258",NA
"106","R_2xz1vGgxLWEkTDm","standard","2","34","LP","8.51632916846187","296.289","304.807","305.586","9.297","0.779","3","261",NA
"107","R_2xz1vGgxLWEkTDm","standard","2","35","LP","1.25738905644119","306.59","307.854","308.81","2.22","0.956","3","264",NA
"108","R_2xz1vGgxLWEkTDm","standard","2","36","LP","3.49090909090909","309.813","313.307","314.027","4.214","0.72","3","267",NA
"109","R_2xz1vGgxLWEkTDm","standard","2","37","LP","8.51632916846187","315.029","323.55","324.368","9.339","0.818","3","270",NA
"110","R_2xz1vGgxLWEkTDm","standard","2","38","LP","19.8235243429556","325.374","345.215","346.098","20.724","0.883","3","273",NA
"111","R_2xz1vGgxLWEkTDm","standard","2","39","LP","19.8235243429556","347.102","366.927","367.784","20.682","0.857","3","276",NA
"112","R_2xz1vGgxLWEkTDm","standard","2","40","LP","3.49090909090909","368.79","372.286","373.272","4.482","0.986","3","279",NA
"113","R_2xz1vGgxLWEkTDm","standard","2","41","LP","19.8235243429556","374.278","394.116",NA,"20.843",NA,"0","279",NA
"114","R_2xz1vGgxLWEkTDm","standard","2","42","LP","19.8235243429556","396.126","NaN","399.385","3.259","NaN","0","279",NA
"115","R_2xz1vGgxLWEkTDm","standard","2","43","LP","1.25738905644119","400.401","401.663","402.492","2.091","0.829","3","282",NA
"116","R_2xz1vGgxLWEkTDm","standard","2","44","LP","5.5010771219302","403.5","409.007","409.738","6.238","0.731","3","285",NA
"117","R_2xz1vGgxLWEkTDm","standard","2","45","LP","19.8235243429556","410.742","430.567","431.344","20.602","0.777","3","288",NA
"118","R_2xz1vGgxLWEkTDm","standard","2","46","LP","1.25738905644119","432.35","433.641",NA,"2.297",NA,"0","288",NA
"119","R_2xz1vGgxLWEkTDm","standard","2","47","LP","8.51632916846187","435.654","444.174","444.948","9.294","0.774","3","291",NA
"120","R_2xz1vGgxLWEkTDm","standard","2","48","LP","3.49090909090909","445.951","449.446","450.252","4.301","0.806","3","294",NA
"121","R_2xz1vGgxLWEkTDm","standard","2","49","LP","1.25738905644119","451.254","452.517","453.284","2.03","0.767","3","297",NA
"122","R_2xz1vGgxLWEkTDm","standard","2","50","LP","30","454.295","484.301","485.006","30.711","0.705","3","300",NA
"123","R_2xz1vGgxLWEkTDm","standard","2","51","LP","13.0392072382594","486.008","499.054","499.884","13.876","0.83","3","303",NA
"124","R_2xz1vGgxLWEkTDm","standard","2","52","LP","5.5010771219302","500.91","506.416","507.25","6.34","0.834","3","306",NA
"125","R_2xz1vGgxLWEkTDm","standard","2","53","LP","30","508.254","538.262","539.031","30.777","0.769","3","309",NA
"126","R_2xz1vGgxLWEkTDm","standard","2","54","LP","30","540.034","570.038","570.778","30.744","0.74","3","312",NA
"127","R_2xz1vGgxLWEkTDm","standard","2","55","LP","13.0392072382594","571.791","584.839","585.735","13.944","0.896","3","315",NA
