"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_2zTqLx9ByZ2QU93","standard","1","1","LP","13.0392072382594","0.002","13.056","13.429","13.427","0.373","3","3",""
"2","R_2zTqLx9ByZ2QU93","standard","1","2","LP","30","14.431","44.433","44.78","30.349","0.347","3","6",""
"3","R_2zTqLx9ByZ2QU93","standard","1","3","LP","0.264713485566566","45.783","46.061","46.749","0.966","0.688","3","9",""
"4","R_2zTqLx9ByZ2QU93","standard","1","4","LP","8.51632916846187","47.75","56.273","56.806","9.056","0.533","3","12",""
"5","R_2zTqLx9ByZ2QU93","standard","1","5","LP","13.0392072382594","57.81","70.851","71.476","13.666","0.625","3","15",""
"6","R_2zTqLx9ByZ2QU93","standard","1","6","LP","1.25738905644119","72.479","73.743","74.166","1.687","0.423","3","18",""
"7","R_2zTqLx9ByZ2QU93","standard","1","7","LP","3.49090909090909","75.169","78.67","79.32","4.151","0.65","3","21",""
"8","R_2zTqLx9ByZ2QU93","standard","1","8","LP","2.15079707022835","80.328","82.479","83.092","2.764","0.613","3","24",""
"9","R_2zTqLx9ByZ2QU93","standard","1","9","LP","0.661783713916415","84.095","84.774","85.574","1.479","0.8","3","27",""
"10","R_2zTqLx9ByZ2QU93","standard","1","10","LP","0.661783713916415","86.577","87.247","87.983","1.406","0.736","3","30",""
"11","R_2zTqLx9ByZ2QU93","standard","1","11","LP","1.25738905644119","88.989","90.248","90.61","1.621","0.362","3","33",""
"12","R_2zTqLx9ByZ2QU93","standard","1","12","LP","3.49090909090909","91.619","95.111","95.493","3.874","0.382","3","36",""
"13","R_2zTqLx9ByZ2QU93","standard","1","13","LP","5.5010771219302","96.501","102.014","102.35","5.849","0.336","3","39",""
"14","R_2zTqLx9ByZ2QU93","standard","1","14","LP","0.661783713916415","103.352","104.015","104.942","1.59","0.927","3","42",""
"15","R_2zTqLx9ByZ2QU93","standard","1","15","LP","8.51632916846187","105.951","114.471","114.821","8.87","0.35","3","45",""
"16","R_2zTqLx9ByZ2QU93","standard","1","16","LP","8.51632916846187","115.823","124.344","124.822","8.999","0.478","3","48",""
"17","R_2zTqLx9ByZ2QU93","standard","1","17","LP","13.0392072382594","125.824","138.871","139.307","13.483","0.436","3","51",""
"18","R_2zTqLx9ByZ2QU93","standard","1","18","LP","19.8235243429556","140.308","160.135","160.492","20.184","0.357","3","54",""
"19","R_2zTqLx9ByZ2QU93","standard","1","19","LP","1.25738905644119","161.507","162.768","163.278","1.771","0.51","3","57",""
"20","R_2zTqLx9ByZ2QU93","standard","1","20","LP","0.661783713916415","164.291","164.96","165.486","1.195","0.526","3","60",""
"21","R_2zTqLx9ByZ2QU93","standard","1","21","LP","5.5010771219302","166.488","171.991","172.359","5.871","0.368","3","63",""
"22","R_2zTqLx9ByZ2QU93","standard","1","22","LP","13.0392072382594","173.371","186.411","186.789","13.418","0.378","3","66",""
"23","R_2zTqLx9ByZ2QU93","standard","1","23","LP","0.264713485566566","187.792","188.066","188.575","0.783","0.509","3","69",""
"24","R_2zTqLx9ByZ2QU93","standard","1","24","LP","19.8235243429556","189.589","209.416","209.788","20.199","0.372","3","72",""
"25","R_2zTqLx9ByZ2QU93","standard","1","25","LP","1.25738905644119","210.804","212.063","212.777","1.973","0.714","3","75",""
"26","R_2zTqLx9ByZ2QU93","standard","1","26","LP","1.25738905644119","213.784","215.048","215.471","1.687","0.423","3","78",""
"27","R_2zTqLx9ByZ2QU93","standard","1","27","LP","2.15079707022835","216.492","218.652","219.154","2.662","0.502","3","81",""
"28","R_2zTqLx9ByZ2QU93","standard","1","28","LP","13.0392072382594","220.175","233.216","233.706","13.531","0.49","3","84",""
"29","R_2zTqLx9ByZ2QU93","standard","1","29","LP","5.5010771219302","234.712","240.214","240.623","5.911","0.409","3","87",""
"30","R_2zTqLx9ByZ2QU93","standard","1","30","LP","3.49090909090909","241.631","245.128","245.574","3.943","0.446","3","90",""
"31","R_2zTqLx9ByZ2QU93","standard","1","31","LP","13.0392072382594","246.583","259.623","260.08","13.497","0.457","3","93",""
"32","R_2zTqLx9ByZ2QU93","standard","1","32","LP","0.264713485566566","261.093","261.36","261.847","0.754","0.487","3","96",""
"33","R_2zTqLx9ByZ2QU93","standard","1","33","LP","19.8235243429556","262.849","282.68","283.12","20.271","0.44","3","99",""
"34","R_2zTqLx9ByZ2QU93","standard","1","34","LP","30","284.127","314.137","314.517","30.39","0.38","3","102",""
