"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_30wTpRpkmamvA1w","standard","1","1","LP","3.49090909090909","0.001","3.498","3.862","3.861","0.364","3","3",""
"2","R_30wTpRpkmamvA1w","standard","1","2","LP","2.15079707022835","4.867","7.021","7.418","2.551","0.397","3","6",""
"3","R_30wTpRpkmamvA1w","standard","1","3","LP","0.264713485566566","8.427","8.706","9.104","0.677","0.398","3","9",""
"4","R_30wTpRpkmamvA1w","standard","1","4","LP","1.25738905644119","10.12","11.4","11.764","1.644","0.364","3","12",""
"5","R_30wTpRpkmamvA1w","standard","1","5","LP","13.0392072382594","12.772","25.825","26.152","13.38","0.327","3","15",""
"6","R_30wTpRpkmamvA1w","standard","1","6","LP","13.0392072382594","27.155","40.209","40.556","13.401","0.347","3","18",""
"7","R_30wTpRpkmamvA1w","standard","1","7","LP","8.51632916846187","41.563","50.082","50.526","8.963","0.444","3","21",""
"8","R_30wTpRpkmamvA1w","standard","1","8","LP","0.264713485566566","51.53","51.809","52.528","0.998","0.719","3","24",""
"9","R_30wTpRpkmamvA1w","standard","1","9","LP","2.15079707022835","53.534","55.696","56.091","2.557","0.395","3","27",""
"10","R_30wTpRpkmamvA1w","standard","1","10","LP","3.49090909090909","57.098","60.594","61.109","4.011","0.515","3","30",""
"11","R_30wTpRpkmamvA1w","standard","1","11","LP","0.264713485566566","62.114","62.386","62.786","0.672","0.4","3","33",""
"12","R_30wTpRpkmamvA1w","standard","1","12","LP","1.25738905644119","63.807","65.066","65.424","1.617","0.358","3","36",""
"13","R_30wTpRpkmamvA1w","standard","1","13","LP","13.0392072382594","66.424","79.466","79.98","13.556","0.514","3","39",""
"14","R_30wTpRpkmamvA1w","standard","1","14","LP","5.5010771219302","80.991","86.503","86.9","5.909","0.397","3","42",""
"15","R_30wTpRpkmamvA1w","standard","1","15","LP","19.8235243429556","87.907","107.753","108.088","20.181","0.335","3","45",""
"16","R_30wTpRpkmamvA1w","standard","1","16","LP","3.49090909090909","109.091","112.586","113.016","3.925","0.43","3","48",""
"17","R_30wTpRpkmamvA1w","standard","1","17","LP","0.661783713916415","114.025","114.693","115.33","1.305","0.637","3","51",""
"18","R_30wTpRpkmamvA1w","standard","1","18","LP","1.25738905644119","116.34","117.61","117.957","1.617","0.347","3","54",""
"19","R_30wTpRpkmamvA1w","standard","1","19","LP","8.51632916846187","118.965","127.504","127.925","8.96","0.421","3","57",""
"20","R_30wTpRpkmamvA1w","standard","1","20","LP","13.0392072382594","128.936","141.988","142.297","13.361","0.309","3","60",""
"21","R_30wTpRpkmamvA1w","standard","1","21","LP","3.49090909090909","143.311","146.815","147.18","3.869","0.365","3","63",""
"22","R_30wTpRpkmamvA1w","standard","1","22","LP","19.8235243429556","148.187","168.016","168.438","20.251","0.422","3","66",""
"23","R_30wTpRpkmamvA1w","standard","1","23","LP","0.661783713916415","169.442","170.109","170.637","1.195","0.528","3","69",""
"24","R_30wTpRpkmamvA1w","standard","1","24","LP","8.51632916846187","171.645","180.179","180.575","8.93","0.396","3","72",""
"25","R_30wTpRpkmamvA1w","standard","1","25","LP","5.5010771219302","181.58","187.082","187.519","5.939","0.437","3","75",""
"26","R_30wTpRpkmamvA1w","standard","1","26","LP","1.25738905644119","188.52","189.781","190.675","2.155","0.894","3","78",""
"27","R_30wTpRpkmamvA1w","standard","1","27","LP","30","191.679","221.694","222.23","30.551","0.536","3","78","8768"
"28","R_30wTpRpkmamvA1w","standard","1","28","LP","2.15079707022835","223.234","225.388","225.875","2.641","0.487","3","81",""
"29","R_30wTpRpkmamvA1w","standard","1","29","LP","8.51632916846187","226.882","235.406","235.775","8.893","0.369","3","84",""
"30","R_30wTpRpkmamvA1w","standard","1","30","LP","0.264713485566566","236.79","237.069","NA","1.284","NA","0","84",""
"31","R_30wTpRpkmamvA1w","standard","1","31","LP","1.25738905644119","239.077","240.344","240.999","1.922","0.655","3","87",""
"32","R_30wTpRpkmamvA1w","standard","1","32","LP","19.8235243429556","242.002","261.831","262.161","20.159","0.33","3","90",""
"33","R_30wTpRpkmamvA1w","standard","1","33","LP","1.25738905644119","263.17","264.435","264.862","1.692","0.427","3","93",""
"34","R_30wTpRpkmamvA1w","standard","1","34","LP","3.49090909090909","265.867","269.363","269.655","3.788","0.292","3","96",""
"35","R_30wTpRpkmamvA1w","standard","1","35","LP","8.51632916846187","270.663","279.185","279.508","8.845","0.323","3","99",""
"36","R_30wTpRpkmamvA1w","standard","1","36","LP","5.5010771219302","280.521","286.024","286.407","5.886","0.383","3","102",""
"37","R_30wTpRpkmamvA1w","standard","1","37","LP","19.8235243429556","287.416","307.248","307.632","20.216","0.384","3","105",""
"38","R_30wTpRpkmamvA1w","standard","1","38","LP","3.49090909090909","308.636","312.13","312.476","3.84","0.346","3","108",""
"39","R_30wTpRpkmamvA1w","standard","1","39","LP","30","313.49","343.498","343.838","30.348","0.34","3","111",""
"40","R_30wTpRpkmamvA1w","standard","1","40","LP","1.25738905644119","344.842","346.106","346.664","1.822","0.558","3","114",""
"41","R_30wTpRpkmamvA1w","standard","1","41","LP","1.25738905644119","347.675","348.949","349.347","1.672","0.398","3","117",""
"42","R_30wTpRpkmamvA1w","standard","1","42","LP","1.25738905644119","350.365","351.628","352.062","1.697","0.434","3","120",""
"43","R_30wTpRpkmamvA1w","standard","1","43","LP","30","353.081","383.09","383.406","30.325","0.316","3","123",""
"44","R_30wTpRpkmamvA1w","standard","1","44","LP","5.5010771219302","384.411","389.917","390.34","5.929","0.423","3","126",""
"45","R_30wTpRpkmamvA1w","standard","1","45","LP","1.25738905644119","391.351","392.612","393.173","1.822","0.561","3","129",""
"46","R_30wTpRpkmamvA1w","standard","1","46","LP","3.49090909090909","394.184","397.692","398.118","3.934","0.426","3","132",""
"47","R_30wTpRpkmamvA1w","standard","1","47","LP","30","399.123","429.13","429.424","30.301","0.294","3","135",""
"48","R_30wTpRpkmamvA1w","standard","1","48","LP","2.15079707022835","430.427","432.591","432.912","2.485","0.321","3","138",""
"49","R_30wTpRpkmamvA1w","standard","1","49","LP","0.264713485566566","433.917","434.189","434.627","0.71","0.438","3","141",""
"50","R_30wTpRpkmamvA1w","standard","1","50","LP","0.661783713916415","435.634","436.299","436.759","1.125","0.46","3","144",""
